PID	Coverage
M00276	1
M00277	0.646279
M00274	1
M00275	1
M00272	0.00107318
M00273	1
M00270	1
M00271	1
M00279	1
M00012	0.999495
M00010	1
M00011	1
M00016	1
M00017	1
M00015	1
M00153	1
M00018	1
M00150	1
M00157	1
M00156	0.999998
M00129	0.112646
M00126	0.955765
M00127	1
M00124	0.584689
M00125	1
M00123	1
M00120	1
M00121	1
M00083	1
M00087	0.998137
M00086	1
M00336	1
M00338	0.993293
M00238	1
M00239	1
M00232	0.596263
M00233	0.999959
M00230	0.999918
M00236	1
M00237	1
M00234	0.977176
M00344	1
M00345	0.0238565
M00342	0.0703852
M00348	0.166628
M00349	0.993679
M00166	0.00879001
M00167	0.000476645
M00164	1
M00283	1
M00282	1
M00168	1
M00280	1
M00049	1
M00048	1
M00045	1
M00046	0.00649724
M00265	1
M00267	1
M00266	1
M00300	0.871711
M00306	0.000389056
M00268	1
M00281	1
M00001	1
M00003	1
M00002	1
M00005	1
M00004	1
M00007	1
M00006	1
M00009	1
M00008	0.999988
M00159	1
M00135	0.0559697
M00134	0.986916
M00133	0.990136
M00151	0.999873
M00019	1
M00228	1
M00183	1
M00185	1
M00186	0.901961
M00221	1
M00223	1
M00222	1
M00225	0.455258
M00224	0.999877
M00227	0.999931
M00226	0.455258
M00359	1
M00319	1
M00318	1
M00258	1
M00171	0.000308168
M00170	1
M00172	1
M00175	1
M00174	0.0268581
M00178	1
M00079	0.00192235
M00229	1
M00188	1
M00189	1
M00250	1
M00252	1
M00254	1
M00255	1
M00256	1
M00311	0.5957
M00259	1
M00313	0.647522
M00317	1
M00316	0.00118946
M00035	1
M00036	0.956777
M00214	1
M00216	0.000356764
M00210	1
M00211	1
M00212	1
M00063	1
M00218	0.0238178
M00198	0.999998
M00197	1
M00194	1
M00193	0.99999
M00191	1
M00190	1
M00360	1
M00364	1
M00365	0.981462
M00366	0.00153995
M00064	1
M00149	1
M00061	0.0335817
M00060	1
M00144	0.999997
M00140	1
M00141	0.714537
M00269	1
M00307	1
M00098	0.0557345
M00093	1
M00096	1
M00097	0.00769155
M00095	0.000486793
M00324	1
M00325	0.175636
M00320	1
M00249	0.948798
M00248	1
M00247	1
M00246	1
M00245	1
M00244	1
M00243	1
M00242	1
M00240	1
M00029	0.989505
M00028	1
M00023	1
M00022	1
M00021	1
M00020	1
M00027	0.000393353
M00026	1
M00025	1
M00024	1
M00115	0.999849
M00298	0.997524
M00299	1
M00119	1
M00118	1
M00052	1
M00053	1
M00050	1
M00051	0.791649
M00201	0.000404808
M00200	0.295928
M00207	1
M00204	0.00130764
M00209	1
M00208	1
M00169	1
