PID	Abundance
M00171	0.574237978438
M00173	0
M00172	94.407091143
M00175	94.3784259674
M00174	0.0333351343018
M00177	0
M00170	180.908101643
M00179	0
M00178	1056.37840186
M00359	547.728138911
M00097	1.4395783954e-11
M00078	0
M00079	0.655032615518
M00205	1.44621025398
M00072	0
M00095	0
M00074	0
M00076	0
M00077	0.652285997864
M00276	733.037680892
M00277	12.1159671788
M00274	16.0280306126
M00275	54.9614084277
M00272	0.464559625359
M00273	607.405520219
M00270	149.373530079
M00271	135.554085241
M00377	0
M00376	0
M00375	0
M00374	0
M00373	0
M00372	0
M00371	0
M00279	403.768618669
M00209	663.177123941
M00046	0.742706166083
M00346	0
M00065	0
M00064	94.0171779208
M00063	124.907604335
M00149	148.829332709
M00061	3.77239854356
M00060	123.506190738
M00144	43.8534081456
M00145	0
M00146	0
M00140	757.378176706
M00267	32.8297172816
M00142	0
M00068	1.75739056044e-05
M00289	0.113024555879
M00345	7.97736646212
M00342	0
M00343	0
M00265	512.244927128
M00264	0
M00308	0
M00266	15.8481153683
M00261	0
M00260	0
M00263	0
M00262	0
M00302	0
M00303	0.0133512390355
M00300	2.55599711457
M00187	1.65423951794e-05
M00306	0.088273228526
M00307	625.949530285
M00304	0.0254478965151
M00305	1.53478559454e-05
M00057	0
M00096	197.811677304
M00347	0
M00189	100.117242583
M00182	0
M00336	0
M00012	0
M00013	0
M00010	72.0882419788
M00011	121.063778426
M00016	276.531470079
M00017	496.172201978
M00014	0
M00015	636.542853403
M00153	137.089587996
M00152	0
M00018	792.833341067
M00150	47.512916027
M00157	785.078693059
M00156	0
M00155	0
M00268	93.5191632022
M00293	0
M00288	0
M00227	9.53147427673
M00103	0
M00226	1.10673096447
M00319	67.8168678071
M00318	210.917869602
M00098	0.725497032693
M00099	0
M00254	899.003439203
M00255	70.5261550603
M00256	756.696902085
M00257	0
M00092	0
M00259	42.7071656617
M00313	0.720412154312
M00312	0
M00315	0
M00314	0
M00317	3.48639942342
M00316	0.0638085526746
M00093	221.090909332
M00168	210.82021975
M00181	0
M00001	903.495885271
M00003	379.27355965
M00002	940.2060214
M00005	1002.74509529
M00004	466.786260481
M00007	344.918755884
M00006	721.822161049
M00009	96.4829455676
M00008	0
M00365	21.7988699084
M00324	22.1952013297
M00325	1.25622988222
M00326	0.237235981851
M00327	0
M00320	36.1932301254
M00321	0
M00128	0
M00129	0
M00126	106.499085536
M00127	168.242145019
M00124	6.87685948727
M00125	285.426316737
M00328	0.0604378878247
M00123	70.2424311887
M00120	638.006914677
M00121	63.1430787677
M00089	0
M00088	0
M00249	0
M00248	482.731263273
M00247	968.619465157
M00080	0
M00083	759.264419972
M00244	39.5509541965
M00085	0.00256511591253
M00242	889.669118208
M00087	0.344288860799
M00086	108.29087795
M00232	0.219493991943
M00200	0.000332703232364
M00362	0
M00233	21.9277818345
M00176	0
M00049	1029.27606924
M00048	1043.33101183
M00038	0
M00039	0
M00034	0
M00035	74.5994349444
M00036	0.607709626187
M00037	0
M00030	0
M00031	0
M00032	1.25546755727e-08
M00033	0
M00333	0
M00332	0
M00331	0
M00330	0
M00337	0
M00138	0
M00335	0
M00334	0.091592983916
M00135	0.824043274939
M00134	3.93269995268
M00136	0
M00131	0
M00130	0.00283419093094
M00133	46.1274412862
M00112	0
M00238	907.991261155
M00239	698.954790002
M00323	0
M00122	0
M00230	0.0100355996778
M00231	0
M00236	892.145812341
M00237	589.150164826
M00234	8.32373857765
M00235	0.000250266731573
M00295	0
M00151	15.194822139
M00269	691.005721551
M00029	5.50141857937
M00019	221.816164174
M00023	862.273624448
M00022	721.259807208
M00021	800.835821862
M00020	212.005806932
M00027	8.5759897465
M00026	86.7061467278
M00025	100.087364036
M00024	90.8686197896
M00322	0
M00109	0
M00212	109.622056783
M00100	0
M00101	0
M00102	0
M00154	0
M00114	0
M00105	0
M00106	0
M00107	0
M00180	0
M00228	604.820049921
M00344	111.779029916
M00183	851.518302405
M00184	0
M00185	9.31934264471
M00186	0
M00341	0
M00221	113.760289026
M00220	0.00505709032552
M00223	29.1841784775
M00222	418.275100427
M00225	0.293773982666
M00224	0.412989301041
M00348	0.678154322964
M00349	1.16860320841
M00081	0.017879159604
M00217	0
M00246	170.302258929
M00338	12.4568057163
M00311	59.0295819902
M00143	0
M00165	0
M00245	170.302258929
M00117	1.15529776225
M00116	0
M00115	44.0547162444
M00082	0
M00298	15.2683747499
M00299	687.123321535
M00159	80.4102265485
M00066	0
M00294	0
M00243	533.871506308
M00296	0.0277633034609
M00213	0
M00290	0
M00119	64.6519450583
M00118	17.4211990303
M00214	42.3661843436
M00188	734.67026268
M00216	7.63558669096
M00028	76.1245580762
M00210	67.1367611296
M00211	50.302272413
M00058	0
M00059	0
M00056	0
M00148	0
M00240	515.708285409
M00052	844.398200314
M00053	468.77410223
M00050	945.367704287
M00051	334.655430701
M00355	0
M00354	0
M00055	0
M00351	0
M00350	0
M00353	0
M00352	0
M00197	788.565468644
M00218	0
M00194	799.179073186
M00193	16.0903921146
M00358	0
M00191	32.9432416259
M00219	0
M00158	0
M00229	22.5647986571
M00192	0.928741188839
M00162	0
M00250	72.7355321967
M00160	0
M00161	0
M00166	0
M00167	0.000833514202511
M00164	785.078693059
M00251	2.22014443448
M00283	421.177233142
M00282	14.1638150086
M00281	326.623050595
M00280	91.3918063211
M00287	0.43918812728
M00252	0
M00285	0
M00141	11.2344002163
M00203	0
M00202	0
M00201	0.0719227326973
M00253	0.00292846148224
M00207	551.229728599
M00206	0
M00284	0
M00204	0
M00045	96.79574961
M00044	0
M00047	0
M00091	0
M00040	0.667341119531
M00169	81.9034951096
M00360	935.226449858
M00361	0
M00113	0
M00364	92.87237382
M00199	0.466783245032
M00366	0.00027470578442
M00367	8.7044582833e-05
M00278	0
M00208	25.712831876
M00215	0
M00258	640.524541287
M00241	0
M00190	115.922813365
M00301	0
M00198	8.34585130741
M00310	0.00106940941866
M00090	0
