PID	Coverage
M00276	1
M00277	0.99992
M00274	0.999507
M00275	1
M00273	1
M00270	1
M00271	1
M00279	1
M00012	0.49075
M00010	1
M00011	1
M00016	0.999995
M00017	1
M00015	1
M00153	1
M00018	1
M00150	1
M00157	1
M00156	0.998664
M00126	0.999515
M00127	1
M00124	0.976536
M00125	1
M00123	1
M00120	1
M00121	0.997862
M00083	1
M00087	0.401877
M00086	1
M00336	1
M00338	0.99199
M00238	1
M00239	1
M00232	0.570849
M00233	0.952729
M00230	0.727815
M00236	1
M00237	1
M00234	0.971738
M00235	0.206568
M00344	1
M00342	0.743391
M00343	0.312686
M00348	0.305184
M00349	0.951699
M00167	0.262657
M00164	1
M00283	1
M00282	0.999823
M00168	1
M00280	0.99974
M00049	1
M00048	1
M00045	1
M00046	0.147261
M00040	0.184393
M00265	1
M00267	1
M00266	1
M00303	0.12125
M00300	0.998464
M00306	0.173275
M00307	1
M00281	1
M00001	1
M00003	1
M00002	1
M00005	1
M00004	1
M00007	1
M00006	1
M00009	1
M00008	1
M00159	0.999998
M00135	0.116756
M00134	0.999962
M00133	0.999466
M00151	0.999613
M00019	0.999536
M00228	1
M00183	1
M00185	0.999291
M00186	0.780037
M00221	1
M00223	0.999989
M00222	1
M00225	0.245587
M00224	0.453499
M00227	0.978176
M00226	0.245587
M00359	1
M00319	1
M00318	1
M00311	1
M00310	0.100854
M00171	0.263368
M00170	1
M00173	0.10384
M00175	1
M00178	1
M00079	0.536539
M00077	0.535343
M00229	1
M00188	1
M00189	1
M00250	0.999995
M00251	0.805502
M00252	0.999995
M00254	1
M00255	1
M00256	1
M00258	1
M00259	1
M00313	0.399017
M00317	0.986818
M00316	0.135904
M00035	0.999972
M00036	0.424261
M00214	1
M00216	0.930694
M00210	1
M00211	0.999991
M00212	1
M00218	0.104809
M00219	0.235911
M00199	0.134583
M00198	0.89096
M00197	1
M00194	1
M00193	0.834525
M00191	1
M00190	1
M00360	1
M00364	1
M00365	0.968199
M00064	1
M00063	1
M00149	1
M00061	0.774044
M00060	1
M00144	1
M00140	1
M00141	0.860818
M00269	1
M00268	1
M00098	0.590516
M00093	1
M00096	1
M00097	0.286776
M00095	0.109536
M00324	1
M00325	0.685145
M00320	1
M00249	0.425998
M00248	1
M00247	1
M00246	1
M00245	1
M00244	1
M00243	1
M00242	1
M00240	1
M00029	0.99997
M00028	1
M00023	1
M00022	1
M00021	1
M00020	1
M00027	0.989297
M00026	0.999925
M00025	1
M00024	1
M00117	0.456762
M00115	1
M00298	0.891802
M00299	1
M00296	0.115377
M00119	1
M00118	0.999979
M00052	1
M00053	1
M00050	1
M00051	1
M00200	0.203999
M00207	1
M00205	0.341746
M00209	1
M00208	0.799049
M00169	1
