PID	Abundance
M00276	1754.13546767
M00277	28.0055584967
M00274	19.3950568682
M00275	311.742209479
M00272	0.078279620388
M00273	1367.03736206
M00270	78.3263404609
M00271	69.8428141608
M00377	0
M00376	0
M00375	0
M00374	0
M00373	0
M00372	0
M00278	0
M00279	833.206813993
M00012	2.53587199556
M00013	0
M00010	43.2849268201
M00011	127.883838498
M00016	177.54751467
M00017	513.228617016
M00014	0
M00015	1575.1361172
M00153	146.777247629
M00152	0
M00018	1714.32347899
M00150	81.5212591975
M00157	1494.73445125
M00156	18.7789958552
M00155	0
M00154	0
M00128	0.141456423787
M00129	0
M00126	75.3838987241
M00127	183.349616047
M00124	19.0655393635
M00125	368.363604644
M00122	0
M00123	111.524484963
M00120	1413.76055597
M00121	69.4634989123
M00089	0
M00088	0
M00081	0
M00080	0
M00083	1680.87890893
M00082	0.0747719776642
M00085	0.000608381568654
M00087	1.22035037004
M00086	161.93808843
M00333	0
M00332	0
M00331	0
M00330	0
M00336	171.957581805
M00335	0
M00334	0
M00339	0
M00338	13.0617464726
M00238	1825.11934204
M00239	1420.05556709
M00232	2.59318959517
M00233	10.8383229356
M00230	4.46923506271
M00231	0.000703052226814
M00236	1950.51284551
M00237	1276.22331599
M00234	11.8026483714
M00235	0.437663962716
M00346	0
M00347	0
M00344	191.678333071
M00345	0
M00342	4.97733376396
M00343	0.795406564262
M00341	0
M00348	0.81944277523
M00349	9.96856868204
M00162	0
M00163	0
M00289	0.067385011832
M00288	0
M00166	0
M00167	1.10148392162
M00164	1494.73445125
M00165	0
M00283	489.697136437
M00282	21.3473817835
M00281	743.30411183
M00280	20.5207857262
M00287	0
M00286	0
M00285	0
M00284	0
M00049	2024.00408127
M00048	2510.11808059
M00045	58.0113259713
M00044	0
M00047	0
M00046	0.322288809902
M00040	0.450528247663
M00043	0.0189997843651
M00293	0
M00265	1396.96109553
M00264	0
M00308	0
M00266	51.2632186309
M00261	0
M00260	0
M00263	0
M00262	0
M00302	0
M00303	0.212690431956
M00300	24.0728131438
M00301	0
M00306	0.352613412542
M00307	1407.37581539
M00304	0.0656155241448
M00305	0.000182489483341
M00160	0
M00161	0
M00168	301.046810132
M00001	1839.96906224
M00003	435.244874311
M00002	1832.69462925
M00005	2013.00390425
M00004	901.693278926
M00007	619.554888704
M00006	1655.66438388
M00009	73.7965352651
M00008	112.302260365
M00159	43.3754843654
M00158	0
M00138	0
M00135	0.276670954182
M00134	26.5342632055
M00137	0
M00136	0
M00131	0
M00130	0.0538263478912
M00133	37.9591739512
M00151	20.4927023202
M00019	228.490196717
M00180	0
M00228	1795.42135013
M00183	1757.90132159
M00184	0
M00185	22.8854389705
M00186	4.71746438131
M00187	2.74816473875e-10
M00188	1756.69047095
M00189	129.197169412
M00223	35.9277185611
