PID	Coverage
ko00564	0.358025
ko00680	0.295699
ko00562	0.266667
ko05100	0.0461538
ko00440	0.148148
ko00250	0.722222
ko00565	0.0625
ko00072	0.875
ko00010	0.5875
ko04650	0.0128205
ko03450	0.0526316
ko00760	0.542857
ko00920	0.53125
ko04144	0.0362319
ko04145	0.0107527
ko04146	0.0428571
ko00561	0.460317
ko04140	0.047619
ko04141	0.0218978
ko04142	0.030303
ko03040	0.225
ko02060	0.786667
ko04712	0.0416667
ko00513	0.0204082
ko00511	0.625
ko00510	0.0454545
ko05110	0.0425532
ko04974	0.0408163
ko00860	0.553398
ko00450	0.642857
ko00300	0.6
ko00195	0.047619
ko00260	0.567164
ko00190	0.34466
ko03440	0.474576
ko00750	0.6
ko04626	0.0142857
ko00061	0.615385
ko03070	0.567568
ko02040	0.585366
ko00380	0.177419
ko00500	0.658228
ko05120	0.0363636
ko00590	0.0714286
ko00310	0.277778
ko05322	0.0434783
ko04962	0.030303
ko00625	0.461538
ko00624	0.176471
ko00627	0.305085
ko00626	0.428571
ko00620	0.767123
ko00623	0.0357143
ko00270	0.621212
ko00941	0.05
ko01053	0.21875
ko00970	0.5
ko00100	0.0322581
ko00071	0.340426
ko00740	0.387097
ko03060	0.512821
ko04910	0.012987
ko00531	0.214286
ko04916	0.015625
ko05130	0.0263158
ko00360	0.254902
ko04110	0.0194175
ko04115	0.0172414
ko00121	1
ko00430	0.375
ko02010	0.6
ko00130	0.461538
ko04622	0.0377358
ko00633	0.363636
ko00040	0.568627
ko00730	0.772727
ko00362	0.213333
ko01040	0.137931
ko00311	0.285714
ko03018	0.32
ko04512	0.0892857
ko04510	0.0075188
ko03013	0.0681818
ko03010	0.423611
ko05200	0.0041841
ko00601	0.04
ko03015	0.0566038
ko04060	0.00458716
ko00600	0.2
ko05020	0.0344828
ko05142	0.0243902
ko00520	0.635514
ko00052	0.561404
ko00053	0.257143
ko00051	0.716418
ko00400	0.612903
ko00350	0.344262
ko00480	0.526316
ko00640	0.560606
ko00720	0.641791
ko00960	0.0434783
ko02020	0.546584
ko03008	0.0731707
ko00290	1
ko04614	0.0588235
ko04340	0.025641
ko03410	0.365854
ko05010	0.00714286
ko00630	0.530303
ko00410	0.387097
ko05150	0.0615385
ko00791	0.214286
ko00790	0.625
ko00020	0.792453
ko00710	0.0277778
ko00340	0.605263
ko04130	0.0588235
ko00550	0.837838
ko00650	0.681159
ko03030	0.352941
ko02030	0.653846
ko04530	0.0434783
ko00830	0.0285714
ko04621	0.0196078
ko04330	0.0357143
ko00910	0.585859
ko00460	0.321429
ko00521	0.529412
ko00780	0.9
ko00785	1
ko00030	0.613636
ko00230	0.425
ko04122	0.857143
ko04120	0.0252101
ko00540	0.766667
ko05111	0.0714286
ko03022	0.0571429
ko00660	0.916667
ko03020	0.271186
ko00140	0.0571429
ko00983	0.0454545
ko00330	0.552
ko04080	0.00334448
ko00908	0.125
ko04930	0.0322581
ko04320	0.166667
ko03430	0.511111
ko00906	0.0285714
ko00900	0.657143
ko00903	0.428571
ko00471	1
ko00473	1
ko05014	0.0232558
ko00280	0.491228
ko04810	0.0138889
ko04210	0.0322581
ko00240	0.434211
ko04010	0.0108696
ko04011	0.102564
ko01055	1
ko04113	0.010101
ko04310	0.0103093
ko03420	0.229167
ko00770	0.758621
ko00670	0.777778
ko04920	0.0222222
ko03050	0.0625
ko00930	0.0714286
ko04112	0.354839
