PID	Coverage
M00276	1
M00277	0.976784
M00274	1
M00275	1
M00272	0.405883
M00273	1
M00270	1
M00271	1
M00278	0.000641824
M00279	1
M00012	0.999367
M00010	1
M00011	1
M00016	1
M00017	1
M00015	1
M00153	1
M00018	1
M00150	1
M00157	1
M00156	1
M00128	0.102409
M00129	0.265273
M00126	1
M00127	1
M00124	0.845679
M00125	1
M00122	0.907496
M00123	1
M00120	1
M00121	1
M00083	1
M00082	0.011847
M00087	0.859603
M00086	1
M00336	1
M00335	1
M00334	0.117748
M00338	1
M00238	1
M00239	1
M00232	0.972481
M00233	1
M00230	0.263433
M00236	1
M00237	1
M00234	1
M00235	0.142588
M00344	1
M00342	0.31235
M00343	0.00235266
M00348	0.967065
M00349	0.999996
M00289	0.0257103
M00167	0.999088
M00164	1
M00283	1
M00282	1
M00168	1
M00169	1
M00287	0.00210891
M00049	1
M00048	1
M00045	1
M00046	0.936058
M00040	0.480722
M00265	1
M00267	1
M00266	0.999997
M00303	0.00454243
M00300	1
M00306	0.178955
M00307	1
M00304	0.0472907
M00281	1
M00001	1
M00003	1
M00002	1
M00005	1
M00004	1
M00007	1
M00006	1
M00009	1
M00008	1
M00159	1
M00135	0.445713
M00134	1
M00130	0.0244451
M00133	1
M00151	1
M00019	1
M00228	1
M00183	1
M00185	1
M00186	0.996255
M00221	1
M00220	0.00521928
M00223	1
M00222	1
M00225	0.994432
M00224	0.999776
M00227	1
M00226	0.964649
M00359	1
M00250	1
M00318	1
M00258	1
M00310	0.0161099
M00171	0.625096
M00170	1
M00172	1
M00175	1
M00174	0.995731
M00178	1
M00079	0.306738
M00229	1
M00188	1
M00189	1
M00319	1
M00251	0.876903
M00252	0.738199
M00254	1
M00255	1
M00256	1
M00311	0.999997
M00259	1
M00317	1
M00316	0.851571
M00035	1
M00036	0.676628
M00100	0.00319494
M00214	1
M00215	1
M00216	0.78009
M00217	0.019376
M00210	1
M00211	1
M00212	1
M00063	1
M00218	0.0227513
M00219	0.818568
M00199	0.996754
M00198	1
M00197	1
M00194	1
M00193	1
M00191	1
M00190	1
M00360	1
M00362	0.000667272
M00364	1
M00365	0.99999
M00366	0.0301564
M00367	0.000956622
M00064	1
M00149	1
M00061	0.999598
M00060	1
M00144	1
M00140	1
M00141	0.999639
M00269	1
M00268	1
M00098	0.929108
M00092	0.000555787
M00093	1
M00096	1
M00097	0.096373
M00095	1
M00324	1
M00325	0.909893
M00326	0.881518
M00320	1
M00321	0.0210469
M00249	0.0667833
M00248	1
M00247	1
M00246	1
M00245	1
M00244	1
M00243	1
M00242	1
M00240	1
M00029	1
M00028	1
M00023	1
M00022	1
M00021	1
M00020	1
M00027	0.992123
M00026	1
M00025	1
M00024	1
M00280	1
M00117	0.989363
M00115	1
M00298	0.99747
M00299	1
M00296	0.00368439
M00119	0.999996
M00118	1
M00052	1
M00053	1
M00050	1
M00051	1
M00201	0.0470977
M00200	0.00857086
M00207	1
M00206	0.0095577
M00205	0.00714259
M00204	0.0377545
M00209	1
M00208	1
