PID	Coverage
ko00564	0.358025
ko00680	0.27957
ko00562	0.266667
ko00563	0.0384615
ko05100	0.0307692
ko00440	0.148148
ko00250	0.740741
ko00010	0.575
ko04650	0.025641
ko00760	0.685714
ko00920	0.5
ko00311	0.214286
ko04145	0.0537634
ko04146	0.0571429
ko00561	0.444444
ko04140	0.0952381
ko04141	0.0218978
ko04142	0.0505051
ko03040	0.166667
ko02060	0.8
ko04712	0.0416667
ko00511	0.6875
ko00510	0.0681818
ko05110	0.0425532
ko04974	0.102041
ko00860	0.524272
ko00450	0.642857
ko00565	0.0625
ko00300	0.55
ko00195	0.015873
ko00260	0.597015
ko00190	0.34466
ko03440	0.491525
ko00750	0.733333
ko04626	0.0142857
ko00061	0.615385
ko03070	0.594595
ko02040	0.536585
ko00380	0.193548
ko00500	0.594937
ko05120	0.0181818
ko00590	0.0714286
ko05322	0.0217391
ko04962	0.030303
ko00625	0.423077
ko00624	0.147059
ko00627	0.288136
ko00626	0.428571
ko00621	0.307692
ko00620	0.780822
ko00623	0.0357143
ko00270	0.636364
ko00941	0.05
ko01053	0.1875
ko00071	0.340426
ko00740	0.419355
ko04360	0.0125
ko03060	0.487179
ko04910	0.012987
ko00531	0.357143
ko00360	0.235294
ko00633	0.227273
ko00362	0.213333
ko04110	0.00970874
ko05130	0.0263158
ko00121	1
ko00430	0.4375
ko02010	0.624615
ko00130	0.410256
ko04622	0.0188679
ko00040	0.588235
ko00730	0.772727
ko00630	0.545455
ko01040	0.206897
ko04144	0.00724638
ko04270	0.0121951
ko00310	0.259259
ko03013	0.0757576
ko03010	0.402778
ko05200	0.0083682
ko00601	0.04
ko03015	0.0566038
ko00600	0.225
ko05020	0.0344828
ko05142	0.0243902
ko00520	0.663551
ko00521	0.529412
ko00052	0.561404
ko00053	0.285714
ko00051	0.731343
ko00400	0.612903
ko00350	0.344262
ko00480	0.526316
ko00640	0.560606
ko00720	0.641791
ko02020	0.611801
ko04020	0.0075188
ko03008	0.0487805
ko00290	1
ko04614	0.176471
ko03410	0.414634
ko04976	0.0172414
ko05010	0.00714286
ko00410	0.483871
ko05150	0.107692
ko00791	0.214286
ko00790	0.708333
ko00020	0.830189
ko00710	0.0277778
ko00340	0.605263
ko04130	0.0294118
ko00550	0.864865
ko00650	0.681159
ko03030	0.372549
ko02030	0.692308
ko04530	0.0289855
ko04621	0.0392157
ko04623	0.0227273
ko05014	0.0465116
ko00910	0.59596
ko00460	0.321429
ko00830	0.0285714
ko00780	0.7
ko00785	1
ko00030	0.636364
ko00670	0.777778
ko00230	0.420833
ko04122	0.857143
ko04120	0.00840336
ko00540	0.866667
ko05111	0.0952381
ko00660	0.833333
ko03020	0.237288
ko04512	0.0535714
ko00140	0.0857143
ko00983	0.0454545
ko00330	0.584
ko04080	0.00334448
ko03018	0.306667
ko00908	0.125
ko03430	0.555556
ko00906	0.0285714
ko00900	0.685714
ko00903	0.428571
ko00471	1
ko00473	1
ko00970	0.46875
ko04510	0.0075188
ko04810	0.0138889
ko04210	0.016129
ko00240	0.453947
ko04010	0.0163043
ko04011	0.0769231
ko01055	1
ko04113	0.020202
ko04310	0.0206186
ko03420	0.270833
ko00770	0.793103
ko00280	0.491228
ko04920	0.0222222
ko03050	0.0625
ko00930	0.0714286
ko04112	0.322581
