PID	Coverage
M00276	1
M00277	1
M00274	1
M00275	1
M00272	0.750772
M00273	1
M00270	1
M00271	1
M00279	1
M00012	0.682757
M00013	0.0165147
M00010	1
M00011	1
M00016	1
M00017	1
M00015	1
M00153	1
M00018	1
M00019	1
M00157	1
M00156	1
M00128	0.179802
M00129	0.767379
M00126	1
M00127	1
M00124	0.999949
M00125	1
M00122	0.0369983
M00123	1
M00120	1
M00121	1
M00081	0.0523869
M00083	1
M00082	0.0617556
M00087	0.910805
M00086	1
M00336	1
M00335	1
M00334	0.901236
M00338	1
M00238	1
M00239	1
M00232	0.984433
M00233	1
M00230	0.820959
M00236	1
M00237	1
M00234	0.999117
M00235	0.140403
M00346	0.0252497
M00344	1
M00345	0.210665
M00342	0.99973
M00343	0.0375459
M00348	0.977132
M00349	0.999998
M00289	0.49609
M00167	0.999944
M00164	1
M00283	1
M00282	1
M00281	1
M00169	1
M00287	0.819847
M00049	1
M00048	1
M00045	1
M00046	0.683243
M00040	0.513195
M00265	1
M00267	1
M00266	1
M00261	0.0201521
M00263	0.222681
M00262	0.0731538
M00303	0.189567
M00300	1
M00306	0.23636
M00307	1
M00304	0.0151785
M00305	0.0565444
M00168	1
M00001	1
M00003	1
M00002	1
M00005	1
M00004	1
M00007	1
M00006	1
M00009	1
M00008	1
M00159	1
M00135	0.930698
M00134	1
M00136	0.467617
M00130	0.0167317
M00133	1
M00151	1
M00150	1
M00228	1
M00183	1
M00185	1
M00186	0.998816
M00221	1
M00220	0.310165
M00223	1
M00222	1
M00225	0.606079
M00224	0.887546
M00227	0.999934
M00226	0.619642
M00359	1
M00319	1
M00318	1
M00258	1
M00310	0.59208
M00171	0.826866
M00170	1
M00173	0.72461
M00172	1
M00175	1
M00174	0.674866
M00176	0.661359
M00178	1
M00079	0.618809
M00076	0.3615
M00077	0.618444
M00229	1
M00188	1
M00189	1
M00250	1
M00251	0.999977
M00252	0.926241
M00253	0.31752
M00254	1
M00255	1
M00256	1
M00311	1
M00259	1
M00313	0.893254
M00317	0.999991
M00316	0.477818
M00035	1
M00036	0.967891
M00106	0.0181061
M00214	1
M00215	0.500276
M00216	1
M00217	0.726648
M00210	1
M00211	1
M00212	1
M00063	1
M00218	0.213944
M00219	0.96584
M00199	0.999685
M00198	0.999967
M00197	1
M00194	1
M00193	1
M00191	1
M00190	1
M00360	1
M00361	0.480009
M00362	0.729851
M00364	1
M00365	1
M00366	0.178757
M00367	0.024016
M00065	0.016131
M00064	1
M00149	1
M00061	1
M00060	1
M00144	1
M00140	1
M00141	0.999572
M00269	1
M00268	1
M00098	0.999998
M00092	0.445715
M00093	1
M00090	0.721649
M00096	1
M00097	0.853806
M00095	1
M00324	1
M00325	0.999448
M00326	0.805946
M00320	1
M00249	0.996069
M00248	1
M00247	1
M00246	1
M00245	1
M00244	1
M00243	1
M00242	1
M00241	0.0507081
M00240	1
M00029	1
M00028	1
M00023	1
M00022	1
M00021	1
M00020	1
M00027	0.999999
M00026	1
M00025	1
M00024	1
M00280	1
M00117	0.875132
M00115	1
M00298	0.999996
M00299	1
M00296	0.329676
M00291	0.012772
M00119	1
M00118	1
M00057	0.116409
M00052	1
M00053	1
M00050	1
M00051	1
M00202	0.603732
M00201	0.388088
M00200	0.620799
M00207	1
M00206	0.841733
M00205	0.605795
M00204	0.266419
M00209	1
M00208	1
