PID	Coverage
ko05340	0.0294118
ko00564	0.407407
ko00680	0.306452
ko00562	0.355556
ko00563	0.115385
ko05100	0.0923077
ko00440	0.185185
ko00250	0.703704
ko04060	0.0183486
ko00740	0.419355
ko00010	0.65
ko04650	0.0641026
ko03450	0.0526316
ko00760	0.657143
ko00920	0.53125
ko04144	0.115942
ko00310	0.37037
ko04146	0.0571429
ko00600	0.175
ko04140	0.142857
ko04141	0.0729927
ko04142	0.0707071
ko04260	0.0169492
ko03040	0.341667
ko04711	0.125
ko02060	0.826667
ko00511	0.625
ko00510	0.0681818
ko04974	0.142857
ko00860	0.543689
ko00450	0.642857
ko00565	0.125
ko00300	0.55
ko00195	0.015873
ko00260	0.626866
ko00190	0.359223
ko03440	0.525424
ko00750	0.666667
ko04626	0.0428571
ko04666	0.0188679
ko00061	0.615385
ko03070	0.635135
ko02040	0.634146
ko04740	0.0625
ko00380	0.225806
ko00500	0.670886
ko05120	0.0363636
ko00590	0.107143
ko05322	0.0434783
ko04962	0.0606061
ko04960	0.0416667
ko00625	0.5
ko00624	0.176471
ko00627	0.305085
ko00626	0.464286
ko00621	0.384615
ko00620	0.808219
ko00623	0.0714286
ko00270	0.621212
ko00941	0.05
ko01053	0.40625
ko05016	0.0204082
ko04670	0.028169
ko00071	0.382979
ko00072	0.875
ko04360	0.025
ko05216	0.0714286
ko03060	0.564103
ko01055	1
ko00561	0.444444
ko00534	0.0833333
ko04910	0.038961
ko00531	0.142857
ko04916	0.015625
ko05130	0.0263158
ko00360	0.294118
ko00633	0.227273
ko00362	0.266667
ko04110	0.038835
ko00533	0.0714286
ko04115	0.0517241
ko04114	0.027027
ko00430	0.375
ko02010	0.655385
ko00130	0.461538
ko04330	0.178571
ko00040	0.627451
ko00730	0.772727
ko04111	0.00847458
ko01040	0.275862
ko00311	0.214286
ko04514	0.0337079
ko04512	0.0892857
ko00281	0.0625
ko04510	0.0150376
ko03013	0.106061
ko03010	0.465278
ko05200	0.0083682
ko00601	0.04
ko03015	0.150943
ko05142	0.0121951
ko00520	0.635514
ko05146	0.0128205
ko00052	0.578947
ko00053	0.371429
ko00051	0.731343
ko00400	0.596774
ko00350	0.377049
ko00480	0.5
ko00640	0.606061
ko00720	0.686567
ko00960	0.0434783
ko02020	0.618012
ko04020	0.0075188
ko03008	0.0731707
ko00830	0.0285714
ko04145	0.0752688
ko04614	0.117647
ko00290	1
ko04340	0.0769231
ko03410	0.512195
ko05010	0.00714286
ko05012	0.00884956
ko00980	0.0454545
ko00630	0.606061
ko00410	0.451613
ko00983	0.0454545
ko05150	0.0769231
ko00791	0.214286
ko00790	0.708333
ko00020	0.849057
ko00710	0.0555556
ko04710	0.111111
ko00340	0.631579
ko00785	1
ko04130	0.0882353
ko00550	0.864865
ko00650	0.724638
ko03030	0.392157
ko02030	0.692308
ko03320	0.0363636
ko04530	0.0434783
ko04621	0.0588235
ko04620	0.0135135
ko04623	0.0227273
ko04622	0.0566038
ko04270	0.0121951
ko00910	0.626263
ko00460	0.321429
ko00521	0.529412
ko00780	0.9
ko00970	0.46875
ko00030	0.659091
ko00230	0.458333
ko04122	0.809524
ko05110	0.0212766
ko04120	0.0840336
ko00540	0.766667
ko05111	0.119048
ko03022	0.171429
ko00660	0.916667
ko03020	0.305085
ko04630	0.0423729
ko04350	0.02
ko00140	0.0285714
ko00514	0.107143
ko00330	0.608
ko04080	0.0234114
ko03018	0.453333
ko00908	0.125
ko04930	0.0322581
ko04320	0.25
ko03430	0.6
ko00906	0.114286
ko00900	0.742857
ko04520	0.0169492
ko00903	0.47619
ko00471	1
ko00473	1
ko05014	0.0465116
ko04950	0.12
ko00280	0.526316
ko04810	0.0277778
ko04210	0.016129
ko00240	0.473684
ko04012	0.05
ko04010	0.0652174
ko04011	0.128205
ko00100	0.0322581
ko04113	0.010101
ko04640	0.0128205
ko04310	0.0412371
ko03420	0.333333
ko00770	0.758621
ko00670	0.814815
ko04150	0.0666667
ko04920	0.0222222
ko03050	0.0416667
ko00930	0.0714286
ko04112	0.516129
ko04722	0.0117647
