PID	Abundance
M00276	1533.2046426
M00277	68.8360890575
M00274	85.1621351922
M00275	166.659716587
M00272	8.87905492852
M00273	1680.41150208
M00270	621.362537317
M00271	563.18348726
M00377	0
M00376	0
M00375	0
M00374	0
M00373	0
M00372	0
M00278	0.000440193483175
M00279	601.860782164
M00012	10.1265617705
M00013	0.0721022736907
M00010	439.475705293
M00011	580.608712719
M00016	956.561846313
M00017	1307.86272387
M00014	0.0285639572659
M00015	1591.26202234
M00153	790.41336748
M00152	0
M00018	1910.52306921
M00019	646.983713746
M00157	2025.25464676
M00156	82.374879969
M00155	0
M00154	0
M00128	1.12601583627
M00129	10.5134891379
M00126	466.038078976
M00127	734.23539949
M00124	66.9666690434
M00125	1119.56086247
M00122	0.511985770328
M00123	452.130796139
M00120	1325.97526915
M00121	415.987212895
M00089	0
M00088	0
M00081	0.206279622462
M00080	0
M00083	1795.91200294
M00082	0.588427324863
M00085	6.32169243269e-07
M00087	14.1273439689
M00086	627.545497295
M00333	0
M00332	0
M00331	0
M00330	0
M00336	581.030535334
M00335	825.637276324
M00334	16.5229804621
M00339	0
M00338	77.1753381021
M00238	2317.70578033
M00239	1883.75792605
M00232	20.3445933782
M00233	71.9933725739
M00230	10.4411699253
M00231	0.00026982149581
M00236	2073.4432604
M00237	921.8630872
M00234	35.3512012526
M00235	0.660373919556
M00346	0.150760018434
M00347	0
M00344	338.71905769
M00345	2.68703947122
M00342	44.4671880262
M00343	0.200315256991
M00340	0
M00341	0
M00348	17.5062203441
M00349	48.755581994
M00162	0
M00163	0
M00160	0
M00288	0
M00166	0
M00167	99.7300451192
M00164	2025.25464676
M00165	0
M00283	782.745042033
M00282	103.768819112
M00168	913.777288833
M00169	391.556694587
M00287	9.91733544537
M00286	0
M00285	0
M00284	0
M00049	2554.20089095
M00048	2530.54473056
M00045	322.854121454
M00044	2.41720419018e-07
M00047	0
M00046	8.76271193082
M00040	5.38785220633
M00043	0.0028078848049
M00042	0.00195301510688
M00293	0
M00265	1089.38515618
M00264	0.00112698405787
M00267	253.89666743
M00266	172.173466301
M00261	0.0540081228347
M00260	0
M00263	1.16640728781
M00262	0.280155064438
M00302	0
M00303	1.14075416754
M00300	89.3029351525
M00301	0
M00306	1.67344386593
M00307	1384.52320679
M00304	0.055198590176
M00305	0.184536894643
M00289	3.89933392832
M00161	0
M00281	524.388845857
M00001	2287.18392912
M00003	1292.6353735
M00002	2437.15476966
M00005	2460.10268447
M00004	1549.2106209
M00007	1470.12509522
M00006	1637.28873099
M00009	518.202927232
M00008	317.667816419
M00159	280.506601979
M00158	0
M00138	0
M00135	24.1234722732
M00134	96.2710865587
M00137	0
M00136	3.68612256027
M00131	0.0428794925283
M00130	0.0919681072238
M00133	175.228429208
M00132	0
M00151	110.800979928
M00150	227.52396555
M00180	0
M00228	1572.19715252
M00182	0
M00183	2415.29121456
M00184	0
M00185	88.5842927762
M00186	31.2996630445
M00187	4.34661456147e-05
M00188	1339.4232123
M00189	506.884874745
M00223	172.261814303
M00222	903.821112114
M00225	5.55066814575
M00224	12.4046391313
M00227	60.2833051179
M00226	5.98577425511
M00308	0
M00355	0
M00354	0
M00351	0
M00350	0
M00353	0
M00352	0
M00359	1893.84695006
M00358	0
M00319	345.519360808
M00251	31.9734468443
M00311	134.842523912
M00259	170.676076899
M00171	19.4646352128
M00170	748.040678015
M00173	19.2173543451
M00172	407.854853734
M00175	162.751350527
M00174	10.7693991356
M00177	0
M00176	12.1746353442
M00179	0
M00178	2885.1331931
M00078	0.0301282062554
M00079	6.50111508976
M00070	0
M00072	0
M00073	0.00787834576295
M00074	0
M00075	0
M00076	2.68112747152
M00077	6.24199997363
M00229	126.220200524
M00181	0
M00221	297.982480041
M00220	1.95363948763
M00250	325.46924176
M00318	430.029664674
M00252	17.0500736069
M00253	2.52894778184
M00254	1836.95884437
M00255	414.030113808
M00256	1777.1990164
M00257	3.41412390342e-08
M00258	1595.35033261
M00310	4.67278079956
M00313	11.345594997
M00312	0
M00315	0
M00314	0.0288103151005
M00317	37.6054012579
M00316	3.57042956175
M00038	0
M00039	0
