PID	Abundance
M00279	1171.74815091
M00276	3080.71227385
M00277	173.481618217
M00274	382.800674993
M00275	477.525982782
M00272	34.3201007085
M00273	2944.09915211
M00270	849.082154597
M00271	1060.27168938
M00377	0
M00376	0
M00375	0
M00374	0
M00373	0
M00372	0
M00278	0.0739875822991
M00370	0
M00012	52.7148390938
M00013	0.0376326943041
M00010	893.165495793
M00011	1718.80250051
M00016	1643.1038651
M00017	2626.43972262
M00014	0.0623799175264
M00015	2967.78054874
M00153	1577.88769018
M00152	0
M00018	3601.45024181
M00019	2607.63689614
M00157	4226.86434315
M00156	365.36071086
M00155	0
M00154	0
M00128	10.3618533053
M00129	0.826088873709
M00126	599.797399943
M00127	1391.98587366
M00124	149.667402708
M00125	2210.34410952
M00122	6.69759541317
M00123	1066.76873654
M00120	3021.69419551
M00121	1186.12837856
M00089	0.00101948093289
M00088	0
M00081	0.00414971606866
M00080	0
M00083	3301.14294947
M00082	0.226219127251
M00085	1.98653451331e-06
M00087	47.497612514
M00086	1741.10435676
M00333	34.7789555809
M00332	0
M00331	0
M00330	0
M00336	1506.37165691
M00335	0
M00334	26.8280181742
M00339	0
M00338	146.252566868
M00238	4207.41922102
M00239	3115.9651183
M00232	39.7221684733
M00233	305.089775948
M00230	5.67525762712
M00231	0.000807920347235
M00236	4028.83968035
M00237	1431.8048381
M00234	91.3631087744
M00235	0.146287398743
M00346	0.201851888701
M00347	0
M00344	1001.49764607
M00345	31.0086445765
M00342	23.8975887183
M00343	0.495878454195
M00340	0
M00341	0
M00348	12.2969635721
M00349	184.077112812
M00162	0
M00163	0
M00160	0
M00288	0
M00166	0
M00167	46.0031527113
M00164	4226.86434315
M00165	0
M00283	834.684632721
M00282	143.403679569
M00168	2168.6928186
M00169	934.611529999
M00287	8.71984476706
M00286	0
M00285	0
M00284	0
M00049	4802.26131531
M00048	4657.99185582
M00045	552.223095593
M00044	0.000119006958566
M00047	0
M00046	4.75661374796
M00040	5.56753103099
M00043	0.00120266362783
M00042	0
M00293	0
M00265	2228.31152809
M00264	1.4844648148e-07
M00267	746.252337707
M00266	165.895348719
M00261	0.0616627278164
M00260	0
M00263	0.0476304784522
M00262	0.221510415552
M00302	0
M00303	0.34848203077
M00300	312.478335153
M00301	0
M00306	1.37174693679
M00307	2731.41207272
M00304	2.27561095568
M00305	0.0194302418492
M00289	0.172226635625
M00161	0
M00281	939.830182602
M00001	4193.67478809
M00003	3014.50191699
M00002	4599.27934117
M00005	4523.75022971
M00004	3039.52551484
M00007	2898.33375783
M00006	3195.17797952
M00009	1276.3563481
M00008	873.759195517
M00159	571.039449943
M00158	0
M00138	0
M00135	59.7193586188
M00134	189.736417408
M00137	0
M00136	0.94478331911
M00131	0
M00130	0.060422376872
M00133	239.985312337
M00132	0
M00151	383.147571174
M00150	889.434389671
M00180	0
M00228	2703.01817639
M00182	0
M00183	4611.87557075
M00184	0
M00185	441.764921083
M00186	3.44968936893
M00187	1.72682561525e-06
M00188	2399.93950949
M00189	1157.69591149
M00223	232.257314825
M00222	1650.32678774
M00225	12.838715972
M00224	32.0637426655
M00227	103.025758855
M00226	15.7642519463
M00308	0
M00355	0
M00354	0
M00351	0
M00350	0
M00353	0
M00352	0
M00359	3642.73931973
M00358	0
M00319	346.362312535
M00251	8.52821816922
M00311	192.667924075
M00259	769.731511098
M00171	32.68592563
M00170	1388.12368723
M00173	9.68274135999
M00172	1063.41150215
M00175	297.820542615
M00174	18.2496002154
M00177	0
M00176	33.1368429895
M00179	0
M00178	5542.12465986
M00078	0
M00079	8.06661927565
M00071	0
