PID	Abundance
ko05340	0.587895000803
ko00564	2792.28300783
ko00680	3648.4884342
ko00562	1894.58226908
ko00563	28.674175479
ko05100	16.4517831946
ko00440	1766.07467803
ko00250	13987.3306637
ko04062	0.634156506061
ko00361	195.510228217
ko04060	6.91374974768
ko00740	5622.46861397
ko04940	0.442984264419
ko04380	0.586521215291
ko00330	6083.73228698
ko04650	8.81185438805
ko03450	17.2228082701
ko00760	7800.49812045
ko00920	4960.26973787
ko04144	14.6400493602
ko04145	24.6682191118
ko04146	316.715101781
ko00600	2624.07810452
ko04140	15.5977564122
ko04141	268.259320503
ko04142	58.0231586536
ko00604	4.37566657143
ko04260	4.03508132335
ko03040	64.0160004005
ko04711	3.11418943952
ko02060	410.618837872
ko04712	5.71375980736
ko00513	2.60989070743
ko00512	1.28816119738
ko00511	8813.32532018
ko00510	639.813316158
ko04975	0.0202313846154
ko04974	516.332571115
ko04976	1.45451404896
ko04020	5.96484138993
ko00450	7042.8169719
ko00565	83.4582685874
ko04320	20.2989441613
ko00910	4010.01978372
ko04075	0.38749514003
ko00300	10915.9891035
ko03430	9163.80061779
ko00196	0.292956926171
ko00195	15.496696366
ko00260	7764.16025976
ko00190	3745.91601811
ko03440	8898.62461267
ko00750	10261.5516248
ko05140	0.47128360295
ko00592	4.10175819397
ko00591	0.125450010142
ko04666	1.00838290321
ko04660	0.716823258645
ko00061	9789.7027619
ko04662	0.0999489175116
ko03070	4898.10969641
ko03060	9513.19275447
ko04370	0.204514117647
ko04113	21.4445147955
ko02030	1847.67837935
ko00380	1128.44288841
ko00500	7051.10658305
ko05120	576.052210079
ko00590	369.365997172
ko00310	1005.69636426
ko05323	26.347156857
ko05322	2.17176073106
ko04964	0.928929655767
ko05320	0.062978618033
ko04962	22.3264275394
ko04960	0.247061871488
ko00062	0.822410870778
ko00625	2558.52821082
ko00624	1350.23095153
ko00627	885.587670741
ko00626	3153.18956877
ko00621	0.662811428571
ko00620	8371.99194683
ko00623	2.61736166667
ko00622	4.137889
ko00270	7597.81332905
ko00010	7412.14175024
ko00940	1.5987540173
ko00941	8.37912128666
ko01053	54.258077725
ko00943	0.753467142857
ko00100	17.779255091
ko01057	1.48758218309
ko01056	7.15232321656
ko00362	878.885394493
ko04670	0.738029034648
ko04950	10.3055700869
ko00071	1272.67226272
ko00072	623.667104603
ko04360	3.65327842487
ko05219	4.13711477771
ko00534	10.2668771481
ko05216	1.18830312246
ko05215	0.989375227346
ko05212	2.62058881095
ko05211	2.91754503334
ko05210	0.0873091175116
ko00561	1809.17390972
ko04912	0.405374555004
ko04910	172.30303607
ko00531	2023.44304876
ko04916	1.7498687207
ko05130	20.5116947965
ko04914	3.56832821126
ko00360	2239.67172509
ko00633	312.229764148
ko04111	2.98262114332
ko04110	1.31384943973
ko00533	0.991262278677
ko04115	2.22614490856
ko04114	0.716148117511
ko00532	7.6749114718
ko00430	6917.93330704
ko02010	2027.34587942
ko00130	2673.92946952
ko04330	18.1543051709
ko04112	6791.51547593
ko00040	7727.12915985
ko00730	9430.88332122
ko00970	14085.3666485
ko01040	1220.87986323
ko00311	876.173945465
ko04514	5.71120239879
ko04512	11.7284258176
ko00281	1981.66685755
ko04510	3.15744456909
ko03013	416.31079908
ko03010	15826.3214821
ko05200	3.66855861882
ko00601	15.5295844614
ko03015	20.0730902324
ko00312	24.4361127937
ko05020	27.429305059
ko00522	0.219174632055
ko05142	1.22079889546
ko00520	8181.53293718
ko00521	11359.733632
ko05146	1.47446452393
ko05145	0.210045658008
ko05144	0.237075033994
ko00052	5428.29116822
ko00053	1319.37148218
ko00051	8894.61899556
ko00400	8130.95371524
ko00402	0.0881936771978
ko00350	2717.44287888
ko00480	2686.93153688
ko00643	0.307750964411
ko00642	0.00822441333333
ko00640	4336.00832485
ko00720	9803.8366602
ko00960	3.04609522565
ko00966	0.119424
ko02020	2058.28169364
ko00603	82.9153822826
ko00121	10366.6150497
ko03008	324.682638922
ko04966	78.2097043726
ko00290	16248.8119152
ko04614	18.4964886873
ko04610	6.58823917512
ko04612	3.97232603001
ko03410	5979.54145108
ko05010	8.47390521113
ko05012	2.0980196326
ko00980	2.18605096547
ko00981	1.99204e-05
ko00410	3537.54300306
ko05016	1.57029483704
ko05150	69.7645003819
ko00791	489.404004115
ko00790	8406.28066391
ko05131	0.106587096774
ko04540	0.291936707504
ko00020	9505.03613722
ko00710	23.3479529963
ko04710	9.00902078942
ko00340	9654.74067572
ko04130	4.61646512143
ko00550	11488.9270637
ko00650	4540.2992097
ko03030	7212.54573995
ko05220	0.033535
ko05221	0.139589565217
ko04742	5.50808755943
ko04740	2.00009312495
ko03320	3.47404185513
ko04744	1.96454279084
ko04745	2.08930373451
ko04530	18.3103096917
ko00514	6.57470296584
ko04340	3.1451408303
ko04621	9.16649104078
ko04620	1.5052329341
ko04623	1.73680886898
ko04622	15.5402881959
ko04270	1.03626109056
ko04626	826.877128085
ko04971	0.0771459130435
ko00460	5526.99105133
ko04970	1.1179284773
ko00830	77.6879456379
ko00780	11117.6834818
ko00630	4670.69213325
ko00785	9546.97932844
ko00030	10827.7416758
ko04972	0.100518047847
ko00230	6363.06227005
ko04122	3110.05781818
ko05110	30.7411555756
ko04120	17.793018684
ko00540	9167.07619383
ko05014	9.93427840557
ko03022	18.1083018904
ko00660	9698.59357721
ko03020	4207.99512893
ko00982	0.0778706579585
ko04630	2.43818244865
ko04350	3.65926027145
ko00140	605.951783515
ko05414	0.659737981667
ko00983	185.190383094
ko05416	0.408473522872
ko05410	0.0238275
ko05412	0.0565492439704
ko04080	4.86989854615
ko03018	4994.87075559
ko00908	4048.00640396
ko04930	4.422437625
ko00904	0.752694994934
ko00905	0.20925684855
ko00906	16.6645736348
ko00900	7646.611304
ko04520	3.41251991421
ko00903	1827.8323295
ko00471	15642.9064388
ko00473	8735.98620963
ko05111	191.096493671
ko00280	2754.11171862
ko04810	3.69331812467
ko04210	35.4488563194
ko00240	8316.54084653
ko04012	3.14422804524
ko04013	1.6222667619
ko04010	5.19158922867
ko04011	26.5949996364
ko01055	18143.6911368
ko00860	3394.82231077
ko04070	2.07660619646
ko04640	0.735018553451
ko04310	8.71088333193
ko03420	4833.31611923
ko00770	11224.2766331
ko02040	305.645795138
ko00670	13511.5499848
ko04150	13.0474265474
ko04920	7.98344347359
ko00120	0.396721555556
ko04973	28.702378
ko05160	1.03013243243
ko03050	11.4711357915
ko00930	31.9482846821
ko04722	0.900802689592
