PID	Abundance
M00276	121.434436148
M00277	70.473930825
M00274	42.2417911966
M00275	77.4662139951
M00272	21.0559553469
M00273	168.179722722
M00270	56.4649155301
M00271	171.039497602
M00377	0
M00376	0
M00375	0
M00374	0
M00373	0
M00372	0
M00278	0
M00279	26.7364371694
M00012	0.401719571643
M00013	0
M00010	11162.8161363
M00011	45.1382329391
M00016	1914.72477505
M00017	694.321228879
M00014	36.6478476333
M00015	12740.8027762
M00153	11287.4812802
M00152	0
M00018	1407.77736124
M00019	4099.36508395
M00157	10027.4334253
M00156	4.05625500498e-05
M00155	0
M00154	0
M00128	1.77272259249e-11
M00129	0
M00126	13199.0955257
M00127	1126.30776464
M00124	7603.97458435
M00125	14189.4676527
M00122	0
M00123	12610.6909619
M00120	11811.2801191
M00121	295.631343015
M00089	6.17148587645e-05
M00088	0
M00081	445.01458484
M00080	0
M00083	15252.5620638
M00082	1.39295800876e-09
M00085	0.000203240225225
M00087	30.6173758757
M00086	18967.0598549
M00333	0
M00332	0
M00331	0
M00330	0
M00336	0
M00335	364.413085733
M00334	0.483537855981
M00339	0
M00338	136.835712965
M00238	389.849586733
M00239	549.527261242
M00232	159.712854124
M00233	0.67034178221
M00230	138.197604734
M00231	2.70003448023e-15
M00236	765.152037461
M00237	265.52394468
M00234	31.6887072545
M00235	0
M00346	0
M00347	0
M00344	89.2108391814
M00345	14.2553544564
M00342	0
M00343	0
M00340	0
M00341	0
M00348	136.721709544
M00349	27.8070605818
M00162	0
M00163	0
M00289	0.0375445617791
M00161	0
M00166	0
M00167	15.5181058947
M00164	10027.4334253
M00165	0
M00283	66.4450480971
M00282	76.0768523712
M00168	31.5482390614
M00169	12992.2948352
M00287	12.3189976097
M00286	0
M00285	0
M00284	0
M00049	11653.91792
M00048	4574.85300126
M00045	11224.7076717
M00044	0
M00047	0
M00046	18.8214640209
M00040	0.0106088840616
M00043	0.0015399480753
M00042	0
M00265	41.1638084473
M00264	0.260555810689
M00267	47.2324333464
M00266	85.727921402
M00261	0
M00260	0
M00263	0
M00262	0
M00302	0
M00303	1.46819985647
M00300	176.461581248
M00301	0
M00306	1.97099802449
M00307	400.012548897
M00304	0
M00305	3.79911912551e-08
M00160	0
M00288	0
M00281	0.297872643884
M00001	15832.181217
M00003	16486.0611626
M00002	15916.2705669
M00005	13312.2248341
M00004	11716.2118472
M00007	13201.7963207
M00006	10531.1521928
M00009	63.6202646401
M00008	9000.68808489
M00159	618.414828082
M00158	0
M00138	0
M00135	148.771914839
M00134	451.686922037
M00137	0
M00136	0
M00131	0
M00130	7.54944345975e-05
M00133	298.20028792
M00132	0
M00150	75.6256795586
M00180	0
M00228	193.814690388
M00182	0
M00183	1001.61561991
M00184	0
M00185	206.661536729
M00186	0.000578301280405
M00187	0
M00188	432.243166467
M00189	350.96335717
M00223	56.1085842967
M00222	9674.85375195
M00225	9.2297405174
M00224	61.1162990561
M00227	84.1879882327
M00226	5.14380046783
M00308	167.315776928
M00355	0
M00354	0
M00356	0
M00351	0
M00350	0
M00353	0
M00352	0
M00359	14798.1666048
M00358	0
M00319	0
M00251	25.2834515234
M00311	14444.7857973
M00259	104.801188081
M00171	0.00895676019998
M00170	49.0903302377
M00173	0.355655015284
M00172	31.5335553536
M00175	124.838127246
M00174	6.28427658376
M00177	0
M00176	0.197461310679
M00179	0
M00178	19190.9888202
M00078	0
M00079	1549.88802962
M00070	0
M00071	0
M00072	0
M00073	1.73208441898e-08
M00074	0
M00075	0
M00076	742.219325767
M00077	1680.38821658
M00229	0.0531106497273
M00181	0
M00221	202.566714182
M00220	0.000697267953188
M00250	5346.11919808
M00318	4.232004972e-06
M00252	0.00652202204676
M00253	0.299121711493
M00254	11001.1777825
M00255	5147.73641513
M00256	14452.7636431
M00257	0
M00258	12699.6434812
M00310	290.641625901
