PID	Coverage
ko00564	0.469136
ko00680	0.413978
ko00562	0.422222
ko00563	0.0384615
ko05100	0.0615385
ko00440	0.296296
ko00250	0.833333
ko04060	0.0229358
ko04650	0.115385
ko03450	0.0526316
ko00760	0.742857
ko00920	0.65625
ko04144	0.166667
ko00310	0.425926
ko04146	0.171429
ko00600	0.4
ko04140	0.142857
ko04141	0.131387
ko04142	0.10101
ko00604	0.0714286
ko04260	0.0338983
ko03040	0.4
ko02060	0.96
ko04712	0.0416667
ko00511	0.75
ko00510	0.0909091
ko05110	0.106383
ko04974	0.204082
ko00450	0.785714
ko00565	0.25
ko00300	0.725
ko00195	0.0634921
ko00260	0.686567
ko00190	0.456311
ko03440	0.59322
ko00750	0.733333
ko04626	0.0428571
ko04666	0.0188679
ko00062	0.142857
ko00061	0.653846
ko03070	0.608108
ko05211	0.02
ko00903	0.47619
ko00380	0.274194
ko00500	0.810127
ko05120	0.0727273
ko00590	0.0714286
ko05323	0.107692
ko05322	0.0434783
ko04964	0.0833333
ko04962	0.0606061
ko00625	0.576923
ko00624	0.147059
ko00627	0.338983
ko00626	0.428571
ko00620	0.90411
ko00622	0.05
ko00270	0.712121
ko00010	0.7625
ko00941	0.1
ko01053	0.5
ko00943	0.0769231
ko01056	0.1
ko04670	0.028169
ko04950	0.04
ko00071	0.510638
ko00740	0.548387
ko05219	0.030303
ko05216	0.0714286
ko05212	0.0188679
ko03060	0.641026
ko01055	1
ko00561	0.555556
ko00534	0.166667
ko04910	0.038961
ko00531	0.642857
ko04916	0.015625
ko05130	0.0263158
ko04914	0.0169492
ko00360	0.470588
ko00361	0.157895
ko00362	0.373333
ko04110	0.0679612
ko00533	0.0714286
ko04115	0.0344828
ko04114	0.0405405
ko00121	1
ko00532	0.047619
ko00430	0.4375
ko02010	0.670769
ko00130	0.538462
ko04622	0.0754717
ko00633	0.363636
ko00040	0.745098
ko00730	0.818182
ko04111	0.0254237
ko01040	0.310345
ko00311	0.142857
ko04514	0.0561798
ko04512	0.0892857
ko00281	0.625
ko04145	0.11828
ko03013	0.128788
ko03010	0.472222
ko05200	0.0209205
ko00601	0.08
ko03015	0.169811
ko04113	0.030303
ko00312	0.285714
ko05020	0.0689655
ko05142	0.0121951
ko00520	0.747664
ko05140	0.0363636
ko05146	0.025641
ko05144	0.015873
ko00052	0.807018
ko00053	0.514286
ko00051	0.835821
ko00400	0.645161
ko00350	0.42623
ko00480	0.473684
ko00643	0.0555556
ko00640	0.757576
ko00720	0.746269
ko02020	0.763975
ko00522	0.0909091
ko04020	0.0225564
ko03008	0.109756
ko04966	0.125
ko00290	1
ko04614	0.117647
ko04610	0.0289855
ko04612	0.0243902
ko03410	0.560976
ko05010	0.00714286
ko00603	0.214286
ko05012	0.0265487
ko00980	0.0454545
ko00410	0.516129
ko05016	0.0204082
ko05150	0.0769231
ko00791	0.285714
ko00790	0.666667
ko00020	0.90566
ko00710	0.0555556
ko04710	0.111111
ko00340	0.684211
ko00785	1
ko04130	0.0588235
ko00550	0.675676
ko00650	0.884058
ko03030	0.490196
ko04742	0.0434783
ko02030	0.846154
ko03320	0.0181818
ko04744	0.0588235
ko04530	0.0289855
ko00830	0.142857
ko00514	0.0357143
ko04340	0.025641
ko04621	0.0392157
ko04620	0.0135135
ko04623	0.0227273
ko04330	0.357143
ko04270	0.0243902
ko00910	0.656566
ko00460	0.357143
ko04970	0.0169492
ko00521	0.588235
ko00780	0.7
ko00630	0.69697
ko00970	0.5
ko00030	0.75
ko00670	0.814815
ko00230	0.520833
ko04122	0.857143
ko04120	0.10084
ko00540	0.933333
ko05111	0.238095
ko03022	0.2
ko00660	0.833333
ko03020	0.355932
ko04630	0.0423729
ko04350	0.02
ko00140	0.257143
ko00983	0.0909091
ko05416	0.0263158
ko00330	0.656
ko04080	0.0401338
ko03018	0.48
ko00908	0.125
ko04930	0.0645161
ko04320	0.291667
ko03430	0.688889
ko00906	0.0857143
ko00900	0.657143
ko04520	0.0338983
ko02040	0.682927
ko00471	1
ko00473	1
ko05014	0.0697674
ko04510	0.0300752
ko04810	0.0277778
ko04210	0.0322581
ko00240	0.552632
ko04012	0.05
ko04010	0.0652174
ko04011	0.102564
ko00100	0.129032
ko00860	0.601942
ko04070	0.0263158
ko04640	0.0128205
ko04310	0.103093
ko03420	0.4375
ko00770	0.827586
ko00280	0.596491
ko04150	0.166667
ko04920	0.0666667
ko04973	0.105263
ko05160	0.0135135
ko03050	0.0833333
ko00930	0.0714286
ko04112	0.483871
ko04722	0.0235294
