PID	Coverage
M00279	0.782589
M00276	1
M00277	0.939642
M00274	0.999874
M00275	1
M00272	0.582733
M00273	1
M00270	1
M00271	1
M00278	0.420477
M00012	0.875925
M00010	1
M00011	0.953757
M00016	1
M00017	1
M00014	0.0197948
M00015	1
M00153	1
M00018	1
M00019	1
M00157	1
M00156	0.000270399
M00128	0.0945134
M00129	2.27e-06
M00126	1
M00127	1
M00124	1
M00125	1
M00123	1
M00120	1
M00121	1
M00089	0.0021272
M00088	0.999967
M00081	1
M00083	1
M00085	6.69483e-05
M00087	0.9947
M00086	1
M00335	0.999999
M00334	5.19485e-05
M00338	1
M00238	1
M00239	1
M00232	0.999928
M00233	0.531392
M00230	0.990293
M00231	6.11883e-05
M00236	1
M00237	1
M00234	1
M00235	0.00840738
M00344	0.634704
M00345	0.435125
M00348	1
M00349	0.980051
M00289	0.00238235
M00166	1.24525e-06
M00167	0.513268
M00164	1
M00283	0.999971
M00282	1
M00281	0.00559176
M00280	0.771792
M00287	0.859292
M00049	1
M00048	1
M00045	1
M00047	4.86016e-05
M00046	1
M00040	0.00286596
M00265	1
M00264	3.52145e-05
M00267	1
M00266	1
M00260	0.0689449
M00263	0.000401767
M00303	0.123936
M00300	1
M00306	0.843634
M00307	1
M00305	0.0169387
M00168	0.999908
M00001	1
M00003	1
M00002	1
M00005	1
M00004	1
M00007	1
M00006	1
M00009	0.970588
M00008	1
M00159	1
M00135	1
M00134	1
M00136	0.106935
M00130	0.301944
M00133	1
M00151	0.185563
M00150	0.768828
M00228	1
M00183	1
M00185	1
M00221	1
M00220	0.947442
M00223	1
M00222	1
M00225	0.544203
M00224	1
M00227	1
M00226	0.591069
M00308	0.0015992
M00359	1
M00318	3.02743e-06
M00258	1
M00310	1
M00171	0.236787
M00170	0.999939
M00173	0.581728
M00172	0.999908
M00175	1
M00174	0.152323
M00176	0.763254
M00178	1
M00079	1
M00076	1
M00077	1
M00229	0.324439
M00188	1
M00189	1
M00250	1
M00251	1
M00252	0.000197876
M00253	1
M00254	1
M00255	1
M00256	1
M00311	1
M00259	1
M00313	1
M00312	0.99998
M00034	0.000866363
M00035	1
M00036	0.000393764
M00031	0.0154091
M00100	4.91512e-05
M00214	1
M00215	0.999967
M00216	1
M00217	0.0713556
M00210	1
M00211	1
M00212	1
M00213	0.226149
M00063	1
M00218	0.00497538
M00219	0.00415344
M00199	1
M00198	1
M00197	1
M00194	1
M00193	1
M00192	0.297115
M00191	0.727489
M00190	1
M00360	1
M00361	1
M00362	0.982678
M00364	1
M00365	1
M00366	0.996958
M00064	1
M00148	1.54135e-05
M00149	1
M00061	1
M00060	1
M00144	1
M00140	1
M00141	1
M00336	1
M00269	1
M00268	0.999878
M00098	1
M00099	7.06433e-06
M00093	1
M00091	0.0156646
M00096	1
M00094	5.65147e-06
M00324	1
M00325	1
M00326	0.6143
M00320	0.668869
M00249	0.235432
M00248	1
M00247	1
M00245	1
M00244	1
M00243	0.999955
M00242	1
M00241	0.0982362
M00240	1
M00029	1
M00028	1
M00023	1
M00022	1
M00021	1
M00020	1
M00027	1
M00026	1
M00025	1
M00024	1
M00117	0.999757
M00115	1
M00299	1
M00119	1
M00118	0.974525
M00052	1
M00053	1
M00050	1
M00051	1
M00202	1
M00201	0.982609
M00200	0.931124
M00207	1
M00206	0.142512
M00205	0.999982
M00204	0.0681884
M00209	1
M00208	1
M00169	1
