PID	Abundance
M00279	107.520720391
M00276	463.308352187
M00277	347.509680883
M00274	218.976161494
M00275	481.360365679
M00272	114.424609106
M00273	1626.79416453
M00270	387.389489631
M00271	755.243491628
M00377	0
M00376	0
M00375	0
M00374	0
M00373	0
M00372	0
M00278	48.9121001178
M00370	0
M00012	77.5315539684
M00013	0
M00010	12361.1576939
M00011	1139.31877818
M00016	6674.70195842
M00017	2602.90804078
M00014	0.419163248721
M00015	14751.7393888
M00153	12205.9087012
M00152	0
M00018	7176.8741866
M00019	3417.89065374
M00157	13434.9693179
M00156	0
M00155	0
M00154	0
M00128	5.06345770832
M00129	0
M00126	14242.0170261
M00127	7079.2104432
M00124	10340.3402614
M00125	15990.057601
M00122	0
M00123	13793.9811169
M00120	14389.5462156
M00121	692.438193995
M00089	1.09665423498e-07
M00088	0.00228716483991
M00081	372.579124155
M00080	0
M00083	16769.22891
M00082	3.37526824376e-07
M00085	2.23372440304e-08
M00087	138.089603476
M00086	19229.8256174
M00333	0
M00332	0
M00331	0
M00330	0
M00337	0
M00336	569.440858507
M00335	773.364486732
M00334	1.62206410378e-20
M00339	0
M00338	454.70853452
M00238	3264.86802692
M00239	2393.91107779
M00232	166.050981631
M00233	201.809925697
M00230	126.355751262
M00231	0.00569648414856
M00236	4584.77044431
M00237	2111.70429302
M00234	336.878946854
M00235	0.450939336498
M00346	2.71551333299e-12
M00347	0
M00344	141.276013282
M00345	2.36492954301
M00342	2.66262554943e-06
M00343	6.3805375996e-07
M00340	0
M00341	0
M00348	167.27268432
M00349	87.1950797676
M00162	0
M00163	0
M00160	0
M00288	0
M00166	0
M00167	231.209883586
M00164	13434.9693179
M00165	0
M00283	114.109151779
M00282	541.268271827
M00168	758.082477871
M00280	81.8932521374
M00287	203.768793608
M00286	0
M00285	0
M00284	0
M00049	13605.3427296
M00048	13031.426171
M00045	14582.4049234
M00044	0
M00047	6.01913401282e-10
M00046	230.887220905
M00040	3.65683640891
M00043	1.56547261946e-18
M00042	2.42330898675e-07
M00265	383.039219166
M00264	7.28578614848e-10
M00267	572.558804326
M00266	519.280099146
M00261	4.32360395012e-15
M00260	129.518324545
M00263	2.59080017861e-09
M00262	0
M00302	1.00572290628e-14
M00303	66.7947954021
M00300	519.061274474
M00301	0
M00306	87.5970660986
M00307	834.49523819
M00304	3.34733747867e-12
M00305	0.000226236755325
M00289	23.5430942299
M00161	0
M00281	192.160972727
M00001	18908.6768176
M00003	19273.3740941
M00002	18595.7439946
M00005	16657.7012896
M00004	13472.9205659
M00007	16828.8091279
M00006	11232.9256589
M00009	1226.72191017
M00008	8157.20058555
M00159	4000.84469103
M00158	0
M00138	0
M00135	299.494291067
M00134	2161.64823549
M00137	0
M00136	41.2316617507
M00131	1.58985842819e-08
M00130	0.00271603369523
M00133	1855.20342661
M00132	0
M00151	40.6807002791
M00150	194.63812252
M00180	0
M00228	856.677669818
M00182	0
M00183	3912.39179207
M00184	0
M00185	659.214527086
M00186	0.0274484256886
M00187	1.40056444299e-07
M00188	1434.18319574
M00189	1865.33672852
M00223	211.09798813
M00222	13479.0635197
M00225	124.248684405
M00224	134.421194082
M00227	429.474818485
M00226	114.886564098
M00308	69.7881484792
M00355	0
M00354	0
M00357	0
M00356	0
M00351	0
M00350	0
M00353	0
M00352	0
M00359	19388.5538005
M00358	0
M00319	39.6765856595
M00251	132.869354518
M00311	16659.2091497
M00259	344.649838578
M00171	170.450701053
M00170	1108.431009
M00173	31.1262279267
M00172	753.902663363
M00175	311.261876462
M00174	0.00881484664518
M00177	0
M00176	136.314508951
M00179	0
M00178	22406.1402558
M00078	6.3267295283
M00079	1826.45410855
M00070	7.91652761216e-42
M00071	3.92382009617e-14
M00072	0
M00073	19.4425901617
M00074	0
M00075	0
M00076	929.698389083
M00077	1834.61713309
M00229	55.5610888083
M00181	0
M00118	65.0269932843
M00221	518.802775365
M00220	0.606935305577
M00250	4862.29534291
M00318	2.61381210643e-12
M00252	0.449873124399
M00253	22.5778767469
M00254	11104.4422374
M00255	4807.15818619
M00256	15936.2882562
M00257	0
M00258	15726.2226308
M00310	239.190724157
M00313	14216.1398798
M00312	164.847141408
M00315	1.36642567446e-08
M00314	8.6323205973e-10
M00317	32.0265641647
M00316	5.63301626835e-38
M00038	4.12202528033e-09
M00039	0
M00034	58.4003419698
M00035	11930.0803058
M00036	13.962380321
M00037	1.82314491908e-12
M00030	8.06841770322e-06
M00031	72.6635422239
M00032	9.29711478624e-06
M00033	0
M00113	3.53905063914e-23
M00112	0
M00108	0.000112927628194
M00109	0
M00119	14340.8876355
M00100	3.61769143584
M00101	0
M00102	0
M00103	0
M00104	0
M00105	0
M00106	0
M00107	0
M00214	1025.15313698
M00215	83.5619132099
M00216	163.919400826
M00217	83.4228527748
M00210	2806.35555884
M00211	8105.12978194
M00212	1074.21918847
M00213	29.2630029955
M00148	0
M00218	1.1528265728
M00219	22.1203222552
M00199	569.537356601
M00198	431.580110163
M00197	1019.37916815
M00194	770.175467428
M00193	232.396156806
M00192	32.3401265085
M00191	71.1655779642
M00190	818.737259569
M00068	0
M00360	19480.5820548
M00361	804.312708176
M00362	359.059767122
M00364	1717.69640125
M00365	1356.41267003
M00366	40.3365214127
M00367	0
M00368	0
M00067	0
M00066	0
M00065	6.60918797174e-06
M00064	1479.29430694
M00063	14814.9845731
M00149	16416.2841859
M00061	11360.0088723
M00060	13770.1210269
M00144	8336.38148849
M00145	0
M00146	0
M00147	0
M00140	17373.3293038
M00141	578.141178512
M00142	0
M00143	0
M00309	3.85633904724e-06
M00269	585.522890424
M00268	495.876149124
M00098	130.071478477
M00099	0
M00092	3.06485149116
M00093	14564.6097835
M00090	9.67816204123e-13
M00091	8.800638019
M00096	6301.26088686
M00097	1.09208766958
M00094	0
M00095	0.251149944769
M00324	234.203536501
M00325	110.163914938
M00326	18.3553419792
M00327	3.61369304674e-58
M00320	119.830553925
M00321	0
M00322	0.00129254019562
M00323	0.0091048379286
M00328	9.07605642319e-70
M00329	8.59497819607e-20
M00249	46.2267420191
M00248	6726.81871907
M00247	3013.59936786
M00246	0
M00245	636.619105987
M00244	2831.41813606
M00243	168.307435908
M00242	12000.5094112
M00241	38.9139194206
M00240	15664.7297
M00029	4444.08269361
M00028	6307.87066699
M00023	12798.5655248
M00022	9392.48452129
M00021	14731.9094698
M00020	15730.8949967
M00027	463.950891711
M00026	5801.34416484
M00025	1628.00285059
M00024	1252.39108963
M00117	331.763643092
M00116	8.60626045673e-06
M00115	16306.0512022
M00114	0
M00298	0
M00299	12916.6367893
M00110	0
M00294	2.23289649418e-09
M00295	0
M00296	1.56141498658e-05
M00297	7.10365046653e-26
