PID	Coverage
ko00564	0.407407
ko00680	0.403226
ko00562	0.311111
ko00563	0.153846
ko05100	0.0461538
ko00440	0.259259
ko00250	0.833333
ko04060	0.0183486
ko00072	1
ko04940	0.0833333
ko04380	0.0212766
ko04650	0.0897436
ko03450	0.105263
ko00760	0.714286
ko00920	0.59375
ko04144	0.0869565
ko00310	0.37037
ko04146	0.2
ko00600	0.325
ko04140	0.190476
ko04141	0.153285
ko04142	0.131313
ko04260	0.0508475
ko03040	0.35
ko02060	0.853333
ko04712	0.0416667
ko04930	0.0322581
ko00511	0.6875
ko00510	0.136364
ko05110	0.12766
ko04974	0.102041
ko00860	0.553398
ko00450	0.821429
ko00565	0.125
ko00904	0.030303
ko00300	0.75
ko00195	0.0952381
ko00260	0.731343
ko00190	0.456311
ko03440	0.576271
ko00750	0.666667
ko04626	0.0285714
ko04664	0.0232558
ko04660	0.025
ko00061	0.653846
ko03070	0.567568
ko00903	0.428571
ko00380	0.306452
ko00500	0.810127
ko05120	0.127273
ko00590	0.107143
ko05323	0.169231
ko05322	0.0652174
ko05320	0.04
ko04962	0.0606061
ko00062	0.142857
ko00625	0.576923
ko00624	0.117647
ko00627	0.355932
ko00626	0.357143
ko00620	0.863014
ko00623	0.0714286
ko00270	0.727273
ko00010	0.7375
ko05111	0.238095
ko00941	0.05
ko01053	0.1875
ko00943	0.0769231
ko00100	0.193548
ko01056	0.1
ko04672	0.027027
ko04670	0.0140845
ko04950	0.04
ko00071	0.468085
ko00740	0.451613
ko03060	0.564103
ko00561	0.507937
ko00534	0.0416667
ko04910	0.025974
ko00531	0.642857
ko04916	0.015625
ko05130	0.0263158
ko04914	0.0338983
ko00360	0.411765
ko00361	0.0526316
ko04111	0.0169492
ko04115	0.0172414
ko04114	0.0135135
ko00121	1
ko00532	0.047619
ko00430	0.375
ko02010	0.686154
ko00130	0.615385
ko04330	0.178571
ko00633	0.363636
ko00040	0.745098
ko00730	0.818182
ko00362	0.386667
ko01040	0.275862
ko00311	0.142857
ko04514	0.0449438
ko04512	0.0535714
ko00281	0.5
ko04145	0.129032
ko03013	0.151515
ko03010	0.451389
ko05200	0.0083682
ko00601	0.08
ko03015	0.0943396
ko00312	0.571429
ko05020	0.0344828
ko05143	0.0285714
ko05142	0.0365854
ko00520	0.700935
ko05140	0.0363636
ko05146	0.0384615
ko05145	0.0107527
ko05144	0.047619
ko00052	0.77193
ko00053	0.4
ko00051	0.850746
ko00400	0.758065
ko00350	0.42623
ko00480	0.5
ko00640	0.712121
ko00720	0.686567
ko00960	0.0434783
ko02020	0.732919
ko04020	0.037594
ko03008	0.121951
ko04966	0.3125
ko00290	1
ko04614	0.117647
ko04610	0.0289855
ko04612	0.0731707
ko03410	0.560976
ko05010	0.0142857
ko00603	0.142857
ko05012	0.0176991
ko00410	0.516129
ko00983	0.0909091
ko05150	0.0923077
ko00791	0.285714
ko00790	0.791667
ko00020	0.867925
ko00710	0.0277778
ko04710	0.0555556
ko00340	0.684211
ko00785	1
ko04130	0.0588235
ko00550	0.864865
ko00650	0.84058
ko03030	0.490196
ko04742	0.0869565
ko02030	0.807692
ko03320	0.0363636
ko04530	0.0289855
ko00830	0.0857143
ko00514	0.0357143
ko04340	0.0512821
ko04621	0.0588235
ko04620	0.027027
ko04623	0.0454545
ko04622	0.0377358
ko00910	0.59596
ko00460	0.357143
ko00521	0.647059
ko00780	0.7
ko00630	0.606061
ko00970	0.5
ko00030	0.659091
ko00670	0.851852
ko00230	0.491667
ko04122	0.857143
ko04120	0.10084
ko00540	0.766667
ko05014	0.0465116
ko03022	0.2
ko00660	0.75
ko03020	0.322034
ko04630	0.00847458
ko04350	0.04
ko00140	0.228571
ko00330	0.616
ko04080	0.0234114
ko05310	0.0526316
ko03018	0.426667
ko00908	0.125
ko04320	0.125
ko03430	0.711111
ko00906	0.0571429
ko00900	0.685714
ko04520	0.0338983
ko02040	0.756098
ko00471	1
ko00473	1
ko04510	0.0225564
ko04810	0.0208333
ko04210	0.0322581
ko00240	0.519737
ko04010	0.0217391
ko04011	0.0769231
ko01055	1
ko04113	0.0505051
ko04640	0.025641
ko05016	0.0136054
ko04310	0.0618557
ko03420	0.416667
ko00770	0.793103
ko00280	0.631579
ko04150	0.0333333
ko04920	0.0666667
ko04973	0.0526316
ko03050	0.125
ko00930	0.0714286
ko04112	0.516129
