PID	Abundance
M00279	66.6445960199
M00276	595.496281923
M00277	171.024589059
M00274	974.396569531
M00275	915.827716484
M00272	202.605432288
M00273	4768.56856486
M00270	713.435393988
M00271	1503.31963353
M00377	0
M00376	0
M00375	0
M00374	0
M00373	0
M00372	0
M00371	0
M00370	0
M00012	0.760102044497
M00013	0
M00010	14562.3243261
M00011	1190.12051323
M00016	5782.7963919
M00017	3795.14961067
M00014	0.13272066256
M00015	14977.3105549
M00153	8198.6030729
M00152	0
M00018	11185.8477168
M00019	2674.97814791
M00157	15287.948859
M00156	0.00496491169978
M00155	0
M00154	0
M00128	0
M00129	1.80588183244e-05
M00126	12021.6890225
M00127	7678.99206189
M00124	7731.51706839
M00125	15000.2131156
M00122	0
M00123	10477.9569541
M00120	13978.2357241
M00121	1154.54382104
M00089	3.31472420391e-06
M00088	132.674301723
M00081	320.148381165
M00080	0
M00083	16816.30059
M00082	5.20795353002e-10
M00085	8.39675169224
M00087	175.647409044
M00086	14416.0734955
M00333	0
M00332	0.00553712311088
M00331	0
M00330	0
M00337	0
M00336	725.325531295
M00335	0
M00334	21.4507186437
M00339	0
M00338	647.023539313
M00238	3156.39969022
M00239	4422.86576888
M00232	254.850734397
M00233	51.0815748537
M00230	291.946358312
M00231	0.0398215337434
M00236	6701.5522523
M00237	1976.0565203
M00234	324.489939439
M00235	0.00779899433056
M00346	7.27997965117e-14
M00347	0
M00344	121.249585408
M00345	195.438086554
M00342	0.109036891184
M00343	0.000564675805003
M00340	0
M00341	7.3678865931e-18
M00348	430.019274078
M00349	189.022163234
M00162	0
M00163	0
M00160	0
M00288	0
M00166	7.06476854003
M00167	1.01371122743e-06
M00164	15287.948859
M00165	1.32795653839e-06
M00283	131.825763546
M00282	1490.59519796
M00168	400.981395988
M00280	118.866178357
M00287	56.407309895
M00286	6.84227148354e-07
M00285	6.22188506322e-05
M00284	0
M00049	12511.7245188
M00048	10054.5737308
M00045	9532.38917602
M00044	0
M00047	0.0118492201153
M00046	131.454967725
M00040	36.6348720087
M00043	3.98918043012e-50
M00042	0
M00265	889.058238681
M00264	0.0250228115954
M00267	1274.62393737
M00266	1213.34631278
M00261	0
M00260	0
M00263	0.409480115707
M00262	0
M00302	0.0500480679635
M00303	0.394113199733
M00300	629.575335553
M00301	0
M00306	48.4506491001
M00307	1951.25384312
M00304	1.05493333833e-07
M00305	0.0761584931787
M00289	0.526030177438
M00161	0
M00281	105.694064928
M00001	19581.3666082
M00003	18907.8989948
M00002	18877.8721701
M00005	17134.8089429
M00004	10921.7398221
M00007	17145.1587976
M00006	8013.10911661
M00009	1458.75952122
M00008	7128.67218035
M00159	4076.92276317
M00158	0
M00138	0
M00135	181.778874274
M00134	794.10492585
M00137	0
M00136	0
M00131	1.23540051406e-11
M00130	0.0151731923774
M00133	2044.68323636
M00151	21.7548943769
M00150	347.88568408
M00180	0
M00228	1833.75526885
M00182	0
M00183	9491.95316105
M00184	0
M00185	3331.96483661
M00186	29.0908933332
M00187	4.71195042263
M00188	2752.12974041
M00189	3244.76444672
M00223	616.859645993
M00222	13184.7733548
M00225	27.7942440413
M00224	101.472750838
M00227	318.197927859
M00226	29.2083896645
M00308	0.10710023842
M00355	0
M00354	0
M00357	0
M00356	0
M00351	0
M00350	0
M00353	0
M00352	0
M00359	18809.4049488
M00358	0
M00319	7.02660553409
M00251	670.932559445
M00311	11712.7108004
M00259	492.011934983
M00171	8.23704459687
M00170	593.059517431
M00173	0.154618942531
M00172	399.745774968
M00175	705.758510429
M00174	26.1965898791
M00177	0
M00176	45.8246163389
M00179	0
M00178	22439.587898
M00078	0
M00079	1498.5921234
M00070	0
M00071	0
M00072	9.60593320013e-12
M00073	0.000461539214102
M00074	0
M00075	0
M00076	851.683019664
M00077	1595.80719592
M00229	129.662997532
M00181	2.07002329521e-09
M00118	63.9093740735
M00221	1495.62801834
M00220	25.9897539998
M00250	7995.20288728
M00318	0.0395727955493
M00252	0.0126229557758
M00253	380.064847559
M00254	11222.9460026
M00255	3826.50004267
M00256	15594.3942831
M00257	3.85287035188e-13
M00258	15116.9953091
M00310	2013.13514868
M00313	9978.99163758
M00312	220.176597169
M00315	9.443260044e-05
M00314	2.68444560136e-15
M00317	15.6266332189
M00316	1.17097262647e-13
M00038	1.96632197946e-08
M00039	0
M00034	16.134718731
M00035	1482.71066168
M00036	0.105632868414
M00037	3.63941310186e-10
M00030	0.00196123621498
M00031	56.177237984
M00032	0.0165333287173
M00033	0
M00113	0
M00112	0
M00108	0
M00109	0
M00119	11619.9131152
M00100	0.0106246397304
M00101	0
M00102	0
M00103	7.60366440532e-12
M00104	0
M00105	0
M00106	6.00517248523e-14
M00107	0
M00214	5304.78783164
M00215	281.781872926
M00216	841.395676617
M00217	57.3241595775
M00210	2482.85311142
M00211	6121.74369863
M00212	2182.67810375
M00213	9.58987195558e-46
M00148	0
M00218	0.01258929233
M00219	36.171259276
M00199	1917.4571474
M00198	889.704981966
M00197	5729.99641097
M00194	4924.06271837
M00193	353.647642184
M00192	8.55583002285e-11
M00191	158.427985425
M00190	1369.07382608
M00142	0
M00068	0
M00360	18879.5875963
M00361	3397.66618902
M00362	1002.96662584
M00364	1875.22601606
M00365	1291.25378503
M00366	30.0742272421
M00367	0
M00368	0
M00369	0
M00066	0
M00065	0.0636806729895
M00064	1957.18600972
M00063	9259.43688369
M00149	11604.8030337
M00061	9629.63121139
M00060	9752.19301324
M00144	5226.85577124
M00145	0
M00146	0
M00147	0
M00140	15831.0988139
M00141	513.001752625
M00069	0
M00143	0
M00309	1.45643103619e-05
M00269	648.062155728
M00268	112.006565839
M00098	286.343460346
M00099	3.40532792765e-10
M00092	0.0667252378671
M00093	12324.7135641
M00090	0.00514353621052
M00091	3.04584717525
M00096	7413.35329219
M00097	0.00190847758498
M00094	2.34104884744e-06
M00095	0.668410931027
M00324	393.862434391
M00325	181.33370376
M00326	64.0728314813
M00327	0
M00320	248.78330214
M00321	0.0163364882028
M00322	1.78134242817e-08
M00323	0.00548470132974
M00328	0
M00329	8.37594569353e-41
M00249	0.588222175764
M00248	9331.50880865
M00247	5875.11375442
M00246	1535.51490529
M00245	1535.51490529
M00244	2196.23738258
M00243	278.469564525
M00242	9698.75116502
M00241	7.73767101824e-12
M00240	9641.63546644
M00029	5747.76542884
M00028	9348.68474942
M00023	13032.0976922
M00022	11073.31731
M00021	14021.9721249
M00020	12867.5875243
M00027	285.056780896
M00026	11326.2788495
M00025	882.234374958
M00024	673.35606408
M00117	0
M00116	8.22487591159e-05
M00115	14776.387095
M00114	0
M00298	5.81696848859e-08
M00299	14362.0271186
M00110	0
M00294	0
M00295	0
M00296	0.0332707745028
M00297	0
M00290	3.64365863235e-05
M00291	2.44451639167e-08
M00292	2.04152892345e-15
M00293	0
M00058	5.62887419574e-07
M00059	1.23082573408e-08
M00056	0
M00057	2.49122663084e-07
M00055	6.70128091e-07
M00052	14121.2773462
M00053	1179.88450744
M00050	12045.2011475
M00051	16071.2534137
M00203	0
M00202	464.476593123
M00201	114.592917525
M00200	48.9779446581
M00207	2397.00212488
M00206	91.2617425417
M00205	450.836731855
M00204	25.2886968228
M00209	334.649248136
M00208	5547.21499149
M00169	12230.1439316
M00278	0
