PID	Coverage
M00279	0.946345
M00276	1
M00277	1
M00274	1
M00275	1
M00272	1
M00273	1
M00270	1
M00271	1
M00010	1
M00011	0.856958
M00016	1
M00017	1
M00014	0.290869
M00015	1
M00153	1
M00018	1
M00019	1
M00157	1
M00128	7.07557e-06
M00126	1
M00127	1
M00124	1
M00125	1
M00123	1
M00120	1
M00121	1
M00089	0.035673
M00088	0.999966
M00081	1
M00083	1
M00087	1
M00086	1
M00338	1
M00238	1
M00239	1
M00232	0.999883
M00233	0.855323
M00230	0.88757
M00231	1.3797e-06
M00236	1
M00237	1
M00234	1
M00235	5.00393e-06
M00344	1
M00345	0.793767
M00342	7.04728e-05
M00343	0.000105578
M00348	1
M00349	1
M00289	0.50313
M00167	0.00961022
M00164	1
M00165	2.66778e-08
M00283	0.999985
M00282	1
M00281	0.0843703
M00169	1
M00287	1
M00049	1
M00048	1
M00045	1
M00046	0.998232
M00040	0.695314
M00265	1
M00264	8.30324e-05
M00267	1
M00266	1
M00261	3.81407e-07
M00263	8.52001e-07
M00302	2.01786e-07
M00303	0.999881
M00300	1
M00306	0.0610131
M00307	1
M00304	3.13992e-06
M00305	0.000645389
M00168	0.998927
M00001	1
M00003	1
M00002	1
M00005	1
M00004	1
M00007	1
M00006	1
M00009	0.905531
M00008	1
M00159	1
M00135	1
M00134	1
M00136	1.53747e-05
M00131	0.175641
M00130	3.06981e-05
M00133	1
M00151	3.3485e-07
M00150	0.0406694
M00228	1
M00183	1
M00185	1
M00186	0.600001
M00221	1
M00220	0.08791
M00223	1
M00222	1
M00225	0.999998
M00224	0.999993
M00227	1
M00226	0.012598
M00308	1
M00359	1
M00319	0.607512
M00258	1
M00310	1
M00171	0.661846
M00170	0.999284
M00173	3.13417e-05
M00172	0.998927
M00175	1
M00174	0.0725781
M00176	0.700763
M00178	1
M00079	1
M00073	3.25396e-08
M00076	1
M00077	1
M00188	1
M00189	1
M00250	1
M00251	1
M00252	0.00135413
M00253	0.999484
M00254	1
M00255	1
M00256	1
M00311	1
M00259	1
M00313	1
M00312	1
M00038	6.3308e-06
M00034	0.248353
M00035	1
M00036	0.913059
M00031	0.709867
M00100	0.987251
M00107	9.63773e-07
M00214	1
M00215	1
M00216	1
M00217	0.00437625
M00210	1
M00211	1
M00212	1
M00063	1
M00218	7.71932e-06
M00219	0.540132
M00199	1
M00198	1
M00197	1
M00194	1
M00193	1
M00192	0.0405719
M00191	0.0370271
M00190	1
M00360	1
M00361	1
M00362	0.999994
M00364	1
M00365	1
M00366	0.999366
M00064	1
M00149	1
M00061	1
M00060	1
M00144	1
M00140	1
M00141	1
M00309	0.000368218
M00269	1
M00268	1
M00098	1
M00099	3.16274e-08
M00092	0.0186978
M00093	1
M00091	0.827622
M00096	1
M00097	0.00123503
M00094	0.108231
M00095	0.064999
M00324	1
M00325	1
M00326	0.999961
M00320	0.929225
M00321	1.17619e-07
M00322	2.79995e-06
M00248	1
M00247	1
M00246	1
M00245	1
M00244	1
M00243	0.999997
M00242	1
M00240	1
M00029	1
M00028	1
M00023	1
M00022	1
M00021	1
M00020	1
M00027	1
M00026	1
M00025	0.999733
M00024	0.999643
M00280	0.657123
M00117	0.673285
M00116	0.00252881
M00115	1
M00299	1
M00294	6.72285e-05
M00296	1.24123e-06
M00119	1
M00052	1
M00053	1
M00050	1
M00051	1
M00202	1
M00201	0.999938
M00200	0.968362
M00207	1
M00206	0.959363
M00205	1
M00204	0.700523
M00209	1
M00208	1
