PID	Coverage
ko00564	0.444444
ko00680	0.408602
ko00562	0.355556
ko00563	0.0769231
ko05100	0.0923077
ko00440	0.259259
ko00250	0.851852
ko04060	0.0183486
ko00010	0.7375
ko04650	0.0641026
ko03450	0.0526316
ko00760	0.714286
ko00920	0.5625
ko04144	0.0797101
ko00310	0.37037
ko04146	0.128571
ko00600	0.375
ko04140	0.190476
ko04141	0.124088
ko04142	0.0909091
ko04260	0.0338983
ko03040	0.375
ko02060	0.826667
ko04712	0.0833333
ko04930	0.0322581
ko00511	0.625
ko00510	0.113636
ko05110	0.106383
ko04974	0.102041
ko00450	0.821429
ko00565	0.125
ko00300	0.725
ko00195	0.047619
ko00260	0.671642
ko00190	0.42233
ko03440	0.525424
ko00750	0.733333
ko04626	0.0285714
ko00061	0.653846
ko03070	0.608108
ko05211	0.02
ko02040	0.634146
ko04740	0.0625
ko00380	0.322581
ko00500	0.848101
ko05120	0.0909091
ko00590	0.107143
ko05323	0.107692
ko05322	0.0217391
ko04964	0.0833333
ko04962	0.0606061
ko00625	0.576923
ko00624	0.176471
ko00627	0.372881
ko00626	0.392857
ko00620	0.890411
ko00270	0.727273
ko05111	0.214286
ko00940	0.04
ko00941	0.1
ko01053	0.28125
ko00100	0.0322581
ko04672	0.027027
ko04670	0.0140845
ko00071	0.510638
ko00740	0.516129
ko05219	0.030303
ko05215	0.0147059
ko05212	0.0188679
ko03060	0.564103
ko00603	0.285714
ko00561	0.492063
ko00534	0.0416667
ko04910	0.025974
ko00531	0.571429
ko05130	0.0263158
ko00532	0.047619
ko00360	0.431373
ko00361	0.263158
ko04111	0.0254237
ko04115	0.0172414
ko00121	1
ko04914	0.0169492
ko00430	0.375
ko02010	0.630769
ko00130	0.589744
ko04330	0.107143
ko00633	0.363636
ko00040	0.686275
ko00730	0.772727
ko00362	0.373333
ko01040	0.310345
ko00311	0.142857
ko04514	0.0561798
ko04512	0.0535714
ko00281	0.625
ko04145	0.0860215
ko03013	0.121212
ko03010	0.465278
ko05200	0.0125523
ko00601	0.04
ko03015	0.0754717
ko04113	0.040404
ko00312	0.714286
ko05020	0.0344828
ko05142	0.0121951
ko00520	0.728972
ko05140	0.0363636
ko00521	0.705882
ko05146	0.0128205
ko05144	0.015873
ko00052	0.754386
ko00053	0.514286
ko00051	0.776119
ko00400	0.709677
ko00350	0.42623
ko00480	0.5
ko00640	0.787879
ko00720	0.701493
ko00960	0.0434783
ko02020	0.73913
ko00522	0.0909091
ko04020	0.0150376
ko03008	0.121951
ko04966	0.1875
ko00290	0.909091
ko04614	0.176471
ko04612	0.0243902
ko03410	0.414634
ko05010	0.00714286
ko05012	0.00884956
ko00410	0.612903
ko00983	0.0909091
ko05150	0.0615385
ko00791	0.285714
ko00790	0.708333
ko00020	0.849057
ko00710	0.0555556
ko00340	0.710526
ko00785	1
ko04130	0.0294118
ko00550	0.756757
ko00650	0.782609
ko03030	0.411765
ko04742	0.0434783
ko02030	0.846154
ko04530	0.0434783
ko00514	0.0357143
ko04340	0.025641
ko04621	0.0588235
ko04620	0.0135135
ko04623	0.0227273
ko04622	0.0566038
ko04270	0.0121951
ko00910	0.59596
ko00460	0.321429
ko00830	0.114286
ko00780	0.7
ko00630	0.651515
ko00970	0.5
ko00030	0.795455
ko00670	0.814815
ko00230	0.479167
ko04122	0.761905
ko04120	0.10084
ko00540	0.833333
ko05014	0.0697674
ko03022	0.114286
ko00660	0.666667
ko03020	0.372881
ko04630	0.0254237
ko00140	0.2
ko05416	0.0263158
ko00330	0.632
ko04080	0.0267559
ko03018	0.386667
ko00908	0.125
ko04320	0.166667
ko03430	0.622222
ko00906	0.0857143
ko00900	0.685714
ko04520	0.0508475
ko00903	0.52381
ko00471	1
ko00473	1
ko04510	0.0150376
ko04810	0.0277778
ko04210	0.0322581
ko00240	0.513158
ko04012	0.0166667
ko04010	0.0108696
ko04011	0.0769231
ko01055	1
ko00860	0.601942
ko05016	0.00680272
ko04310	0.0927835
ko03420	0.354167
ko00770	0.827586
ko00280	0.649123
ko04150	0.0666667
ko04920	0.0666667
ko04973	0.105263
ko03050	0.0625
ko00930	0.0714286
ko04112	0.516129
