PID	Coverage
M00279	0.999993
M00276	1
M00277	1
M00274	1
M00275	1
M00272	0.993065
M00273	1
M00270	1
M00271	1
M00012	0.00597278
M00010	1
M00011	0.941146
M00016	1
M00017	1
M00014	0.927336
M00015	1
M00153	1
M00018	1
M00019	1
M00157	1
M00128	0.00815506
M00126	1
M00127	1
M00124	1
M00125	1
M00123	1
M00120	1
M00121	1
M00089	0.000304439
M00088	0.846534
M00081	1
M00083	1
M00087	0.998933
M00086	1
M00332	0.15521
M00338	1
M00238	1
M00239	1
M00232	1
M00233	0.999591
M00230	1
M00231	4.78906e-05
M00236	1
M00237	1
M00234	1
M00344	1
M00345	0.978309
M00342	0.455508
M00343	0.0300904
M00348	1
M00349	0.999973
M00289	0.620752
M00166	0.0394757
M00167	0.0290665
M00164	1
M00165	0.014526
M00283	1
M00282	1
M00281	1
M00280	1
M00287	0.991607
M00049	1
M00048	1
M00045	1
M00046	1
M00040	0.0185825
M00265	1
M00264	0.648008
M00267	1
M00266	1
M00303	0.526384
M00300	1
M00306	0.141543
M00307	1
M00304	0.00485144
M00305	0.063257
M00168	1
M00001	1
M00003	1
M00002	1
M00005	1
M00004	1
M00007	1
M00006	1
M00009	0.961728
M00008	1
M00159	1
M00135	0.996636
M00134	1
M00136	0.605677
M00130	0.0212754
M00133	1
M00151	0.596448
M00150	1
M00228	1
M00183	1
M00185	1
M00186	0.992435
M00221	1
M00220	0.641293
M00223	1
M00222	1
M00225	0.271284
M00224	1
M00227	1
M00226	0.259648
M00308	0.993742
M00359	1
M00358	0.72005
M00319	0.000182448
M00258	1
M00310	1
M00171	0.469368
M00170	1
M00173	0.874542
M00172	1
M00175	1
M00174	0.375884
M00176	0.208441
M00178	1
M00078	0.145974
M00079	1
M00073	1.74271e-05
M00076	1
M00077	1
M00229	0.275709
M00118	0.0210626
M00188	1
M00189	1
M00250	1
M00251	1
M00252	0.0219877
M00253	0.98984
M00254	1
M00255	1
M00256	1
M00257	0.0159684
M00311	1
M00259	1
M00313	1
M00312	1
M00035	1
M00030	0.00469136
M00031	0.999974
M00032	0.00711407
M00100	0.00906166
M00214	1
M00215	1
M00216	1
M00217	0.157264
M00210	1
M00211	1
M00212	1
M00213	0.000263412
M00063	1
M00218	0.262099
M00219	0.421907
M00199	1
M00198	1
M00197	1
M00194	1
M00193	1
M00191	0.574063
M00190	1
M00360	1
M00361	1
M00362	0.976334
M00364	1
M00365	1
M00366	0.941794
M00065	9.21833e-05
M00064	1
M00148	0.473364
M00061	1
M00060	1
M00144	1
M00140	1
M00141	1
M00269	1
M00268	1
M00098	1
M00092	0.00952667
M00093	1
M00091	0.0145885
M00096	1
M00097	0.0123016
M00095	0.644009
M00324	1
M00325	0.419097
M00326	0.993369
M00320	0.999897
M00249	0.206045
M00248	1
M00247	1
M00245	1
M00244	1
M00243	0.999437
M00242	1
M00241	0.00237258
M00240	1
M00029	1
M00028	1
M00023	1
M00022	1
M00021	1
M00020	1
M00027	1
M00026	1
M00025	1
M00024	1
M00117	0.0184723
M00116	0.0214623
M00115	1
M00299	1
M00119	1
M00052	1
M00053	1
M00050	1
M00051	1
M00202	1
M00201	0.98717
M00200	0.99751
M00207	1
M00206	0.512693
M00205	1
M00204	0.684827
M00209	1
M00208	1
M00169	1
