PID	Abundance
ko04020	3.59163227455
ko00564	2320.18920134
ko00680	2789.47449724
ko00562	1349.59201248
ko00563	10.1499826733
ko05100	8.9052045824
ko00440	1881.84499446
ko05143	1.04598611111
ko00250	10426.7237148
ko04062	0.0758080486954
ko00361	5.70888038398
ko04060	3.43986062865
ko04940	2.2113812855
ko04380	1.14586084272
ko00330	4506.20247743
ko04650	6.09491188413
ko03450	18.7005777008
ko00760	5637.60835659
ko00920	4449.73446681
ko04144	6.57249632193
ko04145	14.9201123675
ko04146	221.985092715
ko00600	1799.72670232
ko04140	9.69043457795
ko04141	203.367446309
ko04142	30.8213341754
ko00604	3.56354571429
ko04260	2.84343113449
ko03040	32.9734513235
ko05142	1.42529750041
ko04711	0.691515989301
ko02060	575.205487354
ko04712	2.93033666095
ko00513	5.36901462772
ko00512	0.607155336741
ko00511	6811.97138588
ko00510	470.923880917
ko05110	20.0513983118
ko04974	447.999003362
ko04976	0.186938845578
ko00450	5481.89602491
ko00565	39.5501949854
ko04320	10.1708141315
ko00910	3013.05033599
ko04075	0.785673977286
ko00300	7971.35400758
ko03430	7456.27365723
ko00196	0.16489851065
ko00195	11.6736492289
ko00260	6012.17752101
ko00190	2888.30342523
ko03440	6959.50055548
ko00750	7754.29686479
ko05140	1.19802492655
ko04664	0.059283017174
ko00591	0.132263240715
ko04666	0.154682421501
ko00062	0.590338445148
ko00061	7258.81631583
ko04662	0.0959382765285
ko03070	3802.85338033
ko04520	1.53658363625
ko03060	7196.38518296
ko04370	1.02416470588e-05
ko02040	232.337194471
ko02030	1578.44444665
ko00380	630.771178239
ko00500	4762.11370105
ko05120	416.587688433
ko00590	452.0923015
ko00310	691.229244393
ko05323	15.8568310614
ko05322	2.26157284268
ko04964	2.55655566667
ko05320	0.436255222425
ko04962	10.1428364834
ko04960	0.437230222886
ko04660	0.695977080785
ko00625	1863.84513819
ko00624	975.848057212
ko00627	747.615920683
ko00626	2277.03144444
ko00621	0.02136894
ko00620	6325.46584573
ko00623	64.3050731417
ko00622	1.017683
ko00270	5871.86033191
ko00010	5290.00759812
ko00940	0.97128785336
ko00941	22.0090549602
ko01053	66.3751740235
ko00943	0.45208
ko00100	6.64181682845
ko01057	0.361802147466
ko01056	7.33910648522
ko00362	576.895076766
ko04670	0.48411809734
ko04950	2.39151350268
ko00071	1116.62068799
ko00740	4395.25332459
ko04360	3.01432421569
ko05219	0.419597977134
ko00534	2.73601752973
ko05216	0.429357309635
ko05215	1.00841327085
ko05212	0.188400962902
ko05211	0.203482836463
ko05210	9.7965284658e-06
ko00561	1455.71454397
ko04912	0.428584791083
ko04910	118.355671207
ko00531	2102.22100727
ko04916	0.996991801583
ko05130	15.416166042
ko04914	1.21013006924
ko00360	1713.56142649
ko00633	293.035819327
ko04111	0.903227011827
ko04110	0.630559935308
ko00533	0.38248274311
ko04115	1.7172331476
ko04114	0.322436359946
ko00532	8.28404316952
ko00430	5121.24881427
ko02010	1760.69758543
ko00130	2362.34832955
ko04330	10.9820601061
ko04112	5345.82550491
ko00040	5908.21653888
ko00730	7449.73642593
ko00970	9207.05632949
ko01040	799.550498569
ko00311	625.222310421
ko04514	3.3665220394
ko04512	6.41914848748
ko00281	1376.84172255
ko04510	1.12544235565
ko03013	341.116258731
ko03010	12125.0871958
ko05200	2.18384837414
ko00601	17.7304146843
ko03015	7.19909847071
ko00312	66.9879501416
ko05020	13.9599945634
ko00522	0.299506726487
ko00523	2705.02152915
ko00520	5667.09855599
ko00521	6857.12678784
ko05146	1.85644686257
ko05145	0.469572454397
ko05144	1.3049580607
ko00052	3748.40103565
ko00053	1138.82498926
ko00051	6557.07261353
ko00400	6595.04009942
ko00402	0.245115624414
ko00350	2119.80655903
ko00480	2582.16608831
ko00643	0.436486940237
ko00642	0.0208356677778
ko00640	3130.48917861
ko00720	6961.36518009
ko00960	3.65622900252
ko02020	1592.76699872
ko00120	0.324936666667
ko00121	12117.1079438
ko03008	317.267687867
ko04966	50.1513141697
ko00290	11701.7080968
ko04614	9.1570957424
ko04610	2.05652796588
ko04612	3.0977608947
ko03410	4840.10437628
ko05010	1.77557758332
ko00603	102.291179563
ko05012	0.715786515849
ko00980	0.996184778512
ko00981	0.6918975
ko00410	2761.26344929
ko00983	158.762864031
ko05150	44.0825184317
ko00791	324.063135215
ko00790	7364.59414786
ko04540	0.194394038976
ko00020	6568.82538768
ko00710	20.7911076662
ko04710	2.3848294642
ko00340	7820.12934679
ko04130	2.57454369913
ko00550	8630.57319984
ko00650	3201.08289459
ko03030	5715.08730809
ko05221	0.0227360434783
ko04742	5.5230841301
ko04740	1.00900622892
ko03320	0.967221978216
ko04744	0.605226613106
ko04745	0.492787886697
ko04530	10.3881184878
ko00514	4.11865784336
ko04340	3.46946041195
ko04621	8.05473560593
ko04620	0.961347570704
ko04623	0.849665363636
ko04622	7.66907925037
ko04270	1.92286441269
ko04626	472.757692365
ko00460	3417.01916842
ko04970	0.0232738611667
ko00830	37.2970014203
ko00780	9112.46680286
ko00630	3711.76764896
ko00785	8105.76200609
ko00030	8417.4801904
ko00230	4704.85709763
ko04122	2814.77513507
ko04975	0.0343389230769
ko04120	6.50324836316
ko00540	7037.1245834
ko05111	210.610212078
ko03022	11.4805769144
ko00660	7280.02534742
ko03020	2994.28426986
ko00982	0.0383827161627
ko04630	1.3458746347
ko04350	2.35915578707
ko00140	516.863156472
ko05414	0.165447573137
ko00860	2739.49618662
ko05410	0.0392776315789
ko05412	0.157886986182
ko04080	2.19870647667
ko03018	3308.94496084
ko00908	3198.16815189
ko04930	2.726376875
ko00904	0.750703614896
ko00905	0.0178054610316
ko00906	7.6560966327
ko00900	5861.31003064
ko00902	0.0751158125
ko00903	1196.34201083
