,anterior_nares,buccal_mucosa,hard_palate,keratinized_gingiva,l_retroauricular_crease,mid_vagina,palatine_tonsils,posterior_fornix,r_antecubital_fossa,r_retroauricular_crease,saliva,stool,subgingival_plaque,supragingival_plaque,throat,tongue_dorsum,vaginal_introitus
k__Archaea,5.308300395256917e-07,0.0,0.0,0.0,2.4565217391304345e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00026818137432188066,0.0,0.0,0.0,9.330143540669856e-09,0.0
k__Archaea|p__Euryarchaeota,5.308300395256917e-07,0.0,0.0,0.0,2.4565217391304345e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00026818137432188066,0.0,0.0,0.0,9.330143540669856e-09,0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria,5.308300395256917e-07,0.0,0.0,0.0,2.4565217391304345e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00026813182640144663,0.0,0.0,0.0,0.0,0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,5.308300395256917e-07,0.0,0.0,0.0,2.4565217391304345e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00026813182640144663,0.0,0.0,0.0,0.0,0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,5.308300395256917e-07,0.0,0.0,0.0,2.4565217391304345e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00026813182640144663,0.0,0.0,0.0,0.0,0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter,5.308300395256917e-07,0.0,0.0,0.0,2.4565217391304345e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0002604658227848101,0.0,0.0,0.0,0.0,0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,2.608695652173913e-07,0.0,0.0,0.0,1.1608695652173912e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00023360650994575045,0.0,0.0,0.0,0.0,0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified,2.608695652173913e-07,0.0,0.0,0.0,1.1608695652173912e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00023360650994575045,0.0,0.0,0.0,0.0,0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified,2.6996047430830045e-07,0.0,0.0,0.0,1.2956521739130435e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.6858589511754068e-05,0.0,0.0,0.0,0.0,0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666365280289329e-06,0.0,0.0,0.0,0.0,0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666365280289329e-06,0.0,0.0,0.0,0.0,0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae|t__GCF_000012545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666365280289329e-06,0.0,0.0,0.0,0.0,0.0
k__Archaea|p__Euryarchaeota|c__Methanococci,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.954792043399638e-08,0.0,0.0,0.0,9.330143540669856e-09,0.0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.954792043399638e-08,0.0,0.0,0.0,9.330143540669856e-09,0.0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.954792043399638e-08,0.0,0.0,0.0,9.330143540669856e-09,0.0
k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcaceae_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.954792043399638e-08,0.0,0.0,0.0,9.330143540669856e-09,0.0
k__Bacteria,0.6815574260869565,0.9317257223719677,0.963654,0.9597257647058823,0.9007905652173913,0.9980163571428572,0.9989726,0.9780258196172248,0.952701,0.906270625,0.9687332857142856,0.996955280289331,0.9985088750000001,0.9960596772486773,0.9907306111111112,0.9985730454545454,0.9489903636363636
k__Bacteria|p__Acidobacteria,0.0,2.0814824797843665e-05,0.0,0.0,0.0,0.0,1.584e-06,0.0,0.0,0.0,0.0,1.1607594936708862e-06,0.0,1.7460317460317462e-08,0.0,3.263157894736842e-07,0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteria_noname,0.0,2.0814824797843665e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteria_noname|o__Acidobacteria_noname,0.0,2.0814824797843665e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteria_noname|o__Acidobacteria_noname|f__Acidobacteria_noname,0.0,2.0814824797843665e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteria_noname|o__Acidobacteria_noname|f__Acidobacteria_noname|g__Candidatus_Chloracidobacterium,0.0,2.0814824797843665e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteria_noname|o__Acidobacteria_noname|f__Acidobacteria_noname|g__Candidatus_Chloracidobacterium|s__Candidatus_Chloracidobacterium_thermophilum,0.0,2.0814824797843665e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteria_noname|o__Acidobacteria_noname|f__Acidobacteria_noname|g__Candidatus_Chloracidobacterium|s__Candidatus_Chloracidobacterium_thermophilum|t__GCF_000226295,0.0,2.0814824797843665e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia,0.0,0.0,0.0,0.0,0.0,0.0,1.584e-06,0.0,0.0,0.0,0.0,1.1607594936708862e-06,0.0,1.7460317460317462e-08,0.0,3.263157894736842e-07,0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales,0.0,0.0,0.0,0.0,0.0,0.0,1.584e-06,0.0,0.0,0.0,0.0,1.1607594936708862e-06,0.0,1.7460317460317462e-08,0.0,3.263157894736842e-07,0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae,0.0,0.0,0.0,0.0,0.0,0.0,1.584e-06,0.0,0.0,0.0,0.0,1.1607594936708862e-06,0.0,1.7460317460317462e-08,0.0,3.263157894736842e-07,0.0
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.101265822784809e-08,0.0,0.0,0.0,0.0,0.0
