PID	Abundance
M00276	11388.6292559
M00277	344.011206805
M00274	159.761827244
M00275	3268.86099037
M00272	36.0804124397
M00273	10378.0691848
M00270	5549.36285722
M00271	1439.01418772
M00377	0
M00376	0
M00375	0
M00374	0
M00373	0
M00372	0
M00278	0.0148856894801
M00279	4679.74312486
M00012	163.207637112
M00013	4.46345566798e-07
M00010	2232.40846336
M00011	4581.03073795
M00016	5640.39394165
M00017	8880.83270383
M00014	0.000723864435048
M00015	12935.3528849
M00153	4531.52230929
M00152	0
M00018	13852.5430236
M00019	9766.03506641
M00157	13929.4339541
M00156	1518.36430284
M00155	0
M00154	0
M00128	17.0932405897
M00129	15.9325378272
M00126	4501.81956425
M00127	6867.47562122
M00124	1667.55197276
M00125	7106.68162937
M00122	4.64031496227
M00123	4447.59134965
M00120	10110.6670758
M00121	4796.39335114
M00089	0
M00088	0
M00081	1.48817512373e-05
M00080	0
M00083	14159.9108776
M00082	0.247068879667
M00085	0.375132565089
M00087	60.5501383717
M00086	4663.41300418
M00333	97.8513291377
M00332	0
M00331	0
M00330	2.86849640398e-08
M00336	4163.47884601
M00335	4808.1831803
M00334	72.6699101205
M00339	0
M00338	345.82680404
M00238	15142.4480732
M00239	11197.9619834
M00232	77.7786430393
M00233	331.875755339
M00230	47.7869197504
M00231	0.0142457364501
M00236	16757.4889679
M00237	6907.98832641
M00234	340.045676913
M00235	7.58802371734
M00346	6.24610238401e-09
M00347	0
M00344	5051.97726372
M00345	0.706431655075
M00342	1.19467807667
M00343	1.47946856203e-05
M00340	0
M00341	0
M00348	51.3167014574
M00349	708.331290095
M00162	0
M00163	0
M00289	2.09791880289
M00288	0
M00166	0
M00167	0.000789295897173
M00164	13929.4339541
M00165	0
M00283	10541.3200177
M00282	309.227239126
M00168	7188.5437448
M00169	2706.90844047
M00287	43.0780816774
M00286	0
M00285	0
M00284	0
M00049	17459.492482
M00048	18969.620971
M00045	656.015176296
M00044	1.94195798224e-07
M00047	0
M00046	16.2840087295
M00040	48.9001800347
M00043	6.89360971177e-08
M00042	2.19142674205e-05
M00293	0
M00265	9372.33888525
M00264	0
M00267	1860.98992225
M00266	506.296594877
M00261	0
M00260	0
M00263	0.141021243103
M00262	0.0221694888081
M00302	6.38227361107e-11
M00303	0.00185140757394
M00300	1344.06665903
M00301	0
M00306	0.797685095604
M00307	7532.85477034
M00304	0.499855695133
M00305	6.34205012381e-09
M00160	0
M00161	0
M00281	4457.64792595
M00001	15152.8299747
M00003	10323.3896259
M00002	15794.2355372
M00005	16526.2800231
M00004	10933.3684607
M00007	9995.38454499
M00006	12065.6275029
M00009	3285.01956983
M00008	2995.10602772
M00159	635.64069166
M00158	0
M00138	0
M00135	130.380170938
M00134	455.312538886
M00137	0
M00136	4.22145752633
M00131	0
M00130	0.000410243975396
M00133	980.234223537
M00132	0
M00151	1697.19384584
M00150	2928.46967561
M00180	0
M00228	14336.4914216
M00182	0
M00183	15030.2040085
M00184	0
M00185	2860.57734884
M00186	250.954428376
M00187	1.66604945748e-05
M00188	11523.4289554
M00189	3538.84575451
M00223	337.794332778
M00222	7037.82359089
M00225	111.628262431
M00224	85.1833533583
M00227	575.336756631
M00226	46.2521373207
M00355	0
M00354	0
M00356	0
M00351	0
M00350	0
M00353	0
M00352	0
M00359	12345.2420735
M00358	0
M00319	1300.13448086
M00251	0.295593768577
M00311	1388.46453015
M00259	2299.50250217
M00171	63.428648933
M00170	5066.5537792
M00173	0.011497234796
M00172	3204.21214335
M00175	1307.42119157
M00174	656.500734305
M00177	0
M00176	67.8953137376
M00179	0
M00178	17837.3553197
M00078	0
M00079	75.6663404786
M00072	0
M00073	9.18198619876e-06
M00074	0
M00075	0
M00076	5.03497201747
M00077	53.4531169729
M00229	2066.31778773
M00181	0
M00221	1202.8493955
M00220	0.0957592186425
M00250	1247.1874137
M00318	2766.19505936
M00252	47.7348682125
M00253	0.000217143888706
M00254	14837.2013194
M00255	4453.7635074
M00256	13979.2278557
M00257	1.01879636779e-05
M00258	13912.3188955
M00310	0.0344132881052
M00313	0.0790860818156
M00312	0
M00315	0
M00314	0.000117796914705
M00317	465.089190238
M00316	21.1365663838
M00038	0
M00039	0
M00034	5.99134162515e-11
