PID	Coverage
M00279	1
M00276	1
M00277	1
M00274	1
M00275	1
M00272	0.999944
M00273	1
M00270	1
M00271	1
M00278	1
M00012	1
M00013	1.26348e-12
M00010	1
M00011	1
M00016	1
M00017	1
M00014	0.738283
M00015	1
M00153	1
M00018	1
M00019	1
M00157	1
M00156	1
M00128	0.999933
M00129	1
M00126	1
M00127	1
M00124	1
M00125	1
M00122	0.999998
M00123	1
M00120	1
M00121	1
M00088	1
M00081	0.142105
M00083	1
M00082	0.00112188
M00087	0.99977
M00086	1
M00333	0.97795
M00330	1.05447e-05
M00335	1
M00334	1
M00338	1
M00238	1
M00239	1
M00232	1
M00233	1
M00230	0.866433
M00231	5.46159e-12
M00236	1
M00237	1
M00234	1
M00235	0.997542
M00346	7.00539e-09
M00344	1
M00345	0.21507
M00342	2.17231e-10
M00343	5.53278e-13
M00348	1
M00349	1
M00289	0.863304
M00167	0.0135687
M00164	1
M00283	1
M00282	1
M00281	1
M00169	1
M00287	0.0317938
M00286	2.16502e-10
M00285	3.38102e-09
M00049	1
M00048	1
M00045	1
M00046	0.999907
M00040	0.999998
M00043	3.59411e-05
M00042	6.48898e-11
M00265	1
M00264	3.27065e-12
M00267	1
M00266	1
M00261	0.000137775
M00263	0.021514
M00262	2.94916e-05
M00302	1.13e-05
M00303	0.0218965
M00300	1
M00306	0.96709
M00307	1
M00304	9.48198e-07
M00305	0.0013485
M00168	1
M00001	1
M00003	1
M00002	1
M00005	1
M00004	1
M00007	1
M00006	1
M00009	1
M00008	1
M00159	1
M00135	1
M00134	1
M00136	0.857816
M00131	3.31972e-13
M00130	3.67009e-07
M00133	1
M00151	1
M00150	1
M00228	1
M00183	1
M00185	1
M00186	1
M00187	0.000262359
M00221	1
M00220	0.084856
M00223	1
M00222	1
M00225	0.999988
M00224	1
M00227	1
M00226	0.999988
M00308	2.47327e-13
M00353	1.13945e-08
M00359	1
M00319	1
M00318	1
M00258	1
M00310	0.927302
M00171	0.582844
M00170	1
M00173	0.593363
M00172	1
M00175	1
M00174	0.999999
M00176	0.958986
M00178	1
M00079	1
M00072	6.29426e-13
M00073	1.07396e-09
M00076	0.956042
M00077	0.999876
M00229	1
M00188	1
M00189	1
M00250	1
M00251	1
M00252	1
M00253	0.967611
M00254	1
M00255	1
M00256	1
M00311	1
M00259	1
M00313	1
M00312	0.0140095
M00317	1
M00316	0.942996
M00038	2.38561e-13
M00034	9.06967e-07
M00035	1
M00036	1
M00030	1.12164e-12
M00031	3.68137e-06
M00032	6.25248e-12
M00100	1.01353e-09
M00214	1
M00215	0.734727
M00216	1
M00217	1
M00210	1
M00211	1
M00212	1
M00063	1
M00218	0.999999
M00219	1
M00199	1
M00198	1
M00197	1
M00194	1
M00193	1
M00192	5.01169e-10
M00191	1
M00190	1
M00360	1
M00361	0.944796
M00362	0.980895
M00364	1
M00365	1
M00366	0.978295
M00367	3.36589e-09
M00065	2.16955e-12
M00064	1
M00148	3.28834e-08
M00149	1
M00061	1
M00060	1
M00144	1
M00140	1
M00141	1
M00142	1.5917e-08
M00336	1
M00269	1
M00268	1
M00098	1
M00092	0.333449
M00093	1
M00090	0.00308251
M00091	0.218339
M00096	1
M00097	0.965255
M00095	1
M00324	1
M00325	1
M00326	1
M00320	1
M00321	0.0648535
M00323	0.00351385
M00328	0.000848527
M00249	1
M00248	1
M00247	1
M00246	1
M00245	1
M00244	1
M00243	1
M00242	1
M00241	0.14424
M00240	1
M00029	1
M00028	1
M00023	1
M00022	1
M00021	1
M00020	1
M00027	1
M00026	1
M00025	1
M00024	1
M00280	1
M00117	1
M00115	1
M00298	0.49695
M00299	1
M00296	0.857648
M00291	2.22851e-09
M00119	1
M00118	1
M00058	1.55073e-09
M00057	2.08106e-08
M00055	2.05492e-13
M00052	1
M00053	1
M00050	1
M00051	1
M00203	1.90238e-08
M00202	0.998585
M00201	1
M00200	0.99819
M00207	1
M00206	0.95007
M00205	0.838355
M00204	0.999987
M00209	1
M00208	1
