PID	Coverage
ko05340	0.0294118
ko00564	0.493827
ko00680	0.397849
ko00562	0.4
ko00563	0.269231
ko05100	0.123077
ko00440	0.296296
ko00592	0.133333
ko00250	0.888889
ko04060	0.0275229
ko00072	0.875
ko04380	0.0319149
ko04650	0.0897436
ko03450	0.0526316
ko00760	0.771429
ko00920	0.59375
ko04144	0.181159
ko00310	0.425926
ko04146	0.228571
ko00600	0.325
ko04140	0.190476
ko04141	0.131387
ko04142	0.111111
ko00604	0.0714286
ko04260	0.0508475
ko03040	0.433333
ko00523	0.125
ko04711	0.125
ko02060	0.88
ko04712	0.125
ko00513	0.0204082
ko00511	0.6875
ko00510	0.136364
ko05110	0.148936
ko04974	0.163265
ko04976	0.0172414
ko00450	0.75
ko00565	0.125
ko00300	0.7
ko00195	0.380952
ko00260	0.746269
ko00190	0.519417
ko03440	0.610169
ko00750	0.666667
ko04626	0.0285714
ko04666	0.0188679
ko00061	0.692308
ko03070	0.783784
ko05211	0.02
ko00380	0.274194
ko00500	0.797468
ko05120	0.109091
ko00590	0.0714286
ko05323	0.123077
ko05322	0.0652174
ko04962	0.0606061
ko04960	0.0416667
ko04660	0.0125
ko00625	0.538462
ko00624	0.176471
ko00627	0.372881
ko00626	0.464286
ko00621	0.0769231
ko00620	0.876712
ko00623	0.0714286
ko00622	0.05
ko00270	0.69697
ko00010	0.7625
ko00941	0.05
ko01053	0.59375
ko01056	0.2
ko04672	0.027027
ko04670	0.028169
ko00071	0.468085
ko00740	0.451613
ko04360	0.025
ko05219	0.030303
ko05216	0.0714286
ko05215	0.0294118
ko05212	0.0188679
ko03060	0.692308
ko01055	1
ko00534	0.166667
ko04910	0.0649351
ko00531	0.571429
ko04916	0.015625
ko05130	0.0263158
ko00360	0.431373
ko04111	0.0423729
ko04110	0.0873786
ko00533	0.0714286
ko04115	0.0517241
ko04114	0.027027
ko00532	0.0952381
ko00430	0.5
ko02010	0.781538
ko00130	0.615385
ko04330	0.321429
ko00633	0.590909
ko00040	0.72549
ko00730	0.772727
ko00362	0.36
ko01040	0.310345
ko00311	0.214286
ko04514	0.0449438
ko04512	0.107143
ko00281	0.625
ko04145	0.11828
ko03013	0.166667
ko03010	0.513889
ko05200	0.0167364
ko00601	0.12
ko03015	0.207547
ko04113	0.030303
ko05020	0.0689655
ko05142	0.0121951
ko00520	0.775701
ko00521	0.647059
ko05146	0.0128205
ko00052	0.649123
ko00053	0.514286
ko00051	0.865672
ko00400	0.693548
ko00350	0.47541
ko00480	0.657895
ko00643	0.444444
ko00640	0.727273
ko00720	0.716418
ko00960	0.0434783
ko02020	0.71118
ko04020	0.0225564
ko03008	0.109756
ko04966	0.125
ko00290	1
ko04614	0.117647
ko04610	0.0434783
ko04612	0.0243902
ko03410	0.634146
ko05010	0.00714286
ko00603	0.0714286
ko05012	0.00884956
ko00980	0.0454545
ko00410	0.612903
ko00983	0.0909091
ko05150	0.0923077
ko00791	0.285714
ko00790	0.791667
ko04540	0.0185185
ko00020	0.943396
ko00710	0.0555556
ko04710	0.166667
ko00340	0.789474
ko00785	1
ko04130	0.0882353
ko00550	0.918919
ko00650	0.855072
ko03030	0.529412
ko02030	0.807692
ko03320	0.0363636
ko04744	0.0588235
ko04530	0.057971
ko00514	0.107143
ko04340	0.128205
ko04621	0.0980392
ko04620	0.0405405
ko04623	0.0227273
ko04622	0.0754717
ko04270	0.0365854
ko00910	0.69697
ko00460	0.321429
ko00830	0.142857
ko00780	0.9
ko00630	0.712121
ko00970	0.546875
ko00030	0.795455
ko00670	0.851852
ko00230	0.520833
ko04122	0.809524
ko04120	0.168067
ko00540	0.733333
ko05111	0.238095
ko03022	0.314286
ko00660	0.916667
ko03020	0.355932
ko04630	0.0508475
ko04350	0.06
ko00140	0.228571
ko00330	0.704
ko04080	0.0334448
ko03018	0.506667
ko00908	0.125
ko04930	0.0645161
ko04320	0.291667
ko03430	0.755556
ko00906	0.171429
ko00900	0.857143
ko04520	0.0508475
ko00903	0.52381
ko00471	1
ko00473	1
ko05014	0.0697674
ko04950	0.04
ko00561	0.539683
ko04510	0.0300752
ko04810	0.0277778
ko04210	0.016129
ko00240	0.572368
ko04012	0.0666667
ko04010	0.0706522
ko04011	0.205128
ko00100	0.0645161
ko00860	0.660194
ko04640	0.025641
ko05016	0.0340136
ko04310	0.113402
ko03420	0.479167
ko00770	0.965517
ko02040	0.878049
ko00280	0.684211
ko04150	0.0666667
ko04920	0.111111
ko03050	0.166667
ko00930	0.0714286
ko04112	0.516129
ko04722	0.0117647
