PID	Abundance
ko05340	1.38309600957
ko00564	1500.24177862
ko00680	1135.90991818
ko00562	555.140336276
ko00563	12.1405507371
ko00561	918.921135303
ko00440	466.9335372
ko00250	3804.29528941
ko04062	0.0473935882887
ko04060	0.809685364884
ko00740	2043.46455399
ko04940	0.211472935622
ko00010	3191.94614893
ko00330	1602.69613319
ko04650	7.48024988389
ko03450	5.20313922457
ko00760	2522.82412575
ko00920	2203.23892996
ko04144	9.60714560459
ko04145	7.42752345332
ko04146	264.474487074
ko05100	22.4992166673
ko04140	5.70080288735
ko04141	53.728488896
ko04142	17.4368449334
ko00604	2.91417142857
ko05143	158.483919024
ko03040	50.0601733441
ko04711	3.24122418031
ko02060	1631.31802349
ko04712	3.51839480768
ko04971	0.457013425596
ko00512	3.0046374134
ko00511	877.809294846
ko00510	215.075324413
ko05110	8.16107418628
ko04974	86.9554595695
ko00860	2035.91803141
ko04020	2.45615513881
ko00450	3198.23130495
ko00565	28.9852175895
ko04320	19.3236804287
ko00910	1738.87563024
ko04075	0.107736898834
ko00300	3416.48277668
ko00196	0.123756250173
ko00195	4.87199394208
ko00260	2783.86838048
ko00190	1400.40889387
ko03440	3740.57948389
ko00750	3003.05415442
ko00592	156.195073969
ko04666	0.600305118712
ko04660	2.24716647169
ko00061	3880.19799347
ko04662	2.91583929641
ko03070	2296.01110408
ko03060	4430.14414652
ko04664	0.202449360839
ko00903	538.368878949
ko02030	876.001083906
ko00380	560.649175616
ko00500	2281.28672689
ko05120	197.120178709
ko00590	251.138526754
ko00310	590.943522563
ko05323	5.94442617739
ko05322	26.427903724
ko04964	0.30909763275
ko05320	0.407727131396
ko04962	13.4747219979
ko04960	0.57476
ko00062	0.392928503427
ko00625	653.859399447
ko00624	523.656634362
ko00627	378.224530228
ko00626	803.348245786
ko00621	0.0243166035202
ko00620	3021.60707974
ko00623	1565.40290644
ko00622	0.216575
ko00270	2963.45027781
ko04380	1.84470110956
ko00940	1.25519436543
ko00941	32.326748534
ko01053	187.50111616
ko00100	6.58286141732
ko00945	0.065406
ko01057	4.19878137108
ko01056	37.9237756134
ko00362	268.564251735
ko04670	0.712769811846
ko04950	4.61845433797
ko00071	507.097684044
ko00072	456.142385351
ko04360	1.47141566593
ko05219	0.211873891799
ko00534	5.00677183104
ko05216	1.97759314091
ko05215	2.22004564418
ko05212	0.133402080022
ko05211	2.9514344973
ko00603	8.8655486011
ko00312	0.2741825
ko04912	4.48626770443
ko04910	26.5510996715
ko00531	79.0651112752
ko04916	2.03496540296
ko00533	0.667546630899
ko04914	1.30803910753
ko00360	522.798221589
ko00361	60.8111488431
ko04111	1.22749866894
ko04110	2.50314469119
ko05130	3.51410346034
ko04115	3.18192892562
ko04114	0.688370189896
ko00532	0.965221750178
ko00430	1742.27386121
ko02010	1414.99567206
ko00130	1356.66292623
ko04330	13.2281995887
ko00633	510.735986876
ko00040	820.250004321
ko00730	2878.64569073
ko00970	5497.42036718
ko01040	511.109694185
ko00311	149.40179067
ko04514	2.45528449495
ko04512	7.06277271514
ko00281	308.642441429
ko04510	3.72067691198
ko03013	123.272384051
ko03010	6795.36740746
ko05200	2.95788348461
ko00601	6.24061144747
ko03015	17.2266526055
ko00600	267.119507415
ko05020	3.43534020323
ko00522	0.974577583742
ko00520	2649.20276621
ko00521	3847.63696946
ko05146	0.803835983205
ko05145	0.310763349717
ko00052	1639.62037658
ko00053	539.22050295
ko00051	2494.79480385
ko00400	2904.24156088
ko00402	0.215371437238
ko00350	965.96647716
ko00480	1847.74949084
ko00643	131.467713184
ko00642	0.036564340636
ko00640	1627.24840671
ko00720	3088.15419642
ko00960	2.83606445785
ko02020	595.078775777
ko00120	0.0183646666667
ko00121	0.842449479206
ko03008	268.327090115
ko04966	8.25678774094
ko00290	6077.94259398
ko04614	10.1670288653
ko04610	2.57425507652
ko04612	1.2108979549
ko03410	2526.54811696
ko05010	0.956085347272
ko05012	0.637548405515
ko00980	3.67636255943
ko00981	0.251763353629
ko00410	1010.32484162
ko00983	42.6630680543
ko05150	81.6496748227
ko00791	129.445065763
ko00790	3234.78352868
ko04540	0.512566618581
ko00020	3133.20374463
ko00710	3.15667474791
ko04710	6.58029428549
ko00340	2577.41624354
ko04130	10.6919638131
ko00550	4612.99994377
ko00650	1621.00984609
ko03030	3024.66902782
ko05221	0.0860069565217
ko04742	0.873084570612
ko04740	1.82290726645
ko03320	0.511528818186
ko04745	0.85453812558
ko04530	3.61427864598
ko00514	2.83469380972
ko04340	5.50772932929
ko04621	8.39477375036
ko04620	4.83236092262
ko04623	1.18816455217
ko04622	5.21884572668
ko04270	1.95315683093
ko04626	331.843729528
ko00513	1.74314824961
ko00460	1247.4478428
ko04970	0.0503663333333
ko00830	40.9232217774
ko00780	3167.94087348
ko00630	1222.91306894
ko00785	4271.47411409
ko00030	3698.12888427
ko00230	2635.49013282
ko04122	2303.87348924
ko04975	0.0333366153846
ko04120	23.0037462923
ko00540	3555.98791342
ko05014	2.88478279901
ko03022	10.4467711832
ko00660	4162.45620298
ko03020	1647.42722248
ko04630	2.82753724471
ko04350	1.7521730513
ko00140	8.70824473016
ko04976	0.465171051564
ko05410	1.22259523258
ko05412	0.0344396969697
ko04080	2.5312356826
ko03018	1935.18171686
ko00908	1536.90313807
ko04930	3.5795429375
ko00904	4.94205882353e-05
ko03430	3632.80383288
ko00906	77.1821660134
ko00900	3147.92815993
ko04520	3.41215519156
ko02040	224.812819116
ko00471	6079.31496846
ko00473	4430.52873588
ko05111	19.0988292729
ko00280	969.472334009
ko04810	3.60811840134
ko04210	18.4209624943
ko00240	3366.82075435
ko04012	3.89209667297
ko04013	0.569878126099
ko04010	4.10638199364
ko04011	9.02005274596
ko01055	6967.54802356
ko04113	3.97590146269
ko04070	0.386430210637
ko04640	0.775410837764
ko05016	0.806687902381
ko04310	10.8026974943
ko03420	2028.27574822
ko00770	4174.66220534
ko05210	2.76517729641
ko00670	4768.4891827
ko04150	1.66280206315
ko04920	3.52283749601
ko04973	1.39094078219
ko05160	0.0130844594595
ko03050	47.3129937902
ko00930	212.019855202
ko04112	2688.62611827
ko04722	1.83451028526
