PID	Coverage
M00276	1
M00277	1
M00274	1
M00275	1
M00273	1
M00270	1
M00271	1
M00278	0.892578
M00279	1
M00010	0.90987
M00011	1
M00016	1
M00017	1
M00015	1
M00153	1
M00018	1
M00150	1
M00157	1
M00156	0.0363154
M00126	1
M00127	0.991977
M00124	0.280145
M00125	1
M00123	1
M00120	1
M00121	0.630556
M00083	1
M00087	8.55055e-05
M00086	1
M00336	1
M00338	1
M00238	1
M00239	1
M00232	1
M00233	1
M00230	0.907767
M00231	4.93782e-06
M00236	1
M00237	1
M00234	1
M00235	0.598109
M00344	1
M00345	0.998729
M00342	0.00548701
M00343	0.00110572
M00348	0.999691
M00349	0.999229
M00289	0.0023217
M00167	0.00279744
M00164	1
M00283	1
M00282	1
M00168	1
M00280	1
M00049	1
M00048	1
M00045	0.999755
M00046	0.999996
M00265	1
M00267	1
M00266	1
M00263	3.75514e-06
M00303	1.6862e-06
M00300	1
M00306	0.999964
M00268	1
M00304	0.122167
M00281	1
M00001	1
M00003	1
M00002	1
M00005	1
M00004	1
M00007	1
M00006	1
M00009	0.964184
M00008	0.887491
M00159	1
M00135	0.857219
M00134	0.332667
M00133	0.999949
M00151	0.159891
M00019	1
M00228	1
M00183	1
M00185	0.999742
M00221	1
M00223	1
M00222	1
M00225	0.999973
M00224	0.99998
M00227	1
M00226	0.999973
M00359	1
M00250	1
M00318	1
M00258	1
M00170	1
M00172	1
M00175	1
M00178	1
M00079	0.273522
M00229	1
M00188	1
M00189	1
M00319	0.997849
M00251	0.00209243
M00252	1
M00254	1
M00255	1
M00256	1
M00311	0.251485
M00259	1
M00313	0.0984703
M00314	3.51099e-06
M00317	1
M00316	0.999887
M00035	1
M00107	2.20987e-06
M00214	1
M00215	0.0464285
M00210	1
M00211	1
M00212	1
M00199	0.0627213
M00198	1
M00197	1
M00194	1
M00193	1
M00192	7.76678e-06
M00191	1
M00190	1
M00360	1
M00361	0.000126764
M00362	0.000380195
M00364	1
M00365	0.0843851
M00366	0.310735
M00064	1
M00063	1
M00149	1
M00061	4.49401e-06
M00060	1
M00144	0.999826
M00140	1
M00141	1
M00269	1
M00307	1
M00098	1
M00092	0.000354412
M00093	1
M00096	1
M00095	1
M00324	1
M00325	0.134048
M00320	1
M00248	1
M00247	1
M00246	1
M00245	1
M00244	1
M00243	1
M00242	1
M00240	1
M00029	0.383906
M00028	0.999999
M00023	1
M00022	1
M00021	1
M00020	1
M00027	0.34938
M00026	0.974148
M00025	1
M00024	1
M00117	7.45591e-06
M00115	0.172078
M00298	0.433256
M00299	1
M00119	1
M00118	1
M00052	1
M00053	1
M00050	1
M00051	0.908733
M00202	0.0544002
M00201	0.460166
M00200	0.00363123
M00207	1
M00205	1
M00209	1
M00208	0.00499807
M00169	1
