PID	Abundance
ko05340	3.87877259798
ko00564	2597.73661406
ko00680	1843.53648263
ko00562	1468.23848533
ko00563	76.691243985
ko05100	117.286131332
ko00440	845.774987853
ko05143	3.40785333333
ko00250	7622.40564605
ko04062	0.98600976596
ko04060	5.6927479897
ko00740	3009.13974067
ko04940	2.92809521421
ko04380	4.91090798359
ko00330	3211.36144386
ko04650	37.9317498302
ko03450	34.2340698292
ko00760	4664.11812697
ko00920	4486.24163049
ko04144	61.1980554152
ko04145	34.3096300366
ko04146	476.532289397
ko00600	688.162363793
ko04140	68.7023080632
ko04141	94.191250836
ko04142	39.1751493888
ko00604	15.32989
ko04260	8.63047717011
ko03040	244.571123841
ko05142	143.654330316
ko04711	28.4549267008
ko02060	3832.61006759
ko04712	21.2173467475
ko00513	15.7786476625
ko00512	5.75178803791
ko00511	2351.45940467
ko00510	412.703203514
ko05110	30.7820883737
ko04974	123.292291752
ko04976	0.66216621979
ko04020	6.43296899784
ko00450	5658.12952649
ko00565	94.822019819
ko04320	63.5728128162
ko00910	3220.41665518
ko04075	0.0230967592727
ko00300	6370.73110424
ko03430	6276.73957344
ko00196	0.77075954585
ko00195	9.40152775842
ko05416	1.9707139549
ko00260	5147.06452892
ko00190	2664.16632989
ko03440	6567.20217636
ko00750	5855.6890288
ko05140	5.17354597557
ko04664	1.48771440015
ko00591	0.0571715769394
ko04666	3.40574036891
ko00062	15.008834175
ko00061	5566.39087936
ko04662	5.00151997392
ko03070	4252.43782584
ko00253	0.977817377946
ko03060	8305.08939197
ko04370	0.187419411765
ko02040	202.408604098
ko02030	1481.39606694
ko00380	1044.9529536
ko00500	4922.81475385
ko05120	224.563484421
ko00590	433.136881783
ko00310	1054.79486406
ko05323	29.6845162696
ko05322	27.7621745064
ko04964	11.5747416602
ko05320	2.36683571358
ko04962	41.2898073406
ko04960	3.48567998161
ko04660	3.40319089392
ko00625	1255.27871245
ko00624	1033.48013727
ko00627	787.364560509
ko00626	1531.90621439
ko00621	998.643281844
ko00620	5725.78597789
ko00623	2805.19531562
ko00622	4.3685992
ko00270	5724.00802412
ko00010	6391.22841633
ko00940	8.23190069012
ko00941	129.074124315
ko01053	708.097808105
ko00943	0.00182251428571
ko00100	56.5854525584
ko01056	25.6183981798
ko00362	726.673445865
ko04670	4.00728973067
ko04950	29.461737191
ko00071	937.299024992
ko00072	1028.79863563
ko04360	7.88977064728
ko05219	2.15289664415
ko00534	22.4964646453
ko05216	6.08269572707
ko05215	6.04937488068
ko05212	0.845353407263
ko05211	5.17918687468
ko05210	4.20658136438
ko00561	1736.51613066
ko04912	4.62610885133
ko04910	30.6450523217
ko00531	55.3389234966
ko04916	8.55243414165
ko05130	15.7603381581
ko04914	7.65444906148
ko00360	922.871545639
ko00361	180.551179154
ko04111	23.4183260871
ko04110	5.30606801615
ko00364	64.9196786926
ko00533	13.4658223441
ko04115	15.055180183
ko04114	6.14021415815
ko00532	7.46191892236
ko00430	3416.55814805
ko02010	2676.47392679
ko00130	2623.93990863
ko04622	21.4484786717
ko03018	3597.71986445
ko00633	681.856647826
ko00040	1724.53635315
ko00730	5255.99044074
ko00970	9366.85707624
ko01040	812.217380532
ko00311	402.92260171
ko00363	1170.40892054
ko04512	31.4096395314
ko00281	508.540233159
ko04510	19.0453734877
ko03013	216.190261046
ko03010	12730.6268785
ko05200	9.14975374247
ko00601	7.2534348033
ko03015	122.883715657
ko05020	11.4931691343
ko00522	20.4669798882
ko00523	3127.12997005
ko00520	5030.12488316
ko00521	7821.49799224
ko05146	8.07367857763
ko05145	1.16811644392
ko05144	2.4765663825
ko00052	3287.64081844
ko00053	1279.88207491
ko00051	4750.97517695
ko00400	5586.01222523
ko00402	1.06268362781
ko00350	1802.31248897
ko00480	3179.85482779
ko00643	139.92646786
ko00642	2.76977777778e-05
ko00640	3148.24812846
ko00720	5443.67390659
ko00960	3.43744311481
ko02020	1373.11171511
ko00120	0.424506235803
ko00121	1.75542261476
ko03008	582.420183136
ko04966	54.8924322695
ko00290	11867.319055
ko04614	37.5537940484
ko04610	6.06583105803
ko04612	5.42504926472
ko03410	4646.71739706
ko05010	3.56201617396
ko00603	2.43721907885
ko05012	2.04718331618
ko00980	22.1328319987
ko00981	5.42892656678
ko00410	1770.70450702
ko05016	4.33048444227
ko05150	246.733614686
ko00791	354.116020987
ko00790	5484.74215608
ko05131	0.408767669574
ko04540	2.40354451916
ko00020	6139.43786756
ko00710	8.1460814059
ko04710	31.8053336738
ko00340	5756.90094254
ko04130	66.2584793748
ko00550	7870.16432145
ko00650	3394.3459131
ko03030	5494.85559555
ko05221	0.630895652174
ko04742	3.09123272844
ko04740	1.75546369656
ko03320	6.12779265055
ko04744	8.99146507233
ko04745	1.55245282456
ko04530	15.8068484434
ko00514	33.2365446293
ko04340	20.7307533458
ko04621	15.4472434787
ko04620	13.8940653508
ko04623	15.7297662727
ko04330	58.8754738691
ko04270	5.63425937284
ko04626	534.412877749
ko04971	1.09501485103
ko00460	2143.6435508
ko04970	0.71209047638
ko00830	94.2662468085
ko00780	4690.01300042
ko00630	2139.41665829
ko00785	8834.69329498
ko00030	6985.19693344
ko04972	2.61230845733
ko00230	5032.43778425
ko04122	4073.74748931
ko04975	0.0106211538462
ko04120	60.2433299256
ko00540	3482.35255922
ko05111	27.2316425204
ko03022	62.1245581601
ko00660	9361.48800692
ko03020	2929.28724515
ko00982	0.11689981736
ko04630	11.2306489176
ko04350	12.616568589
ko00140	16.0506140399
ko05414	7.07639391409
ko00983	80.2041812074
ko00860	3532.93249432
ko05410	1.02688157895
ko05412	0.225927529829
ko04080	12.0841040024
ko04514	14.3832636835
ko00908	2369.80392772
ko04930	21.088698875
ko00904	0.119903977988
ko00905	0.1468184
ko00906	102.725114362
ko00900	5691.50877056
ko00901	0.0707729502911
ko04520	15.2600659598
ko00903	1133.16159224
ko00471	10671.9118324
ko00473	8953.45073527
ko05014	5.3138513564
ko00592	250.268354893
ko00280	1898.7657547
ko04810	20.6887192094
ko04210	57.5402619582
ko00240	6191.41633969
ko04012	14.8739740787
ko04013	0.867226134093
ko04010	18.5562139658
ko04011	70.3242582858
ko01055	14272.6674296
ko04113	73.7710227857
ko04070	2.43696221793
ko04640	4.7526426043
ko04310	49.5673397523
ko03420	3897.91360192
ko00770	8431.73836427
ko00670	8041.27254462
ko04150	30.5343200865
ko04920	11.1620608251
ko04973	5.38169058315
ko05160	0.39180591242
ko03050	268.165146565
ko00930	423.622545296
ko04112	4490.63077688
ko04722	5.0440068821
