PID	Abundance
M00276	10919.9566496
M00277	765.949364108
M00274	1193.0677784
M00275	2254.0790159
M00272	342.43208307
M00273	12311.6365699
M00270	3853.89435612
M00271	8673.8447017
M00377	0
M00376	0
M00375	0
M00374	0
M00373	0
M00372	0
M00278	0.00383498115932
M00279	2178.39485348
M00012	3177.59188712
M00013	0
M00010	9130.84123385
M00011	15137.8488208
M00016	12189.4708557
M00017	10644.8784558
M00014	0.125796864976
M00015	11941.5783517
M00153	9393.39171181
M00152	0
M00018	17466.3590564
M00019	11008.6280959
M00157	23069.1291242
M00156	5745.1044933
M00155	0
M00154	0
M00128	96.5255549406
M00129	71.2195104515
M00126	7507.45132541
M00127	6278.96585468
M00124	487.305892979
M00125	16453.0485055
M00122	0.000127704832648
M00123	7790.15718807
M00120	16813.132922
M00121	10179.8261295
M00089	1.16125276617e-17
M00088	0
M00081	1.72348647177e-26
M00080	0
M00083	14303.3835244
M00082	8.28275984331e-05
M00085	7.61092307914e-09
M00087	128.191901416
M00086	13440.984297
M00333	0
M00332	0
M00331	0
M00330	0.00257478094855
M00336	11127.5977633
M00335	10210.9207329
M00334	167.748386368
M00339	0
M00338	2023.3936167
M00238	17959.0328488
M00239	11257.7022025
M00232	566.522486525
M00233	4122.39148035
M00230	62.2698752875
M00231	1.24844492692e-18
M00236	14485.1713443
M00237	2839.35832108
M00234	467.444906175
M00235	49.3733613487
M00346	2.02371705541e-11
M00347	0
M00344	1629.3851688
M00345	151.984330548
M00342	0
M00343	0
M00340	0
M00341	0
M00348	72.8292314676
M00349	1216.54059484
M00162	0
M00163	0
M00160	0
M00288	0
M00166	0.783663981872
M00167	63.1429918883
M00164	23069.1291242
M00165	4.28928855025e-14
M00283	2865.39877363
M00282	670.528634873
M00168	11225.1608389
M00169	5411.0621503
M00287	2.81203122487
M00286	0
M00285	0
M00284	0
M00049	24219.8122792
M00048	23410.5252151
M00045	3073.30883821
M00044	4.12795604682e-21
M00047	1.12203527159e-111
M00046	5.24980315959
M00040	62.8522607229
M00043	4.78471378172e-24
M00042	7.21126069504e-20
M00293	0
M00265	6225.54520036
M00264	1.45554209341e-22
M00267	3205.89593362
M00266	514.084289365
M00261	0
M00260	0
M00263	25.7180613461
M00262	0
M00302	7.85382231684e-27
M00303	2.40175809452e-07
M00300	3549.17914726
M00301	0
M00306	0.058841712062
M00307	16539.5514708
M00304	139.006180479
M00305	1.33089464905e-19
M00289	7.67296978988e-06
M00161	0
M00281	2416.02083031
M00001	20215.212322
M00003	17731.079732
M00002	24300.7800422
M00005	23510.7102775
M00004	15910.058196
M00007	16502.1128312
M00006	15359.0150569
M00009	12142.2822205
M00008	6056.17874082
M00159	1975.62798303
M00158	0
M00138	0
M00135	646.829570123
M00134	700.15628574
M00137	0
M00136	2.499583346e-05
M00131	0
M00130	2.73417486388e-10
M00133	4004.27214662
M00132	0
M00151	6299.39576323
M00150	2533.7681695
M00180	0
M00228	8223.19509352
M00182	0
M00183	23127.8442501
M00184	0
M00185	3255.83013498
M00186	224.039050014
M00187	1.27875516221e-11
M00188	7271.78887485
M00189	7007.76953607
M00223	906.859939362
M00222	5465.22094751
M00225	82.2584421533
M00224	210.281148474
M00227	303.984184893
M00226	82.2584421533
M00308	0
M00355	0
M00354	0
M00357	0
M00351	0
M00350	0
M00353	0
M00352	0
M00359	20973.5450056
M00358	6.71498699516e-16
M00319	2227.61484832
M00251	0.526029585414
M00311	410.773430397
M00259	2411.69065495
M00171	254.79206766
M00170	8169.80690478
M00173	8.86343902255e-15
M00172	5654.92388773
M00175	767.191937837
M00174	314.939287155
M00177	0
M00176	1.31610222629e-06
M00179	0
M00178	30373.4933109
M00078	2.54568284467e-27
M00079	8.05158098678
M00071	0
M00072	0
M00073	2.80528647453e-18
M00074	0
M00075	0
M00076	61.4109507112
M00077	63.7232012914
M00229	1822.79970341
M00181	9.29644724932e-27
M00221	2573.37263412
M00220	1.35679550308e-16
M00250	9648.90456062
M00318	1585.91742151
M00252	17.7792747271
M00253	3.08758278789
M00254	13943.3157246
M00255	8715.0294324
M00256	18165.0151908
M00257	5.42220384368e-12
M00258	12249.4962428
M00310	2.28800764263
M00313	2.20747007477e-10
M00312	0
M00315	0
M00314	0
M00317	565.341899309
M00316	119.338092165
M00038	0
M00039	0
M00034	2.14693799536e-16
M00035	4475.68734874
M00036	303.697052898
M00037	1.28592323862e-20
M00030	0
M00031	0.0172456948489
M00032	0
M00033	0
M00113	0
M00112	0
M00109	0
M00119	3425.08436761
M00100	0.435769163615
M00101	0
M00102	0
M00103	6.2982955103e-20
M00104	0
M00105	0
M00106	4.47007210912e-18
M00107	0
M00214	6406.30971956
M00215	73.7747974103
M00216	8.21724145336
M00217	6.40619434687e-41
M00210	4967.67716133
M00211	1096.90673601
M00212	2000.42446689
M00213	0
M00148	0
M00218	12.1275200648
M00219	159.867488448
M00199	110.150069735
M00198	269.339740786
M00197	7614.37801691
M00194	7350.83207274
M00193	1226.41487685
M00192	3.10107391008e-21
M00191	3323.34734838
M00190	6698.72086807
M00068	0
M00360	22000.6448734
M00361	158.941815998
M00362	348.834700138
M00364	6145.43191117
M00365	4074.9785305
M00366	89.4370847096
M00367	0
M00368	0
M00066	0
M00065	0
M00064	6500.92359563
M00063	9284.99686021
M00149	15588.1464946
M00061	0.434855867697
M00060	9384.68585021
M00144	6198.59630802
M00145	0
M00146	0
M00147	0
M00140	19930.8821732
M00141	819.398057288
M00142	0
M00143	0
M00309	0
M00269	8764.58278778
M00268	5720.01832628
M00098	751.537441019
M00099	0
M00092	48.4961110723
M00093	11824.7635845
M00090	0.00452738163308
M00091	5.51326946179e-14
M00096	12477.5719902
M00097	405.149652119
M00094	0
M00095	660.40070418
M00324	1806.42154934
M00325	216.861861438
M00326	156.679672858
M00327	0
M00320	5335.06633143
M00321	5.17636990207e-07
M00322	0
M00323	0
M00328	2.25456574378e-18
M00329	0
M00249	122.804897758
M00248	15424.5528355
M00247	6206.80264778
M00246	4875.77844164
M00245	4875.77844164
M00244	6391.61049471
M00243	8618.63108597
M00242	11465.6962354
M00241	3.75599644773e-41
M00240	19181.6702663
M00029	1016.52639556
M00028	6651.10833146
M00023	17591.3137317
M00022	16397.2642557
M00021	19483.3780706
M00020	12941.3217328
M00027	278.319059853
M00026	7751.6025305
M00025	6852.79773316
M00024	6033.01627837
M00280	3277.13261941
M00117	611.130875667
M00116	111.863379793
M00115	3421.26193241
M00114	0
M00298	32.707957264
M00299	6750.79927362
M00110	0
M00294	5.05278412758e-25
M00295	1.58863553797e-22
M00296	2.55763553954e-08
M00297	5.29926224888e-32
M00290	0
M00291	3.78885973845e-23
M00292	3.61861804374e-72
M00118	4771.86735752
M00058	8.05552016338e-14
M00059	8.96160689763e-14
M00056	0
M00057	0.0201801512361
M00055	0
M00052	20011.581808
M00053	20775.2089581
M00050	23877.5078477
M00051	17047.6047285
M00203	1.24877066329e-07
M00202	60.9331555807
M00201	49.76875473
M00200	0.000676957966361
M00207	5336.28435685
M00206	89.3088921685
M00205	4.21857390066
M00204	58.3144272256
M00209	11166.2108068
M00208	3515.16696635
