PID	Coverage
ko05340	0.0294118
ko00564	0.481481
ko00680	0.365591
ko00562	0.377778
ko00563	0.192308
ko05100	0.138462
ko00440	0.222222
ko00592	0.2
ko00250	0.777778
ko04060	0.0229358
ko00072	0.875
ko04380	0.0212766
ko04650	0.0897436
ko03450	0.0526316
ko00760	0.714286
ko00920	0.53125
ko04144	0.173913
ko00310	0.444444
ko04146	0.171429
ko00600	0.3
ko04140	0.190476
ko04141	0.124088
ko04142	0.0808081
ko00604	0.0714286
ko04260	0.0169492
ko03040	0.4
ko04110	0.0679612
ko02060	0.853333
ko04712	0.125
ko04930	0.0322581
ko00511	0.75
ko00510	0.0454545
ko05110	0.148936
ko04974	0.142857
ko00450	0.678571
ko00565	0.125
ko00300	0.625
ko00195	0.0634921
ko00260	0.701493
ko00190	0.451456
ko03440	0.559322
ko00750	0.733333
ko04626	0.0142857
ko04666	0.0188679
ko00061	0.653846
ko04662	0.02
ko03070	0.743243
ko05211	0.02
ko00903	0.571429
ko00380	0.306452
ko00500	0.759494
ko05120	0.0909091
ko00590	0.142857
ko05323	0.0769231
ko05322	0.0652174
ko04962	0.030303
ko04960	0.0416667
ko04660	0.0125
ko00625	0.538462
ko00624	0.176471
ko00627	0.440678
ko00626	0.464286
ko00621	0.692308
ko00620	0.876712
ko00623	0.571429
ko00270	0.636364
ko00010	0.7125
ko00941	0.05
ko01053	0.6875
ko01056	0.1
ko04670	0.0140845
ko00071	0.489362
ko00740	0.419355
ko04360	0.0125
ko04912	0.0333333
ko05216	0.0714286
ko05215	0.0147059
ko03060	0.564103
ko05210	0.0204082
ko01055	1
ko00561	0.492063
ko00534	0.166667
ko04910	0.012987
ko00531	0.5
ko04916	0.015625
ko05130	0.0263158
ko00360	0.411765
ko00361	0.578947
ko00362	0.44
ko00533	0.0714286
ko04115	0.0862069
ko04114	0.027027
ko00430	0.5
ko02010	0.738462
ko00130	0.589744
ko04330	0.25
ko00633	0.5
ko00040	0.705882
ko00730	0.772727
ko04111	0.0169492
ko01040	0.275862
ko00311	0.214286
ko03018	0.48
ko04512	0.107143
ko00281	0.625
ko04145	0.0860215
ko03013	0.143939
ko03010	0.486111
ko05200	0.0167364
ko00601	0.04
ko03015	0.150943
ko04113	0.010101
ko05020	0.0689655
ko05142	0.0243902
ko00520	0.691589
ko05140	0.0181818
ko00052	0.649123
ko00053	0.457143
ko00051	0.835821
ko00400	0.66129
ko00350	0.459016
ko00480	0.605263
ko00643	0.444444
ko00640	0.757576
ko00720	0.686567
ko00960	0.0434783
ko02020	0.686335
ko00522	0.0909091
ko04020	0.0225564
ko03008	0.109756
ko04966	0.1875
ko00290	1
ko04614	0.117647
ko04610	0.0434783
ko03410	0.585366
ko05010	0.0142857
ko00603	0.0714286
ko05012	0.0176991
ko00980	0.0454545
ko00410	0.612903
ko05016	0.0204082
ko05150	0.0923077
ko00791	0.214286
ko00790	0.791667
ko04540	0.0185185
ko00020	0.90566
ko00710	0.0555556
ko04710	0.166667
ko00340	0.657895
ko00785	1
ko04130	0.0588235
ko00550	0.891892
ko00650	0.84058
ko03030	0.431373
ko02030	0.807692
ko03320	0.0363636
ko04744	0.0588235
ko04530	0.057971
ko00830	0.114286
ko00514	0.142857
ko04340	0.0769231
ko04621	0.0784314
ko04620	0.0405405
ko04623	0.0227273
ko04622	0.0566038
ko04270	0.0609756
ko00910	0.69697
ko00460	0.321429
ko00521	0.588235
ko00780	1
ko00630	0.69697
ko00970	0.53125
ko00030	0.704545
ko00670	0.851852
ko00230	0.491667
ko04122	0.809524
ko04120	0.134454
ko00540	0.766667
ko05111	0.238095
ko03022	0.171429
ko00660	0.833333
ko03020	0.338983
ko04630	0.0254237
ko04350	0.04
ko00140	0.171429
ko00983	0.0909091
ko00330	0.688
ko04080	0.0468227
ko04514	0.0337079
ko00908	0.125
ko04320	0.291667
ko03430	0.644444
ko00906	0.114286
ko00900	0.828571
ko04520	0.0508475
ko02040	0.634146
ko00471	1
ko00473	1
ko05014	0.0465116
ko04950	0.12
ko04510	0.0300752
ko04810	0.0277778
ko04210	0.0645161
ko00240	0.526316
ko04012	0.0666667
ko04010	0.0706522
ko04011	0.128205
ko00100	0.0967742
ko00860	0.640777
ko04640	0.0128205
ko04310	0.123711
ko03420	0.354167
ko00770	0.827586
ko00280	0.684211
ko04150	0.0333333
ko04920	0.0444444
ko03050	0.145833
ko00930	0.642857
ko04112	0.516129
ko04722	0.0235294
