,Unnamed: 0,anterior_nares,buccal_mucosa,hard_palate,keratinized_gingiva,l_retroauricular_crease,mid_vagina,palatine_tonsils,posterior_fornix,r_antecubital_fossa,r_retroauricular_crease,saliva,stool,subgingival_plaque,supragingival_plaque,throat,tongue_dorsum,vaginal_introitus
5,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter,5.308300395256917e-07,0.0,0.0,0.0,2.4565217391304345e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0002604658227848,0.0,0.0,0.0,0.0,0.0
6,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,2.608695652173913e-07,0.0,0.0,0.0,1.1608695652173912e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0002336065099457,0.0,0.0,0.0,0.0,0.0
7,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified,2.608695652173913e-07,0.0,0.0,0.0,1.1608695652173912e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0002336065099457,0.0,0.0,0.0,0.0,0.0
8,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified,2.6996047430830045e-07,0.0,0.0,0.0,1.2956521739130437e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.6858589511754068e-05,0.0,0.0,0.0,0.0,0.0
9,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666365280289329e-06,0.0,0.0,0.0,0.0,0.0
10,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666365280289329e-06,0.0,0.0,0.0,0.0,0.0
11,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae|t__GCF_000012545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.666365280289329e-06,0.0,0.0,0.0,0.0,0.0
15,k__Archaea|p__Euryarchaeota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcaceae_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9547920433996384e-08,0.0,0.0,0.0,9.330143540669856e-09,0.0
21,k__Bacteria|p__Acidobacteria|c__Acidobacteria_noname|o__Acidobacteria_noname|f__Acidobacteria_noname|g__Candidatus_Chloracidobacterium,0.0,2.0814824797843665e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,k__Bacteria|p__Acidobacteria|c__Acidobacteria_noname|o__Acidobacteria_noname|f__Acidobacteria_noname|g__Candidatus_Chloracidobacterium|s__Candidatus_Chloracidobacterium_thermophilum,0.0,2.0814824797843665e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,k__Bacteria|p__Acidobacteria|c__Acidobacteria_noname|o__Acidobacteria_noname|f__Acidobacteria_noname|g__Candidatus_Chloracidobacterium|s__Candidatus_Chloracidobacterium_thermophilum|t__GCF_000226295,0.0,2.0814824797843665e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.101265822784809e-08,0.0,0.0,0.0,0.0,0.0
28,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella,0.0,0.0,0.0,0.0,0.0,0.0,1.584e-06,0.0,0.0,0.0,0.0,1.079746835443038e-06,0.0,0.0,0.0,2.8995215311004784e-07,0.0
29,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,1.584e-06,0.0,0.0,0.0,0.0,1.079746835443038e-06,0.0,0.0,0.0,2.8995215311004784e-07,0.0
30,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7460317460317462e-08,0.0,3.636363636363636e-08,0.0
31,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus_unclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7460317460317462e-08,0.0,3.636363636363636e-08,0.0
36,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum,2.0438339920948617e-05,0.0024545053908355,0.0,3.175882352941176e-05,0.0,0.0047133999999999,2.0468e-05,3.105263157894737e-07,0.0,1.2934375e-05,0.0,0.0,0.0383862833333333,0.0284448883597883,3.9416666666666665e-05,5.998492822966508e-05,0.0
37,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183,2.0438339920948617e-05,0.0024322544474393,0.0,0.0,0.0,0.0047133999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0383154666666666,0.0284153201058201,0.0,1.2369617224880382e-05,0.0
38,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_sp_oral_taxon_183|t__GCF_000466165,2.0438339920948617e-05,0.0024322544474393,0.0,0.0,0.0,0.0047133999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0383154666666666,0.0284153201058201,0.0,1.2369617224880382e-05,0.0
39,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum|s__Actinobaculum_unclassified,0.0,2.2250943396226412e-05,0.0,3.175882352941176e-05,0.0,0.0,2.0468e-05,3.105263157894737e-07,0.0,1.2934375e-05,0.0,0.0,7.081666666666666e-05,2.956825396825397e-05,3.9416666666666665e-05,4.7615071770334925e-05,0.0
40,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,0.0035469351778656,0.0330671010781671,0.0050257,0.0324875823529411,0.0012470347826086,0.0076089642857142,0.06293886,0.0009281258373205,0.0167258,0.0026306374999999,0.0242214857142857,0.0001518958408679,0.0950026958333333,0.121660956084656,0.0418447888888888,0.1355422954545454,0.0004989545454545
41,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis,0.0,0.0,0.0,0.0,0.0,0.0,1.5479999999999997e-05,0.0,0.0,0.0,0.0,0.0,1.5958333333333333e-05,8.141005291005292e-06,0.0,2.2009569377990433e-08,0.0
42,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_cardiffensis|t__GCF_000364865,0.0,0.0,0.0,0.0,0.0,0.0,1.5479999999999997e-05,0.0,0.0,0.0,0.0,0.0,1.5958333333333333e-05,8.141005291005292e-06,0.0,2.2009569377990433e-08,0.0
43,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_georgiae,0.0,9.70134770889488e-06,0.0,0.0002700823529411,0.0,4.785714285714286e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0008256458333333,0.0001279367724867,0.0,1.638755980861244e-07,0.0
44,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_georgiae|t__GCF_000277685,0.0,9.70134770889488e-06,0.0,0.0002700823529411,0.0,4.785714285714286e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0008256458333333,0.0001279367724867,0.0,1.638755980861244e-07,0.0
45,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii,0.0008592695652173,0.0029740954177897,0.0009853,0.0006898117647058,5.352173913043479e-06,8.19357142857143e-05,0.031161048,0.0002276875598086,0.0,4.474375e-05,0.0058488571428571,8.052260397830018e-05,2.5020833333333333e-05,3.524735449735449e-05,0.0255317611111111,0.0407441155502392,9.13090909090909e-05
