PID	Coverage
M00171	0.0201472
M00170	1
M00173	0.702398
M00172	1
M00175	0.800989
M00178	1
M00079	0.150612
M00267	0.99995
M00276	1
M00277	0.775379
M00274	0.0603259
M00275	0.99196
M00273	1
M00270	0.998348
M00271	0.999993
M00279	0.999999
M00228	1
M00064	1
M00063	1
M00149	1
M00060	1
M00144	1
M00140	1
M00141	0.678037
M00319	0.999999
M00311	1
M00185	1
M00265	1
M00266	0.785051
M00300	1
M00306	0.0372336
M00307	1
M00188	1
M00012	0.996771
M00010	1
M00011	1
M00016	1
M00017	1
M00015	1
M00153	1
M00018	1
M00150	1
M00157	1
M00156	1
M00348	0.206815
M00349	0.932496
M00250	0.999995
M00251	0.219513
M00098	0.749562
M00254	1
M00255	1
M00256	1
M00258	1
M00259	1
M00313	0.742382
M00096	1
M00097	0.0372496
M00317	0.99689
M00093	1
M00028	1
M00281	0.999994
M00001	1
M00003	1
M00002	1
M00005	1
M00004	1
M00007	1
M00006	1
M00009	1
M00008	1
M00324	1
M00325	1
M00326	0.0269117
M00320	1
M00126	0.998518
M00127	1
M00124	0.706925
M00125	1
M00123	1
M00120	1
M00121	1
M00249	1
M00248	1
M00247	1
M00083	1
M00244	1
M00243	1
M00242	1
M00087	0.0340336
M00086	1
M00318	0.997068
M00207	1
M00298	0.169179
M00193	0.992814
M00035	0.999569
M00036	0.119694
M00336	1
M00135	0.0233749
M00134	0.667476
M00133	0.999964
M00299	1
M00238	1
M00239	1
M00233	0.86058
M00230	0.0248071
M00236	1
M00237	0.999948
M00234	0.844953
M00151	1
M00269	1
M00029	0.715029
M00019	0.999992
M00023	1
M00022	1
M00021	1
M00020	1
M00027	0.798273
M00026	1
M00025	1
M00024	1
M00118	1
M00268	0.947198
M00344	0.987652
M00183	1
M00221	0.840307
M00189	1
M00223	0.980998
M00225	0.0091123
M00227	0.899444
M00246	1
M00338	0.936861
M00210	1
M00117	0.813117
M00115	1
M00159	0.998264
M00119	0.995779
M00214	1
M00216	0.945617
M00217	0.0225517
M00122	0.888029
M00211	0.7946
M00212	1
M00240	1
M00052	1
M00053	1
M00050	1
M00051	1
M00197	1
M00218	0.012443
M00194	1
M00359	1
M00191	1
M00229	1
M00164	1
M00283	0.953287
M00282	0.4668
M00168	1
M00280	0.968088
M00202	0.0169468
M00049	1
M00048	1
M00205	0.0602774
M00045	0.999868
M00209	1
M00046	0.155612
M00169	1
M00360	1
M00361	0.558272
M00364	1
M00365	0.988217
M00198	0.438024
M00208	0.593095
M00190	1
M00310	0.400608
M00222	1
