PID	Abundance
M00171	0.196920008807
M00173	15.3367817221
M00172	130.819279777
M00175	7.30097730111
M00174	0
M00177	0
M00170	337.796217047
M00179	0
M00178	717.659483132
M00359	477.648174456
M00097	0.169097705878
M00078	0
M00079	0.831990722935
M00267	35.8357192786
M00072	0
M00095	0
M00074	0
M00075	0
M00076	0
M00077	0.0261918491098
M00276	130.346356201
M00277	8.700221061
M00274	0.3753220477
M00275	23.4210559951
M00272	0.000234148837072
M00273	248.033496413
M00270	28.6325417324
M00271	33.4273180755
M00377	0
M00376	0
M00375	0
M00374	0
M00373	0
M00372	0
M00278	0
M00279	38.5640279017
M00148	0
M00344	37.1145351394
M00037	0
M00046	1.05217129226
M00346	0
M00065	0
M00064	454.800595271
M00063	408.689780211
M00149	326.844152143
M00061	0
M00060	447.715350842
M00144	350.982507564
M00145	0
M00146	0
M00140	480.071398221
M00141	8.16116416448
M00142	0
M00143	0
M00289	0.000340532785451
M00183	543.552346
M00342	0
M00258	149.383644458
M00343	0
M00265	89.276248209
M00264	0
M00308	0
M00266	9.05242910427
M00261	0
M00260	0
M00263	0
M00262	0
M00302	0
M00303	0.00197849922265
M00300	305.744793248
M00341	0
M00306	0.145641630952
M00307	397.669861611
M00304	0.0081597761609
M00096	301.469286739
M00347	0
M00189	172.188500875
M00301	0
M00336	459.923168933
M00012	37.960488161
M00010	226.522847387
M00011	309.597720527
M00016	418.643487234
M00017	276.469194653
M00014	0
M00015	412.432918217
M00153	162.37772198
M00152	0
M00018	382.884720371
M00150	166.523646849
M00157	663.391058968
M00156	302.489459005
M00155	0
M00154	0
M00209	96.0783956136
M00288	0
M00227	12.4456409522
M00226	0.000446104707276
M00137	0
M00250	42.6008253315
M00251	1.35433919459
M00098	8.99075745052
M00099	0
M00254	226.332585221
M00255	320.717717458
M00256	660.415154044
M00257	0
M00092	0
M00259	152.110436969
M00313	6.28642401238
M00312	0
M00315	0
M00314	0
M00317	19.8746523193
M00316	0.00116294273686
M00163	0
M00168	280.026325392
M00181	0
M00001	479.152654755
M00003	464.509862965
M00002	547.57226112
M00005	505.293521747
M00004	455.606133187
M00007	415.733175869
M00006	503.938898949
M00009	272.167286287
M00008	333.330252723
M00286	0
M00324	165.896600536
M00325	219.472261229
M00326	0.130079456994
M00320	408.363991
M00321	0
M00128	0
M00323	0
M00126	74.2378803333
M00127	285.120112697
M00124	11.1153949073
M00125	503.199244649
M00328	0
M00123	373.092788085
M00120	411.020644841
M00121	197.965183812
M00089	0
M00088	0
M00249	351.694140479
M00248	104.839591154
M00247	122.087275862
M00080	0
M00083	498.632418457
M00244	248.813012464
M00243	247.217994713
M00242	312.30095404
M00087	0.246019616168
M00086	413.722121453
M00200	0
M00233	9.132630955
M00176	0
M00049	498.896410026
M00048	571.822044647
M00038	0
M00039	0
M00034	0
M00035	42.8758524371
M00036	0.729815677208
M00129	0
M00030	0
M00031	0
M00032	0
M00033	0
M00333	0
M00332	0
M00331	0
M00330	0
M00337	0
M00138	0
M00335	0
M00334	0
M00135	0.15007487797
M00134	7.06511777842
M00339	0
M00136	0
M00131	0
M00130	0
M00133	82.8560278217
M00112	0
M00238	532.496000595
M00239	225.176853979
M00232	0
M00122	16.7817506453
M00230	0.0901740781239
M00231	2.39078571922e-05
M00236	426.585849784
M00237	35.0311943463
M00234	9.71994004448
M00235	0.00712163435776
M00151	332.983703553
M00269	100.236321551
M00029	10.3268451722
M00019	254.449163487
M00023	386.097110873
M00022	384.625887271
M00021	499.202358282
