PID	Coverage
ko00564	0.358025
ko00680	0.27957
ko00562	0.2
ko00561	0.333333
ko00440	0.111111
ko05143	0.0285714
ko00250	0.703704
ko00010	0.5875
ko04650	0.0128205
ko00760	0.571429
ko00920	0.46875
ko04145	0.0107527
ko04146	0.0571429
ko00600	0.05
ko04141	0.0218978
ko04142	0.010101
ko03040	0.1
ko02060	0.693333
ko00511	0.375
ko00510	0.0227273
ko05110	0.0212766
ko04974	0.0204082
ko00860	0.475728
ko00450	0.571429
ko00300	0.55
ko00260	0.522388
ko00190	0.320388
ko03440	0.474576
ko00750	0.6
ko04626	0.0285714
ko00061	0.576923
ko03070	0.445946
ko00903	0.380952
ko00380	0.145161
ko00500	0.544304
ko05120	0.0363636
ko00590	0.0714286
ko04962	0.030303
ko00625	0.384615
ko00624	0.147059
ko00627	0.254237
ko00626	0.392857
ko00620	0.726027
ko00623	0.0357143
ko00270	0.606061
ko01053	0.03125
ko00970	0.5
ko00071	0.319149
ko00740	0.290323
ko03060	0.435897
ko04910	0.012987
ko00531	0.142857
ko00360	0.235294
ko00361	0.0526316
ko04110	0.00970874
ko00430	0.375
ko02010	0.467692
ko00130	0.384615
ko04622	0.0188679
ko00633	0.318182
ko00040	0.392157
ko00730	0.727273
ko00362	0.213333
ko01040	0.172414
ko00311	0.0714286
ko03018	0.226667
ko00310	0.240741
ko03013	0.0378788
ko03010	0.381944
ko05200	0.0041841
ko03015	0.0188679
ko00520	0.598131
ko00521	0.529412
ko00052	0.491228
ko00053	0.228571
ko00051	0.552239
ko00400	0.564516
ko00350	0.311475
ko00480	0.421053
ko00640	0.515152
ko00720	0.626866
ko00960	0.0434783
ko02020	0.428571
ko03008	0.0487805
ko00290	0.818182
ko03410	0.341463
ko00630	0.424242
ko00410	0.354839
ko05150	0.0461538
ko00791	0.0714286
ko00790	0.541667
ko00020	0.773585
ko00340	0.631579
ko04130	0.0294118
ko00550	0.783784
ko00650	0.637681
ko03030	0.352941
ko02030	0.653846
ko04530	0.0144928
ko04621	0.0196078
ko04620	0.0135135
ko00910	0.515152
ko00830	0.0285714
ko00780	0.7
ko00785	1
ko00030	0.590909
ko00670	0.703704
ko00230	0.358333
ko04122	0.809524
ko04120	0.0252101
ko00540	0.7
ko05111	0.0714286
ko00660	0.833333
ko03020	0.237288
ko00140	0.0571429
ko00983	0.0909091
ko00330	0.456
ko00908	0.125
ko03430	0.511111
ko00906	0.0571429
ko00900	0.628571
ko00471	1
ko00473	1
ko05014	0.0232558
ko04510	0.0075188
ko04810	0.0277778
ko04210	0.016129
ko00240	0.394737
ko04010	0.00543478
ko04011	0.025641
ko01055	1
ko04310	0.0206186
ko03420	0.208333
ko00770	0.689655
ko02040	0.512195
ko00280	0.385965
ko03050	0.0208333
ko00930	0.0714286
ko04112	0.354839
