PID	Coverage
M00276	1
M00277	1
M00274	1
M00275	1
M00272	0.00250452
M00273	1
M00270	1
M00271	1
M00279	1
M00012	0.74647
M00010	1
M00011	1
M00016	1
M00017	1
M00014	1.57916e-05
M00015	1
M00153	1
M00018	1
M00019	1
M00157	1
M00156	1
M00128	0.00465008
M00129	0.0503007
M00126	1
M00127	1
M00124	1
M00125	1
M00122	0.990519
M00123	1
M00120	1
M00121	1
M00088	0.99602
M00083	1
M00082	0.0160902
M00085	0.000656172
M00087	0.941714
M00086	1
M00335	1
M00334	0.983083
M00338	1
M00238	1
M00239	1
M00232	0.998079
M00233	1
M00230	0.495598
M00231	8.85023e-05
M00236	1
M00237	1
M00234	1
M00235	0.129569
M00346	0.247691
M00344	1
M00345	0.971391
M00348	1
M00349	1
M00289	0.0672659
M00167	0.999562
M00164	1
M00283	1
M00282	1
M00168	1
M00169	1
M00287	1
M00049	1
M00048	1
M00045	1
M00046	0.981902
M00040	0.973733
M00043	8.44762e-06
M00265	1
M00267	1
M00266	1
M00303	0.690223
M00300	1
M00306	0.955816
M00307	1
M00304	0.593329
M00305	0.00874011
M00281	1
M00001	1
M00003	1
M00002	1
M00005	1
M00004	1
M00007	1
M00006	1
M00009	1
M00008	1
M00159	1
M00135	1
M00134	1
M00136	0.852558
M00130	1.8358e-05
M00133	1
M00151	1
M00150	1
M00228	1
M00183	1
M00185	1
M00186	1
M00221	1
M00220	0.983683
M00223	1
M00222	1
M00225	0.992157
M00224	0.999999
M00227	1
M00226	0.966399
M00308	9.11929e-07
M00359	1
M00319	1
M00318	1
M00258	1
M00310	0.910437
M00171	0.781086
M00170	1
M00173	0.909282
M00172	1
M00175	1
M00174	0.265519
M00176	0.448825
M00178	1
M00079	0.999544
M00076	0.567329
M00077	0.999544
M00229	1
M00188	1
M00189	1
M00250	1
M00251	1
M00252	0.000531733
M00253	0.994698
M00254	1
M00255	1
M00256	1
M00311	1
M00259	1
M00313	0.999999
M00317	1
M00316	0.847524
M00035	1
M00036	0.990809
M00030	9.50661e-06
M00031	0.000448629
M00112	8.40171e-06
M00103	0.0470763
M00214	1
M00215	0.999659
M00216	1
M00217	0.72531
M00210	1
M00211	1
M00212	1
M00063	1
M00218	0.00208252
M00219	0.999416
M00199	1
M00198	1
M00197	1
M00194	1
M00193	1
M00191	1
M00190	1
M00360	1
M00361	0.0309425
M00362	0.0874176
M00364	1
M00365	1
M00366	0.858677
M00064	1
M00149	1
M00061	1
M00060	1
M00144	1
M00140	1
M00141	1
M00269	1
M00268	1
M00098	1
M00092	0.00487712
M00093	1
M00091	8.82205e-06
M00096	1
M00097	0.448722
M00095	1
M00324	1
M00325	0.956757
M00326	0.752306
M00320	1
M00321	0.91287
M00323	8.65414e-06
M00328	3.76189e-05
M00249	1
M00248	1
M00247	1
M00246	1
M00245	1
M00244	1
M00243	1
M00242	1
M00241	8.20291e-06
M00240	1
M00029	1
M00028	1
M00023	1
M00022	1
M00021	1
M00020	1
M00027	0.999886
M00026	1
M00025	1
M00024	1
M00280	1
M00117	1
M00115	1
M00298	1
M00299	1
M00296	0.000404086
M00291	6.74746e-06
M00119	1
M00118	1
M00052	1
M00053	1
M00050	1
M00051	1
M00202	0.998339
M00201	0.446857
M00200	0.834997
M00207	1
M00206	0.00108553
M00205	0.999983
M00204	0.00371442
M00209	1
M00208	0.998392
