PID	Abundance
M00276	3200.67352121
M00277	304.538610397
M00274	153.625955613
M00275	534.318789685
M00272	0.0830356905816
M00273	4524.12105831
M00270	624.449183927
M00271	1080.9365966
M00377	0
M00376	0
M00375	0
M00374	0
M00373	0
M00372	0
M00278	0
M00279	769.824617369
M00012	41.3861800018
M00013	2.08274344467e-06
M00010	4114.94252678
M00011	7413.72651626
M00016	7615.15257876
M00017	6349.67158636
M00014	0.000951505609407
M00015	6142.63728658
M00153	4087.47385208
M00152	0
M00018	8200.84727797
M00019	6161.38796341
M00157	11648.4232643
M00156	4499.90058019
M00155	0
M00154	0
M00128	0.210014862684
M00129	1.97272008209
M00126	2876.82913352
M00127	4290.39274998
M00124	1833.64928859
M00125	9339.03625225
M00122	181.576104643
M00123	5946.10783181
M00120	6419.86261289
M00121	5247.37835399
M00089	5.35398998173e-08
M00088	67.020346438
M00081	7.87416808393e-06
M00080	0
M00083	9235.53435395
M00082	1.49021346801
M00085	0.0316470484099
M00087	45.0123749709
M00086	7613.34750365
M00333	0
M00332	0
M00331	0
M00330	6.80580634789e-07
M00336	0
M00335	6405.04258338
M00334	92.5526874244
M00339	0
M00338	839.349657178
M00238	9333.64218288
M00239	6211.4770911
M00232	56.4237717457
M00233	287.561576174
M00230	16.2701095924
M00231	0.00376509933654
M00236	8698.81663206
M00237	1470.87880312
M00234	305.659708586
M00235	3.38700618671
M00346	11.4822041925
M00347	0
M00344	421.327178542
M00345	81.7532808615
M00342	0
M00343	0
M00340	0
M00341	0
M00348	93.281817337
M00349	2754.52326242
M00162	0
M00163	0
M00160	0
M00161	0
M00166	0
M00167	151.141914328
M00164	11648.4232643
M00165	0
M00283	1571.27918088
M00282	195.670065783
M00281	706.642474694
M00169	4399.07491836
M00287	183.90318211
M00286	0
M00285	1.23429228862e-07
M00284	0
M00049	11996.0579996
M00048	12064.560506
M00045	1307.83702524
M00044	0
M00047	0
M00046	55.1895422449
M00040	52.8803008802
M00043	0.000213947460698
M00042	0
M00293	0
M00265	3301.4947524
M00264	1.03068725348e-05
M00267	1293.76391584
M00266	305.041393381
M00261	0
M00260	0
M00263	0
M00262	0
M00302	5.23607844359e-08
M00303	21.2219901144
M00300	4650.31790994
M00301	0
M00306	39.989179189
M00307	7066.74486634
M00304	17.6668076754
M00305	0.186555143086
M00289	2.03021795715
M00288	0
M00168	6442.52118585
M00001	11400.4984397
M00003	9584.77837983
M00002	12924.8302498
M00005	12454.0497143
M00004	8512.00896827
M00007	8000.59355456
M00006	9093.27069099
M00009	5700.13739637
M00008	5842.19652764
M00159	1486.29797857
M00158	0
M00138	0
M00135	207.410059339
M00134	753.468878176
M00137	0
M00136	32.382773233
M00131	0
M00130	0.00134243927982
M00133	808.240253709
M00132	0
M00151	4883.9628454
M00150	1728.88303302
M00180	0
M00228	5882.79331914
M00182	0
M00183	12685.7969479
M00184	0
M00185	3553.15358022
M00186	232.234369938
M00187	1.1122789748e-27
M00188	4383.98250841
M00189	3212.17412862
M00223	636.765904372
M00222	1479.06368186
