PID	Abundance
ko05340	0.547386744431
ko00564	3856.29103964
ko00680	2732.19604079
ko00562	1381.40615044
ko00563	12.9776151174
ko05100	12.2132304231
ko00440	1441.31059878
ko00250	9563.20209991
ko04062	0.00469625702286
ko04060	1.23754343223
ko00740	5604.0702343
ko04940	0.661861027653
ko00010	7165.07501335
ko00330	3789.08025661
ko04650	6.61797551224
ko03450	9.13711084613
ko00760	6409.20405432
ko00920	5359.32555142
ko04144	9.26820376709
ko04145	14.6784531978
ko04146	497.570964313
ko00561	2407.37862821
ko04140	10.7095896736
ko04141	124.516704525
ko04142	30.4264220258
ko00604	0.779400285714
ko05143	0.458909384178
ko03040	61.7398044841
ko04711	3.63191631053
ko02060	2290.35072398
ko04712	6.83756135291
ko04971	1.35700547295
ko00512	0.198221528003
ko00511	1889.51771729
ko00510	402.274618218
ko04975	0.00183610769231
ko04974	196.777210566
ko04976	1.48528126185
ko04020	3.38490814228
ko00450	7433.00942671
ko00565	38.6777883165
ko04320	18.7775679123
ko00910	4169.08849409
ko04075	0.0578155922673
ko00300	8873.11425788
ko00196	0.27065775827
ko00195	13.5636349364
ko00260	6647.78323829
ko00190	3687.69476507
ko03440	9867.2325672
ko00750	7141.4119547
ko04664	0.311403492441
ko00591	0.731076082868
ko04666	1.0595446086
ko00062	0.0940039579043
ko00061	10609.3949036
ko04662	0.290478227677
ko03070	5722.09242153
ko00253	3.63568348392
ko03060	10377.6031145
ko04370	0.947423529412
ko00903	1371.06403074
ko02030	1427.19795383
ko00380	1361.89976339
ko00500	4026.67965824
ko05120	668.636889558
ko00590	972.371113785
ko00310	1363.81639111
ko05323	9.92459187804
ko05322	134.661285871
ko04964	0.583061175781
ko05320	0.631146330026
ko04962	8.18938828068
ko04960	0.4933325
ko04660	0.767601199613
ko00625	2350.9613747
ko00624	1268.00281903
ko00627	873.885572347
ko00626	2570.74345945
ko00621	4.26233325591
ko00620	7454.22073216
ko00623	43.4054832998
ko00622	1.673485
ko00270	7800.69354881
ko04380	1.20779161544
ko00940	3.13904404198
ko00941	20.3423468924
ko01053	162.496792017
ko00943	0.260318571429
ko00100	11.8242250282
ko00945	0.019791
ko01056	5.21728201961
ko00362	907.868551001
ko04670	2.1246628961
ko04950	4.75047604882
ko00071	1773.5809235
ko00072	982.722341304
ko04360	0.918792298694
ko05219	0.51932252562
ko00534	1.56823665659
ko05216	2.04884833898
ko05215	0.600342201378
ko05212	0.0819637372248
ko05211	0.13082270388
ko00603	17.0969571777
ko04912	0.432337700921
ko04910	95.2222295806
ko00531	175.498437205
ko04916	0.552132139241
ko05130	8.52827915942
ko04914	1.45715836724
ko00360	1582.88774132
ko00361	0.527792681624
ko04111	1.72534928869
ko04110	2.28273740022
ko00533	0.245977931068
ko04115	6.12501470514
ko04114	0.135242322562
ko00532	1.09526469289
ko00430	4745.27079756
ko02010	3239.99055269
ko00130	3754.74582933
ko04330	12.3564478116
ko00633	1534.87141485
ko00040	1789.73648121
ko00730	8576.35400632
ko00970	13887.0743913
ko01040	1283.01431954
ko00600	507.7477407
ko00311	397.457579173
ko04514	2.21788758117
ko04512	22.8090364862
ko00281	705.364320845
ko04510	1.68261692363
ko03013	285.225602781
ko03010	15294.953604
ko05200	0.503210712821
ko00601	13.1941564734
ko03015	19.9226008842
ko04113	7.43330424225
ko00312	0.48656725
ko05020	3.22098706404
ko00522	0.486054124872
ko05142	77.1920614605
ko00520	5364.47196236
ko00521	8538.05944739
ko05146	0.465032979884
ko05145	0.150556641985
ko00052	3089.895585
ko00053	1203.82322057
ko00051	4396.58019165
ko00400	7254.7527881
ko00402	2.11721431097
ko00350	2821.39127881
ko00480	4470.29560904
ko00643	741.20368702
ko00642	0.0106897222222
ko00640	4146.72698043
ko00720	7590.7772071
ko00960	26.3100367882
ko02020	1261.89685078
ko00120	1.52421444444
ko00121	16.8543851157
ko03008	537.350659806
ko04966	30.4198727597
ko00290	13926.5489097
ko04614	20.1155989262
ko04610	1.59092884869
ko04612	1.56584781857
ko03410	6693.71570433
ko05010	1.25066361352
ko05012	0.459439160167
ko00980	1.74577006431
ko00981	0.338705
ko00410	2841.57429028
ko05016	1.87850372715
ko05150	194.918161641
ko00791	304.907423527
ko00790	8030.64670657
ko04540	0.683505605863
ko00020	7333.79802708
ko00710	6.64454360244
ko04710	4.94375960974
ko00340	5333.00130177
ko04130	3.95574684271
ko00550	12056.5746952
ko00650	3823.3101017
ko03030	7721.10894351
ko05221	0.190435217391
ko04742	1.03530569044
ko04740	2.10879187134
ko03320	0.773716225667
ko04745	0.170370843559
ko04530	3.4754635035
ko00514	3.95865233761
ko04340	2.74746929445
ko04621	7.69985009177
ko04620	1.18223442769
ko04623	1.66002259091
ko04622	14.0810072816
ko04270	1.15866882792
ko04626	737.708355883
ko00513	2.08635544599
ko00460	3417.16418755
ko04970	0.164237033333
ko00830	95.4704754585
ko00780	8985.22133211
ko00630	2808.7871633
ko00785	8314.68611358
ko00030	8657.5445491
ko04972	0.0614415425096
ko00230	6227.50926435
ko04122	5570.51156099
ko05110	16.1131739825
ko04120	15.769387693
ko00540	11559.5357844
ko05111	67.713490839
ko03022	16.4724733902
ko00660	10022.958156
ko03020	3795.88479781
ko04630	1.66211872947
ko04350	1.34066805731
