PID	Coverage
ko00564	0.358025
ko00680	0.311828
ko00562	0.266667
ko05100	0.0153846
ko00440	0.185185
ko00250	0.777778
ko00565	0.0625
ko00072	0.625
ko00010	0.625
ko00760	0.628571
ko00920	0.5
ko04145	0.0107527
ko04146	0.0428571
ko00561	0.47619
ko04141	0.0364964
ko04142	0.010101
ko03040	0.0666667
ko02060	0.786667
ko04970	0.0169492
ko00511	0.6875
ko00510	0.0454545
ko05110	0.0425532
ko04974	0.0204082
ko00450	0.642857
ko00300	0.55
ko00195	0.015873
ko00260	0.58209
ko00190	0.339806
ko03440	0.474576
ko00750	0.666667
ko04626	0.0142857
ko04666	0.0188679
ko00061	0.576923
ko03070	0.527027
ko00903	0.47619
ko00380	0.193548
ko00500	0.594937
ko05120	0.0545455
ko00590	0.0714286
ko00310	0.259259
ko05323	0.0153846
ko05322	0.0217391
ko04962	0.030303
ko00625	0.423077
ko00624	0.176471
ko00627	0.305085
ko00626	0.464286
ko00621	0.0769231
ko00620	0.808219
ko00623	0.0357143
ko00270	0.621212
ko05111	0.0714286
ko00941	0.05
ko01053	0.15625
ko00071	0.340426
ko00740	0.322581
ko03060	0.461538
ko00312	0.142857
ko04910	0.012987
ko00531	0.285714
ko05130	0.0263158
ko00532	0.047619
ko00360	0.235294
ko00362	0.2
ko04110	0.00970874
ko00430	0.375
ko02010	0.544615
ko00130	0.435897
ko04622	0.0188679
ko00633	0.5
ko00040	0.568627
ko00730	0.772727
ko01040	0.172414
ko00311	0.285714
ko03018	0.226667
ko00281	0.375
ko03013	0.0378788
ko03010	0.388889
ko00601	0.04
ko03015	0.0377358
ko04113	0.010101
ko00600	0.25
ko05020	0.0344828
ko05143	0.0285714
ko00520	0.64486
ko00521	0.529412
ko00052	0.578947
ko00053	0.285714
ko00051	0.716418
ko00400	0.596774
ko00350	0.327869
ko00480	0.5
ko00640	0.621212
ko00720	0.701493
ko00960	0.0434783
ko02020	0.540373
ko00603	0.0714286
ko03008	0.0365854
ko04966	0.0625
ko00290	1
ko04614	0.0588235
ko03410	0.414634
ko05010	0.00714286
ko00630	0.560606
ko00410	0.419355
ko00983	0.0454545
ko05150	0.0923077
ko00791	0.142857
ko00790	0.625
ko00020	0.867925
ko00710	0.0555556
ko00340	0.605263
ko00785	1
ko00550	0.891892
ko00650	0.724638
ko03030	0.352941
ko02030	0.807692
ko04530	0.0144928
ko04621	0.0196078
ko00910	0.59596
ko00460	0.321429
ko00830	0.0285714
ko00780	0.9
ko00970	0.484375
ko00030	0.636364
ko00230	0.425
ko04122	0.857143
ko04120	0.0168067
ko00540	0.733333
ko03022	0.0285714
ko00660	0.916667
ko03020	0.271186
ko04512	0.0178571
ko00140	0.0285714
ko00330	0.552
ko04080	0.00334448
ko00908	0.125
ko03430	0.511111
ko00906	0.0571429
ko00900	0.657143
ko02040	0.707317
ko00471	1
ko00473	1
ko00280	0.526316
ko04210	0.016129
ko00240	0.467105
ko04010	0.00543478
ko01055	1
ko00860	0.495146
ko04310	0.0103093
ko03420	0.1875
ko00770	0.758621
ko00670	0.777778
ko04920	0.0222222
ko03050	0.0208333
ko00930	0.0714286
ko04112	0.322581
