PID	Coverage
ko00564	0.234568
ko00680	0.150538
ko00562	0.133333
ko00563	0.0384615
ko05100	0.0307692
ko00440	0.185185
ko00250	0.407407
ko00072	0.5
ko00010	0.4625
ko03450	0.0526316
ko00760	0.457143
ko00920	0.34375
ko04144	0.00724638
ko00310	0.0925926
ko04146	0.0714286
ko00561	0.238095
ko04140	0.047619
ko04141	0.0218978
ko04142	0.010101
ko03040	0.075
ko02060	0.72
ko00511	0.25
ko00510	0.0227273
ko04974	0.0408163
ko00860	0.23301
ko00450	0.357143
ko00300	0.475
ko00260	0.358209
ko00190	0.194175
ko03440	0.355932
ko00750	0.4
ko04626	0.0142857
ko00591	0.0833333
ko00061	0.653846
ko03070	0.256757
ko02040	0.0487805
ko04740	0.0625
ko00380	0.0967742
ko00500	0.493671
ko05120	0.0181818
ko04962	0.030303
ko00624	0.117647
ko00627	0.254237
ko00626	0.357143
ko00620	0.561644
ko00270	0.439394
ko00941	0.05
ko01053	0.09375
ko00970	0.453125
ko01055	1
ko00071	0.212766
ko00740	0.322581
ko03060	0.410256
ko05130	0.0263158
ko00360	0.137255
ko00633	0.0454545
ko00362	0.133333
ko00430	0.25
ko02010	0.353846
ko00130	0.25641
ko04330	0.0357143
ko00361	0.105263
ko00040	0.294118
ko00730	0.5
ko01040	0.137931
ko00311	0.0714286
ko03018	0.226667
ko00280	0.263158
ko03013	0.0227273
ko03010	0.388889
ko03015	0.0377358
ko00600	0.125
ko05142	0.0121951
ko00520	0.411215
ko00521	0.529412
ko00052	0.473684
ko00053	0.257143
ko00051	0.402985
ko00400	0.322581
ko00350	0.213115
ko00480	0.263158
ko00640	0.272727
ko00720	0.41791
ko02020	0.242236
ko00121	1
ko03008	0.0365854
ko00290	0.681818
ko04610	0.0144928
ko03410	0.317073
ko05010	0.0142857
ko00630	0.257576
ko00410	0.322581
ko05150	0.0615385
ko00791	0.0714286
ko00790	0.541667
ko00020	0.509434
ko00710	0.0277778
ko00340	0.263158
ko00550	0.702703
ko00650	0.304348
ko03030	0.294118
ko02030	0.153846
ko04621	0.0392157
ko04620	0.0135135
ko04622	0.0188679
ko00910	0.232323
ko00830	0.0285714
ko00780	0.6
ko00785	0.75
ko00030	0.5
ko00230	0.283333
ko04122	0.380952
ko04120	0.0168067
ko00540	0.433333
ko03022	0.0285714
ko00660	0.333333
ko03020	0.169492
ko00140	0.0571429
ko00983	0.0454545
ko00330	0.24
ko04080	0.0100334
ko00908	0.125
ko03430	0.4
ko00906	0.0285714
ko00900	0.485714
ko00903	0.47619
ko00471	0.666667
ko00473	0.8
ko04510	0.0075188
ko04810	0.00694444
ko04210	0.016129
ko00240	0.342105
ko04010	0.00543478
ko00100	0.0645161
ko04113	0.010101
ko03420	0.208333
ko00770	0.689655
ko00670	0.592593
ko04920	0.0222222
ko03050	0.125
ko00930	0.0714286
ko04112	0.322581
