PID	Abundance
M00171	0.623602600805
M00173	0
M00172	3.55489052786
M00174	0
M00177	0
M00170	123.163729701
M00179	0
M00178	341.926082436
M00314	0
M00078	0
M00079	0
M00267	7.50618305182
M00072	0
M00073	0
M00075	0
M00076	0
M00276	248.091020969
M00277	2.0350926892
M00274	225.512506099
M00275	133.767301462
M00272	2.0250671144
M00273	375.117864605
M00270	24.0913785142
M00271	173.310604302
M00377	0
M00375	0
M00374	0
M00373	0
M00372	0
M00278	0
M00279	203.476334245
M00204	0
M00107	0
M00229	0
M00065	0
M00064	0
M00063	2.80696919697
M00149	6.22664163314
M00061	0
M00060	0
M00144	0
M00145	0
M00146	0
M00140	216.316988378
M00141	1.86272182269
M00143	0
M00258	252.656768399
M00343	3.09848150992
M00265	35.5579345241
M00160	0
M00308	0
M00266	13.5528497954
M00261	0
M00260	0
M00263	0
M00262	0
M00302	0
M00303	5.15295229643
M00300	0
M00187	0
M00306	3.40208040528
M00307	1.676478161
M00304	0
M00305	0.719999356544
M00057	0
M00221	104.852162845
M00347	0
M00189	1.42956242594
M00336	0
M00012	1.95298699244
M00159	0
M00011	3.11866847507
M00016	39.8939722011
M00017	0
M00014	0
M00015	5.61691721476
M00153	17.7118668404
M00152	0
M00018	172.656513019
M00019	0
M00157	269.369618322
M00156	0
M00155	0
M00154	0
M00209	10.8071219836
M00288	0
M00227	6.70630232646
M00226	0
M00250	13.2233713295
M00251	0
M00098	0
M00099	0
M00254	204.284023787
M00255	0.511658936682
M00256	21.1384313002
M00257	8.31561115451e-05
M00092	0
M00259	0
M00313	1.2143422129e-06
M00312	0
M00096	3.23194038248
M00097	0
M00317	0
M00316	0
M00095	0
M00181	0
M00001	252.263715665
M00003	37.5170976392
M00002	327.310971142
M00005	433.539842841
M00004	37.6157240552
M00007	20.0191089176
M00006	299.364370801
M00009	3.31127546539
M00008	0
M00365	0.00502362818124
M00324	0.0449993428488
M00325	0.387241367771
M00326	0
M00320	0
M00321	0
M00128	0
M00323	0
M00126	44.2821125652
M00127	2.18572121882
M00124	0
M00125	150.240242759
M00328	0
M00123	4.71531469037
M00120	276.439783093
M00121	0.619117998917
M00089	0
M00088	0
M00249	0
M00248	32.5169908158
M00247	325.225968403
M00080	0
M00083	234.574046879
M00244	318.257035792
M00243	3.7613560328
M00242	31.5899899279
M00241	0
M00086	4.78543912943
M00233	9.34396250378
M00176	0
M00207	180.979177974
M00048	7.37944775216
M00038	0
M00034	0
M00035	17.7379598994
M00036	0
M00129	0
M00031	0
M00032	0
M00033	0
M00333	0
M00332	0
M00331	0
M00330	0
M00138	0
M00335	0
M00334	0
M00135	0
M00134	0.718696063128
M00136	0
M00131	0
M00130	8.3930331357e-05
M00133	0
M00319	0
M00238	222.057548195
M00239	272.914270089
M00010	3.67501764097
M00232	1.18833907916
M00122	0
M00230	7.46828663236
M00231	0
M00236	314.191445229
M00237	3.85420958593
M00234	1.76601997242
M00235	0
M00295	0
M00281	12.7058560522
M00269	222.327370301
M00029	0.71511978754
M00028	4.83488030075
M00023	0
M00022	6.58834390367
M00021	11.6420750781
M00020	9.18381352604
M00027	2.85832666928
M00026	0
M00025	2.84209875589
M00024	8.77760766034
M00108	0
M00212	12.8781475259
M00100	0
M00101	0
M00118	0.00298182915316
M00105	0
M00106	0
M00268	276.6084658
M00346	0
M00228	246.462340594
M00182	0
M00183	329.514803175
M00342	2.2448917266
M00185	0
M00186	0
M00341	0
M00188	10.0005870798
M00220	0
M00223	341.526312165
M00222	522.410658376
M00225	0
M00224	0.202826646241
M00348	0
M00349	0
M00081	0.298443419787
M00246	0
M00338	1.88601791965
M00113	0
M00245	0
M00211	141.859800758
M00117	0
M00116	0
M00115	6.35021172129
M00114	0
M00298	0
M00299	213.196710723
M00066	0
M00294	0
M00085	0
M00296	0
M00059	0
M00290	0
M00119	6.43415518923
M00293	0
M00214	0
M00215	0
M00216	0
M00217	0
M00210	2.45536903551
M00087	2.21823788984
M00058	0
M00213	0
M00056	0
M00148	0
M00240	43.4481409628
M00052	53.0749007143
M00053	26.3909052924
M00050	95.9295276863
M00051	2.68120349339
M00344	0
M00354	0
M00055	0
M00351	0
M00350	0
M00353	0
M00352	0
M00197	321.229291871
M00218	0
M00194	341.672825393
M00359	28.3487604248
M00358	0
M00191	0.804747536611
M00219	0
M00158	0
M00192	0
M00355	0
M00193	81.6680125634
M00161	0
M00166	0
M00253	0
M00164	269.369618322
M00165	0
M00283	54.1244438535
M00282	14.8150820054
M00168	45.82577636
M00280	0.957407166352
M00287	0
M00252	0
M00285	0
M00203	0
M00202	0
M00201	0
M00200	0
M00049	96.0910259051
M00206	0
M00082	0
M00045	0
M00047	0
M00046	0
M00040	0
M00169	2.58853409616
M00042	0
M00360	300.526948846
M00361	0
M00362	0
M00364	18.2032481144
M00199	0
M00366	0
M00368	0
M00198	11.5691328368
M00208	0.107298266751
M00311	0
M00180	0
M00190	2.04808226611
M00093	10.7355690045
M00310	0
M00068	0
M00090	0
