PID	Coverage
M00170	1
M00175	0.365361
M00174	0.695955
M00178	1
M00267	0.748113
M00276	1
M00274	1
M00275	1
M00272	0.149639
M00273	1
M00270	0.999884
M00271	1
M00279	1
M00228	1
M00063	0.395708
M00149	0.992624
M00144	0.786138
M00140	1
M00141	0.267451
M00190	0.918408
M00265	0.999283
M00266	0.754282
M00303	0.0814463
M00300	0.665547
M00268	1
M00188	0.999664
M00189	0.874582
M00012	0.957459
M00011	0.971674
M00016	0.994321
M00017	0.262008
M00015	0.689749
M00153	0.962005
M00018	1
M00157	1
M00156	0.816365
M00349	0.770138
M00250	0.0634712
M00254	1
M00255	0.865817
M00256	0.999388
M00093	0.99315
M00096	0.974836
M00168	0.997476
M00001	1
M00003	0.954882
M00002	1
M00005	1
M00004	0.998019
M00007	0.996046
M00006	1
M00009	0.964551
M00008	0.996087
M00324	0.87182
M00325	0.898628
M00320	0.533656
M00126	1
M00127	0.765223
M00124	0.770096
M00125	1
M00328	0.517197
M00123	0.937611
M00120	1
M00307	0.870827
M00088	0.689277
M00248	1
M00247	1
M00083	1
M00244	1
M00242	1
M00087	0.98014
M00086	0.996896
M00200	0.859375
M00049	0.999923
M00193	1
M00035	0.999201
M00036	0.312968
M00330	0.140204
M00334	0.687988
M00135	0.576762
M00134	0.0356722
M00238	1
M00239	1
M00010	0.952909
M00232	0.929387
M00233	0.538832
M00230	0.991185
M00236	1
M00237	0.998889
M00234	0.744141
M00235	0.665681
M00121	0.312161
M00269	1
M00029	0.0441679
M00028	0.912718
M00023	0.784596
M00022	0.974309
M00021	0.985435
M00020	0.973677
M00025	0.783523
M00024	0.703588
M00183	1
M00185	0.976687
M00221	1
M00223	1
M00222	1
M00225	0.995998
M00227	0.664939
M00226	0.995998
M00338	0.61299
M00210	0.995724
M00117	0.839708
M00115	0.952188
M00299	1
M00119	0.347181
M00118	0.904532
M00215	0.514163
M00211	1
M00212	0.998606
M00213	0.906685
M00240	0.999716
M00052	0.999847
M00053	0.999885
M00050	0.999923
M00198	0.907029
M00197	1
M00194	1
M00359	0.918037
M00164	1
M00283	0.990602
M00282	0.966498
M00281	0.446196
M00207	1
M00048	0.942562
M00045	0.762674
M00209	0.984606
M00046	0.739924
M00169	0.0255178
M00360	1
M00364	0.302872
M00365	0.138568
M00208	0.990358
M00258	1
M00259	0.586312
M00344	0.397851
